Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.8703995768229167,0.76,0.9066666666666666,0.783808171749115,0.76,,,,0.38780779354546235,final_score,0.048450597339026,,0.38780779354546235,0.3566364449995303,0.048450597339026,0.38780779354546235,0.048450597339026,graph_lift,4.8450597339026,500,213.044,7.490156115168666,1.403224125142205,10,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07285623252391815,final_score,0.0961442901034869,,0.0961442901034869,0.0,0.0961442901034869,0.0961442901034869,0.0961442901034869,graph_lift,9.61442901034869,500,213.044,7.490156115168666,,10,train,False,,,,0
M1,N7,E10b,T12a,categorical,0.9461311848958334,0.74,0.92,0.7546415328979492,0.74,,,,0.28337985802969,final_score,0.046121267341062415,,0.28337985802969,0.24873034964022012,0.046121267341062415,0.28337985802969,0.046121267341062415,graph_lift,4.6121267341062415,500,206.436,7.48602988714201,1.2880754948242583,9,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1458602249622345,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,206.436,7.48602988714201,,9,train,False,,,,1
M1,N7,E10b,T12a,categorical,0.9103884887695313,0.7533333333333333,0.9266666666666666,0.782053530216217,0.7533333333333333,,,,0.24742035271199125,final_score,0.0,,0.24742035271199125,0.2994974159378836,0.0,0.24742035271199125,-0.07434242843745806,graph_lift,0.0,500,203.91,7.486748667288879,1.3158482823584805,10,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1328299641609192,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,203.91,7.486748667288879,,10,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.0101114908854167,0.7133333333333334,0.8933333333333333,0.7396009564399719,0.7133333333333334,,,,0.28841367947270746,final_score,0.1768032579019567,,0.28841367947270746,0.13558170952704995,0.1768032579019567,0.28841367947270746,0.1768032579019567,graph_lift,17.68032579019567,500,234.716,7.506165015308658,1.299029761892263,9,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0984526053071022,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,234.716,7.506165015308658,,9,train,False,,,,3
M1,N7,E10b,T12a,categorical,0.743234151204427,0.7933333333333333,0.9533333333333334,0.8081919550895691,0.7933333333333333,,,,0.3316181683622549,final_score,0.018842290441275264,,0.3316181683622549,0.31878246980462543,0.018842290441275264,0.3316181683622549,0.018842290441275264,graph_lift,1.8842290441275265,500,192.548,7.507422594493737,1.2906502400844162,9,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1240832656621933,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,192.548,7.507422594493737,,9,train,False,,,,4
M1,N7,E10b,T12a,categorical,0.9037736002604166,0.7066666666666667,0.9466666666666667,0.7460285425186157,0.7066666666666667,,,,0.2785276938489847,final_score,0.0,,0.2785276938489847,0.32836446546347875,0.0,0.2785276938489847,-0.07420210672576336,graph_lift,0.0,500,198.808,7.511226717503314,1.2847860227266261,10,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1173892542719841,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,198.808,7.511226717503314,,10,train,False,,,,5
M1,N7,E10b,T12a,categorical,0.851683858235677,0.7866666666666666,0.9266666666666666,0.8019081950187683,0.7866666666666666,,,,0.33619743980230843,final_score,0.09709650131611534,,0.33619743980230843,0.26481339238879686,0.09709650131611534,0.33619743980230843,0.09709650131611534,graph_lift,9.709650131611534,500,233.042,7.528028984177355,1.4468851561676852,11,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.12707996368408203,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,233.042,7.528028984177355,,11,train,False,,,,6
M1,N7,E10b,T12a,categorical,0.8417168172200521,0.76,0.9466666666666667,0.7766498923301697,0.76,,,,0.3157693968536225,final_score,0.0,,0.3157693968536225,0.32518073652085855,0.0,0.3157693968536225,-0.013946459706432143,graph_lift,0.0,500,226.96,7.503069394773191,1.3454176500536674,9,train,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.19391566514968872,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,226.96,7.503069394773191,,9,train,False,,,,7
M1,N7,E10b,T12a,categorical,0.8740623982747396,0.74,0.94,0.7826627492904663,0.74,,,,0.3546340422879126,final_score,0.0,,0.3546340422879126,0.3985881746766742,0.0,0.3546340422879126,-0.07308491542402133,graph_lift,0.0,500,204.044,7.516386329748267,1.3431614586609455,9,train,False,,,,8
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09544533491134644,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,204.044,7.516386329748267,,9,train,False,,,,8
M1,N7,E10b,T12a,categorical,0.9059423828125,0.7133333333333334,0.9466666666666667,0.7625820636749268,0.7133333333333334,,,,0.3099267664025529,final_score,0.050582436378041856,,0.3099267664025529,0.2731615044439788,0.050582436378041856,0.3099267664025529,0.050582436378041856,graph_lift,5.0582436378041855,500,219.004,7.530760447152243,1.3000488169867896,10,train,False,,,,9
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11084451526403427,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,500,219.004,7.530760447152243,,10,train,False,,,,9
