Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.8765139995805369,0.4563758389261745,0.8322147651006712,0.5160675048828125,0.4563758389261745,,,,-0.0267735807823557,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,494,77.884,7.044924552603266,1.9716633580599576,16,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2398570477962494,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,494,77.884,7.044924552603266,,16,train,False,,,,0
M1,N7,E10b,T12a,categorical,2.1225183847788216,0.3918918918918919,0.6959459459459459,0.4524312913417816,0.3918918918918919,,,,-0.047483186184356097,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,491,69.218,6.990977431680715,1.9429339401235879,16,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.21656601130962372,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,491,69.218,6.990977431680715,,16,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.8889279752164274,0.46621621621621623,0.7364864864864865,0.524610161781311,0.46621621621621623,,,,0.05336093405402187,final_score,0.0,,0.05336093405402187,0.05896450588929969,0.0,0.05336093405402187,-0.005954687012707551,graph_lift,0.0,492,72.244,7.027406683257496,1.942290433902406,16,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.21037408709526062,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,492,72.244,7.027406683257496,,16,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.9974873177957215,0.436241610738255,0.7114093959731543,0.4892476201057434,0.436241610738255,,,,-0.040539511091545855,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,494,67.604,7.045551896168684,1.906504496389875,16,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.22426997125148773,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,494,67.604,7.045551896168684,,16,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.774748731779572,0.48322147651006714,0.7785234899328859,0.5455948114395142,0.48322147651006714,,,,0.04558687921936533,final_score,0.0,,0.04558687921936533,0.11108768702007232,0.0,0.04558687921936533,-0.07368646698247058,graph_lift,0.0,494,70.144,7.041186852932922,1.8184178554257948,16,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.22217804193496704,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,494,70.144,7.041186852932922,,16,train,False,,,,4
