dataset,method,rho,pval,band_acc,N_variants,fi_task,fi_node,fi_edge,fi_text
history,raw_gnn,0.8839,0.0,0.962,52,0.658,0.12,0.221,0.0
history,clamped,0.7988,0.0,0.887,53,0.808,0.0,0.185,0.007
history,unclamped,0.5313,0.0,0.763,59,0.446,0.0,0.554,0.0
amazon,raw_gnn,0.8903,0.0,0.965,85,0.581,0.413,0.002,0.005
amazon,clamped,0.754,0.0,0.88,75,0.679,0.2,0.121,0.0
amazon,unclamped,0.7463,0.0,0.837,86,0.357,0.456,0.184,0.004
arxiv,raw_gnn,0.9744,0.0,1.0,48,0.702,0.264,0.013,0.022
arxiv,clamped,0.9735,0.0,1.0,48,0.209,0.393,0.397,0.001
arxiv,unclamped,0.8726,0.0,0.958,48,0.256,0.363,0.38,0.001
electronics,raw_gnn,0.9152,0.0,0.989,87,0.555,0.443,0.002,0.0
electronics,clamped,0.3601,0.001,0.588,80,0.6,0.207,0.183,0.01
electronics,unclamped,0.7744,0.0,0.888,89,0.536,0.23,0.231,0.003
toys,raw_gnn,0.6625,0.0,0.719,64,0.717,0.283,0.0,0.0
toys,clamped,0.6949,0.0,0.812,64,0.898,0.094,0.001,0.006
toys,unclamped,0.471,0.0,0.657,70,0.464,0.2,0.292,0.044
