dataset,method,threshold,thresh_val,N_variants,rho,pval,band_acc,fi_task,fi_node,fi_edge,fi_text,task_below_50
history,raw_gnn,T=0,0.0,52,0.8839,0.0,0.962,0.658,0.12,0.221,0.0,False
history,raw_gnn,T=5th,0.0612,49,0.8877,0.0,0.98,0.73,0.084,0.186,0.0,False
history,raw_gnn,T=10th,0.0942,46,0.8635,0.0,0.935,0.676,0.088,0.235,0.0,False
history,raw_gnn,T=25th,1.5201,39,0.8949,0.0,0.949,0.673,0.074,0.253,0.001,False
history,clamped,T=0,0.0,35,0.8355,0.0,0.914,0.852,0.0,0.148,0.0,False
history,clamped,T=5th,-2.0608,50,0.799,0.0,0.88,0.822,0.0,0.178,0.0,False
history,clamped,T=10th,-1.3217,47,0.8298,0.0,0.957,0.881,0.0,0.119,0.0,False
history,clamped,T=25th,-0.068,40,0.8507,0.0,0.925,0.864,0.0,0.136,0.0,False
history,unclamped,T=0,0.0,32,0.6407,0.0001,0.75,0.525,0.003,0.46,0.013,False
history,unclamped,T=5th,-1.0001,56,0.3438,0.0095,0.661,0.935,0.0,0.061,0.004,False
history,unclamped,T=10th,-0.0241,53,0.4956,0.0002,0.66,0.418,0.006,0.565,0.011,True
history,unclamped,T=25th,-0.012,44,0.5625,0.0001,0.682,0.454,0.006,0.536,0.004,True
amazon,raw_gnn,T=0,0.0,85,0.8903,0.0,0.965,0.581,0.413,0.002,0.005,False
amazon,raw_gnn,T=5th,0.4615,80,0.8821,0.0,0.962,0.561,0.433,0.002,0.005,False
amazon,raw_gnn,T=10th,0.6388,76,0.8657,0.0,0.908,0.541,0.452,0.002,0.005,False
amazon,raw_gnn,T=25th,1.5507,64,0.8594,0.0,0.875,0.444,0.547,0.004,0.005,True
amazon,clamped,T=0,0.0,75,0.754,0.0,0.88,0.679,0.2,0.121,0.0,False
amazon,clamped,T=5th,0.1676,71,0.728,0.0,0.859,0.624,0.271,0.105,0.0,False
amazon,clamped,T=10th,0.2614,67,0.6631,0.0,0.806,0.541,0.387,0.071,0.0,False
amazon,clamped,T=25th,0.46,56,0.7321,0.0,0.839,0.613,0.307,0.08,0.0,False
amazon,unclamped,T=0,0.0,22,0.3896,0.073,0.773,0.0,0.511,0.009,0.48,True
