Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.8429906368255615,0.5782312925170068,0.7448979591836735,0.6088078022003174,0.5782312925170068,,,,0.4233637761523622,final_score,0.0,,0.4233637761523622,0.4859137304858603,0.0,0.4233637761523622,-0.12167209677203346,graph_lift,0.0,980,68.618,7.296330850432762,3.2739408258425513,47,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1588367372751236,final_score,0.0,,0.0,0.17001188860973812,0.0,0.0,-0.20483653473657798,graph_lift,0.0,980,68.618,7.296330850432762,,47,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.7572317123413086,0.6161616161616161,0.7676767676767676,0.640131950378418,0.6161616161616161,,,,0.423548326075194,final_score,0.0,,0.423548326075194,0.4491233401885548,0.0,0.423548326075194,-0.04642602596761801,graph_lift,0.0,988,71.171,7.29249614737439,3.2389935699073416,47,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17992518842220306,final_score,0.0,,0.0,0.02421060704601497,0.0,0.0,-0.02481130377193664,graph_lift,0.0,988,71.171,7.29249614737439,,47,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.8322243690490723,0.622895622895623,0.7575757575757576,0.6251135468482971,0.622895622895623,,,,0.4019328512944147,final_score,0.0,,0.4019328512944147,0.41607511918489404,0.0,0.4019328512944147,-0.024219327442834813,graph_lift,0.0,990,70.979,7.312019931721842,3.1935219765300435,47,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.18923398852348328,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,990,70.979,7.312019931721842,,47,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.8696502447128296,0.5973154362416108,0.7550335570469798,0.6200344562530518,0.5973154362416108,,,,0.40764764780354157,final_score,0.0,,0.40764764780354157,0.41997580868616113,0.0,0.40764764780354157,-0.02125456328760098,graph_lift,0.0,993,66.069,7.31450490936905,3.2544080451755177,47,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1701141893863678,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,993,66.069,7.31450490936905,,47,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.8800886869430542,0.5570469798657718,0.7046979865771812,0.5945672988891602,0.5570469798657718,,,,0.41160768174809226,final_score,0.0,,0.41160768174809226,0.45204740467554794,0.0,0.41160768174809226,-0.0738014990211163,graph_lift,0.0,991,69.446,7.325647312884652,3.2935284891155434,47,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1791360229253769,final_score,0.0,,0.0,0.002858278388731755,0.0,0.0,-0.0028664715624506214,graph_lift,0.0,991,69.446,7.325647312884652,,47,train,False,,,,4
