Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.7295003533363342,0.79,0.91,0.813961386680603,0.79,,,,0.4714936064351598,final_score,0.1383561447971347,,0.4714936064351598,0.38663011362112165,0.1383561447971347,0.4714936064351598,0.1383561447971347,graph_lift,13.83561447971347,1000,216.379,7.646386072090627,1.3871449488211753,10,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08110745996236801,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,216.379,7.646386072090627,,10,train,False,,,,0
M1,N7,E10b,T12a,categorical,0.8622369170188904,0.78,0.9066666666666666,0.7913911938667297,0.78,,,,0.3770501128656226,final_score,0.12386091315486122,,0.3770501128656226,0.2889828835538685,0.12386091315486122,0.3770501128656226,0.12386091315486122,graph_lift,12.386091315486123,1000,206.996,7.620898819468372,1.386668040094565,11,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.04014810174703598,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,206.996,7.620898819468372,,11,train,False,,,,1
M1,N7,E10b,T12a,categorical,0.8805851340293884,0.7566666666666667,0.9,0.7761909365653992,0.7566666666666667,,,,0.34924551906901824,final_score,0.12770269453233643,,0.34924551906901824,0.25397627981655446,0.12770269453233643,0.34924551906901824,0.12770269453233643,graph_lift,12.770269453233643,1000,218.288,7.631200822139385,1.3335399472977523,11,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10907196253538132,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,218.288,7.631200822139385,,11,train,False,,,,2
M1,N7,E10b,T12a,categorical,0.7895381450653076,0.7766666666666666,0.9366666666666666,0.8076356053352356,0.7766666666666666,,,,0.3828667733934489,final_score,0.09702883583313375,,0.3828667733934489,0.31655267510568386,0.09702883583313375,0.3828667733934489,0.09702883583313375,graph_lift,9.702883583313374,1000,221.007,7.621309470123625,1.3223657103782767,10,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10217414051294327,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,221.007,7.621309470123625,,10,train,False,,,,3
M1,N7,E10b,T12a,categorical,0.7462745904922485,0.7833333333333333,0.9566666666666667,0.8076343536376953,0.7833333333333333,,,,0.4055466435632822,final_score,0.06638436593179732,,0.4055466435632822,0.36327827561498216,0.06638436593179732,0.4055466435632822,0.06638436593179732,graph_lift,6.6384365931797324,1000,216.039,7.643515041238322,1.2786680974452962,9,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08818045258522034,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,216.039,7.643515041238322,,9,train,False,,,,4
