Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.9127378463745117,0.43252595155709345,0.7785467128027682,0.5183070302009583,0.43252595155709345,,,,0.022668056138728798,final_score,0.0,,0.022668056138728798,0.07269574090554598,0.0,0.022668056138728798,-0.05394959019779658,graph_lift,0.0,962,76.938,7.141466898934765,1.981530023253645,16,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.19370125234127045,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,962,76.938,7.141466898934765,,16,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.7825126647949219,0.4879725085910653,0.7628865979381443,0.5410502552986145,0.4879725085910653,,,,0.060867816358689764,final_score,0.0,,0.060867816358689764,0.15258973542938858,0.0,0.060867816358689764,-0.10823791368301981,graph_lift,0.0,970,74.069,7.1297280538273515,1.938480051029979,16,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1780829131603241,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,970,74.069,7.1297280538273515,,16,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.6914838552474976,0.49140893470790376,0.8109965635738832,0.5546708106994629,0.49140893470790376,,,,0.07702208377500963,final_score,0.0,,0.07702208377500963,0.07822802878519897,0.0,0.07702208377500963,-0.0013082899544016547,graph_lift,0.0,969,69.989,7.153797856433556,1.9092710339652281,16,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.21567687392234802,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,969,69.989,7.153797856433556,,16,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.70778489112854,0.5448275862068965,0.8103448275862069,0.5860897898674011,0.5448275862068965,,,,0.09092089523828939,final_score,0.0,,0.09092089523828939,0.1438554794855883,0.0,0.09092089523828939,-0.06182902883673581,graph_lift,0.0,965,69.917,7.128457081857102,1.9078331533390003,16,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15639330446720123,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,965,69.917,7.128457081857102,,16,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.7976409196853638,0.5220338983050847,0.8203389830508474,0.5468807816505432,0.5220338983050847,,,,0.012287376391007965,final_score,0.0,,0.012287376391007965,0.09326922060357712,0.0,0.012287376391007965,-0.08931189505497517,graph_lift,0.0,981,69.616,7.1649466236313,1.8300692043804085,16,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.18639735877513885,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,981,69.616,7.1649466236313,,16,train,False,,,,4
M1,N7,E10b,T12a,categorical,1.6376909017562866,0.5395189003436426,0.7731958762886598,0.5868821144104004,0.5395189003436426,,,,0.16144390202410996,final_score,0.0,,0.16144390202410996,0.16338261081741945,0.0,0.16144390202410996,-0.002317318308675972,graph_lift,0.0,967,70.535,7.13501214397503,2.0196009763851985,16,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17835211753845215,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,967,70.535,7.13501214397503,,16,train,False,,,,5
M1,N7,E10b,T12a,categorical,1.8003720045089722,0.4828767123287671,0.7842465753424658,0.5375847220420837,0.4828767123287671,,,,0.11405477256510632,final_score,0.0,,0.11405477256510632,0.12680742357301544,0.0,0.11405477256510632,-0.014604626003683719,graph_lift,0.0,971,70.191,7.148194392697357,2.0234388805453887,16,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1661483645439148,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,971,70.191,7.148194392697357,,16,train,False,,,,6
M1,N7,E10b,T12a,categorical,1.8027552366256714,0.4589041095890411,0.7876712328767124,0.5343025326728821,0.4589041095890411,,,,0.130360359588221,final_score,0.0,,0.130360359588221,0.15450284372351575,0.0,0.130360359588221,-0.028554187268490298,graph_lift,0.0,972,73.941,7.1424797659124994,2.0053821031845356,16,train,False,,,,7
