dataset,Node_Idx,Edge_Idx,Text_Idx,subset,arch,score,seconds
history,N7,E10b,T12a,0,gcn,0.44204845236435286,9.844494819641113
history,N7,E10b,T12a,1,gcn,0.27677594869372946,10.162678956985474
history,N7,E10b,T12b,0,gcn,0.4271879133516241,9.794883728027344
history,N7,E10b,T12b,1,gcn,0.25805283760358877,9.345459938049316
history,N7,E10b,T12e,0,gcn,0.0,10.67422103881836
history,N7,E10b,T12e,1,gcn,0.0,10.99177598953247
history,N7,E10c,T12a,0,gcn,0.418291724138541,5.4584221839904785
history,N7,E10c,T12a,1,gcn,0.39845629049643083,5.871315956115723
history,N7,E10c,T12b,0,gcn,0.35795790037199615,7.987373113632202
history,N7,E10c,T12b,1,gcn,0.3601167417266786,7.497323989868164
history,N7,E10c,T12e,0,gcn,0.0,9.511322736740112
history,N7,E10c,T12e,1,gcn,0.0,9.597983121871948
history,N7,E11a,T12a,0,gcn,0.45103897455338493,7.682082176208496
history,N7,E11a,T12a,1,gcn,0.3655013219469654,1.975046157836914
history,N7,E11a,T12b,0,gcn,0.3524173119877462,2.904946804046631
history,N7,E11a,T12b,1,gcn,0.30737093286520223,7.58827018737793
history,N7,E11a,T12e,0,gcn,0.0,6.388962268829346
history,N7,E11a,T12e,1,gcn,0.0,2.540203094482422
history,N7,E11b,T12a,0,gcn,0.1089127269629292,3.790518045425415
history,N7,E11b,T12a,1,gcn,0.14397058570621601,8.351247072219849
history,N7,E11b,T12b,0,gcn,0.1017413572569621,9.052117109298706
history,N7,E11b,T12b,1,gcn,0.08880173411925496,9.184226989746094
history,N7,E11b,T12e,0,gcn,0.0,9.330195188522339
history,N7,E11b,T12e,1,gcn,0.0,9.391862154006958
