dataset,n,mean,std,n_units_total,task
history,5,0.8566075052415849,0.13639843967120863,75,node_classification
history,10,0.9016444809862898,0.11957898924505338,75,node_classification
history,15,0.9415811266795986,0.014515376898030258,75,node_classification
history,20,0.944911182523068,0.0,75,node_classification
history,30,0.944911182523068,0.0,75,node_classification
history,40,0.944911182523068,0.0,75,node_classification
history,50,0.944911182523068,0.0,75,node_classification
history,60,0.944911182523068,0.0,75,node_classification
history,75,0.944911182523068,0.0,75,node_classification
amazon,5,0.87779894164273,0.07999013232857326,75,node_classification
amazon,10,0.9173116118265432,0.04467393190212131,75,node_classification
amazon,15,0.9348073803186194,0.026049191948923384,75,node_classification
amazon,20,0.93140339265781,0.01915089340757269,75,node_classification
amazon,30,0.9395614422452281,0.0183301254744644,75,node_classification
amazon,40,0.9426987216536137,0.01673111340121366,75,node_classification
amazon,50,0.9411698404134121,0.013186668365538508,75,node_classification
amazon,60,0.9421547223621942,0.011996441272445781,75,node_classification
amazon,75,0.9391494729071516,2.220446049250313e-16,75,node_classification
arxiv,5,0.9687191935213735,0.007779926714588181,75,node_classification
arxiv,10,0.9678208449647847,0.007900020885140371,75,node_classification
arxiv,15,0.9651257992950188,0.007640365131329095,75,node_classification
arxiv,20,0.9660241478516076,0.00783162114849072,75,node_classification
arxiv,30,0.9636285517007046,0.00680218548726489,75,node_classification
arxiv,40,0.9621313041063904,0.005448006493105913,75,node_classification
arxiv,50,0.9603346069932132,0.005448006493105931,75,node_classification
arxiv,60,0.9588373593988987,0.001796697113177159,75,node_classification
arxiv,75,0.9582384603611731,1.1102230246251565e-16,75,node_classification
electronics,5,0.8712780511615623,0.04475691366223488,75,node_classification
electronics,10,0.9060405583468691,0.04079327264169081,75,node_classification
electronics,15,0.9226192708028131,0.030768549154841347,75,node_classification
electronics,20,0.9371275597826676,0.02027274808284435,75,node_classification
electronics,30,0.9482977091241356,0.014523520822669094,75,node_classification
electronics,40,0.9517926638260674,0.012882451114860778,75,node_classification
electronics,50,0.9577546453764214,0.005388974338931265,75,node_classification
electronics,60,0.9582343450413925,0.0040023239234009585,75,node_classification
electronics,75,0.9566581889993447,0.0,75,node_classification
toys,5,0.8104709668263927,0.05824179694590668,75,node_classification
toys,10,0.8404646975903157,0.05443533810964276,75,node_classification
toys,15,0.8568682441413108,0.0409792257791882,75,node_classification
toys,20,0.845370497615012,0.052201347596929105,75,node_classification
toys,30,0.867742634309067,0.025378329832544216,75,node_classification
toys,40,0.8654649620431535,0.02449135515832116,75,node_classification
toys,50,0.8826687517807651,0.035132823266033716,75,node_classification
toys,60,0.8752807288909497,0.024056206950740844,75,node_classification
toys,75,0.8734609504221467,1.1102230246251565e-16,75,node_classification
history,5,0.7953585594530547,0.183290038177851,116,graphrag
history,10,0.8514728136475952,0.15847111799345404,116,graphrag
history,20,0.9051473176597646,0.0944596159616322,116,graphrag
history,30,0.9027075674773934,0.1052208561618302,116,graphrag
history,50,0.95150257112482,0.06074928962939558,116,graphrag
history,75,0.9612615718543053,0.04654746681256314,116,graphrag
history,100,0.9759000729485333,1.1102230246251565e-16,116,graphrag
amazon,5,0.44389654986652693,0.306878066830829,150,graphrag
amazon,10,0.5848294225248127,0.23011137138344373,150,graphrag
amazon,20,0.6394265199194795,0.1797677129625035,150,graphrag
amazon,30,0.6750081794181384,0.17638402904034806,150,graphrag
amazon,50,0.7513588216998002,0.09404874508275492,150,graphrag
amazon,75,0.7768732072403977,0.035299401309347105,150,graphrag
amazon,100,0.793552027148767,0.03451765489766423,150,graphrag
amazon,125,0.8018903687276502,0.02308116005310995,150,graphrag
amazon,150,0.8137898843155689,2.220446049250313e-16,150,graphrag
arxiv,5,0.4241174170310513,0.31763370742803193,150,graphrag
arxiv,10,0.5652959258075718,0.31161612917426795,150,graphrag
arxiv,20,0.5091425472918776,0.31159283777452695,150,graphrag
arxiv,30,0.6397856714313912,0.25913541607533025,150,graphrag
arxiv,50,0.7229205112951985,0.17349480954810265,150,graphrag
arxiv,75,0.7623677164524072,0.13916991097496895,150,graphrag
arxiv,100,0.8001981066194924,0.12033705194407766,150,graphrag
arxiv,125,0.8212127188546441,0.08730633222385739,150,graphrag
arxiv,150,0.8402513962877928,1.1102230246251565e-16,150,graphrag
electronics,5,0.31059958166456836,0.19444263197457165,150,graphrag
electronics,10,0.42972163730420043,0.20608172344722586,150,graphrag
electronics,20,0.40920272771700283,0.176118288034475,150,graphrag
electronics,30,0.47550997565177744,0.2007913745747676,150,graphrag
electronics,50,0.5609855239156081,0.13211581029728117,150,graphrag
electronics,75,0.6388859813016001,0.11351788299196089,150,graphrag
electronics,100,0.7158871285645085,0.05819150362701658,150,graphrag
electronics,125,0.7324526564452694,0.04180683823222534,150,graphrag
electronics,150,0.8052164552772677,0.0,150,graphrag
toys,5,0.7306392440034605,0.1427955407990141,150,graphrag
toys,10,0.7545959544287459,0.11793996065068679,150,graphrag
toys,20,0.7961501500372242,0.10131802407421368,150,graphrag
toys,30,0.8585672613675692,0.0851358324772987,150,graphrag
toys,50,0.8551083159809322,0.11247045032105472,150,graphrag
toys,75,0.8974211187604381,0.05815230132615726,150,graphrag
toys,100,0.9172535569630005,0.049615441715800936,150,graphrag
toys,125,0.9207228221438613,0.03815105079201744,150,graphrag
toys,150,0.9406766340824297,1.1102230246251565e-16,150,graphrag
