dataset,n,mean,std,n_units_total,task
history,5,0.9477409636785963,0.03846283275541687,75,node_classification
history,10,0.9610921672196195,0.032826932197078745,75,node_classification
history,15,0.9720500095282623,0.004319006790846874,75,node_classification
history,20,0.9730408576407763,2.220446049250313e-16,75,node_classification
history,30,0.9730408576407763,2.220446049250313e-16,75,node_classification
history,40,0.9730408576407763,2.220446049250313e-16,75,node_classification
history,50,0.9730408576407763,2.220446049250313e-16,75,node_classification
history,60,0.9730408576407763,2.220446049250313e-16,75,node_classification
history,75,0.9730408576407763,2.220446049250313e-16,75,node_classification
amazon,5,0.962572344217224,0.024483906197226298,75,node_classification
amazon,10,0.9746720637472528,0.013675877409154978,75,node_classification
amazon,15,0.9800206210573241,0.007991975590844838,75,node_classification
amazon,20,0.9789839386017987,0.00586027119078626,75,node_classification
amazon,30,0.9814888168956994,0.005616922820671129,75,node_classification
amazon,40,0.9824493806542206,0.005122542455832747,75,node_classification
amazon,50,0.9819792086471273,0.004036806227775869,75,node_classification
amazon,60,0.9822851783787838,0.0036715765204295664,75,node_classification
amazon,75,0.9813680312356728,3.3306690738754696e-16,75,node_classification
arxiv,5,0.9780704850741377,0.003995610195922855,75,node_classification
arxiv,10,0.9778297718994873,0.003167731091412044,75,node_classification
arxiv,15,0.9774141267614548,0.0031992879482270254,75,node_classification
arxiv,20,0.9777707182866255,0.0029840042065285037,75,node_classification
arxiv,30,0.9769331672202043,0.0029073215145690814,75,node_classification
arxiv,40,0.9762294255455221,0.0022964504427183626,75,node_classification
arxiv,50,0.9756988814016735,0.002095673756471388,75,node_classification
arxiv,60,0.9756483852545641,0.0012342405792073559,75,node_classification
arxiv,75,0.9741665064136983,1.1102230246251565e-16,75,node_classification
electronics,5,0.9511873975988736,0.013439147862378396,75,node_classification
electronics,10,0.9615968601784806,0.014262535963383116,75,node_classification
electronics,15,0.9675730922287323,0.009648364622289483,75,node_classification
electronics,20,0.972802641176686,0.006329914788543845,75,node_classification
electronics,30,0.9769615864647871,0.004352286590037287,75,node_classification
electronics,40,0.9780089251003515,0.003860504619961391,75,node_classification
electronics,50,0.9797955615963142,0.001614922513332802,75,node_classification
electronics,60,0.9799393139580583,0.0011993827773231524,75,node_classification
electronics,75,0.9794669847694703,1.1102230246251565e-16,75,node_classification
toys,5,0.938528638113544,0.01808076063345412,75,node_classification
toys,10,0.9481014579024132,0.01728164664497018,75,node_classification
toys,15,0.9519772988786279,0.013837620478292989,75,node_classification
toys,20,0.9469231315733669,0.01849110774236557,75,node_classification
toys,30,0.9511792342566153,0.010071456889388724,75,node_classification
toys,40,0.9497219862948267,0.010701144413745735,75,node_classification
toys,50,0.9509105486933394,0.012436565346724123,75,node_classification
toys,60,0.9471878251582935,0.007071237836340108,75,node_classification
toys,75,0.9456339104281172,0.0,75,node_classification
history,5,0.7953585594530547,0.183290038177851,116,graphrag
history,10,0.8514728136475952,0.15847111799345404,116,graphrag
history,20,0.9051473176597646,0.0944596159616322,116,graphrag
history,30,0.9027075674773934,0.1052208561618302,116,graphrag
history,50,0.95150257112482,0.06074928962939558,116,graphrag
history,75,0.9612615718543053,0.04654746681256314,116,graphrag
history,100,0.9759000729485333,1.1102230246251565e-16,116,graphrag
amazon,5,0.44389654986652693,0.306878066830829,150,graphrag
amazon,10,0.5848294225248127,0.23011137138344373,150,graphrag
amazon,20,0.6394265199194795,0.1797677129625035,150,graphrag
amazon,30,0.6750081794181384,0.17638402904034806,150,graphrag
amazon,50,0.7513588216998002,0.09404874508275492,150,graphrag
amazon,75,0.7768732072403977,0.035299401309347105,150,graphrag
amazon,100,0.793552027148767,0.03451765489766423,150,graphrag
amazon,125,0.8018903687276502,0.02308116005310995,150,graphrag
amazon,150,0.8137898843155689,2.220446049250313e-16,150,graphrag
arxiv,5,0.4241174170310513,0.31763370742803193,150,graphrag
arxiv,10,0.5652959258075718,0.31161612917426795,150,graphrag
arxiv,20,0.5091425472918776,0.31159283777452695,150,graphrag
arxiv,30,0.6397856714313912,0.25913541607533025,150,graphrag
arxiv,50,0.7229205112951985,0.17349480954810265,150,graphrag
arxiv,75,0.7623677164524072,0.13916991097496895,150,graphrag
arxiv,100,0.8001981066194924,0.12033705194407766,150,graphrag
arxiv,125,0.8212127188546441,0.08730633222385739,150,graphrag
arxiv,150,0.8402513962877928,1.1102230246251565e-16,150,graphrag
electronics,5,0.31059958166456836,0.19444263197457165,150,graphrag
electronics,10,0.42972163730420043,0.20608172344722586,150,graphrag
electronics,20,0.40920272771700283,0.176118288034475,150,graphrag
electronics,30,0.47550997565177744,0.2007913745747676,150,graphrag
electronics,50,0.5609855239156081,0.13211581029728117,150,graphrag
electronics,75,0.6388859813016001,0.11351788299196089,150,graphrag
electronics,100,0.7158871285645085,0.05819150362701658,150,graphrag
electronics,125,0.7324526564452694,0.04180683823222534,150,graphrag
electronics,150,0.8052164552772677,0.0,150,graphrag
toys,5,0.7306392440034605,0.1427955407990141,150,graphrag
toys,10,0.7545959544287459,0.11793996065068679,150,graphrag
toys,20,0.7961501500372242,0.10131802407421368,150,graphrag
toys,30,0.8585672613675692,0.0851358324772987,150,graphrag
toys,50,0.8551083159809322,0.11247045032105472,150,graphrag
toys,75,0.8974211187604381,0.05815230132615726,150,graphrag
toys,100,0.9172535569630005,0.049615441715800936,150,graphrag
toys,125,0.9207228221438613,0.03815105079201744,150,graphrag
toys,150,0.9406766340824297,1.1102230246251565e-16,150,graphrag
