task,dataset,n_variants,ted_within,random_mean,random_std,z
node_classification,history,12,0.0,0.2417,0.0784,-3.08
node_classification,amazon,39,0.0476,0.3568,0.0699,-4.42
node_classification,arxiv,24,0.0938,0.3514,0.0911,-2.83
node_classification,electronics,39,0.1429,0.3568,0.0699,-3.06
node_classification,toys,39,0.2778,0.3568,0.0699,-1.13
graphrag,history,8,0.2143,0.3003,0.1527,-0.56
graphrag,amazon,26,0.2609,0.3932,0.0835,-1.58
graphrag,arxiv,16,0.1333,0.3458,0.0985,-2.16
graphrag,electronics,26,0.2292,0.3932,0.0835,-1.96
graphrag,toys,26,0.0833,0.3932,0.0835,-3.71
