dataset,node_type,duplicate_rules,n_rules,n_edges,edge_hash
amazon,N7,E10b+E10c,2,208,a0544100e62c37fd
amazon,N8,E10b+E10c,2,22,7ec4bfd627eee537
amazon,N9,E10b+E10c,2,208,4135ede1c1880439
arxiv,N7,E10b+E10c,2,49,7ae16d1f945810bd
arxiv,N8,E10b+E10c,2,6299,f3b63f155427d8cb
electronics,N7,E10b+E10c,2,258,6cab21293aa049f9
electronics,N8,E10b+E10c,2,102,99ecaa78f511b971
electronics,N9,E10b+E10c,2,258,4a81ceeccc4e1496
toys,N7,E10b+E10c,2,1627,d7149f47257ed142
toys,N8,E10b+E10c,2,39,f239f6cd573cd19b
toys,N9,E10b+E10c,2,1627,2180b42c1701ccd2
