dataset,Node_Idx,Edge_Idx,subset_n_nodes,subset_n_edges,subset_edges_per_node,subset_isolated_frac,full_n_nodes,full_n_edges,full_isolated_frac,full_edges_per_node,density_ratio_full_over_subset
amazon,N7,E10b,991.0,307.0,0.30978809283551967,0.8163471221923828,,,,,
amazon,N7,E10c,991.0,307.0,0.30978809283551967,0.8163471221923828,,,,,
amazon,N7,E11a,991.0,76.0,0.07669021190716448,0.9021191000938416,,,,,
amazon,N7,E11b,991.0,4837.0,4.880928355196771,0.0,,,,,
amazon,N8,E10a,883.0,19.0,0.021517553793884484,0.9637598991394043,,,,,
amazon,N8,E10b,883.0,9.0,0.010192525481313703,0.9807474613189697,,,,,
amazon,N8,E10c,883.0,9.0,0.010192525481313703,0.9807474613189697,,,,,
amazon,N8,E11a,883.0,9861.0,11.167610419026047,0.46772366762161255,,,,,
amazon,N8,E11b,883.0,4386.0,4.967157417893545,0.0,,,,,
amazon,N9,E10b,980.0,307.0,0.31326530612244896,0.8153061270713806,,,,,
amazon,N9,E10c,980.0,307.0,0.31326530612244896,0.8153061270713806,,,,,
amazon,N9,E11a,980.0,129.0,0.13163265306122449,0.8642857074737549,,,,,
amazon,N9,E11b,980.0,4781.0,4.878571428571429,0.0,,,,,
arxiv,N7,E10b,1000.0,43.0,0.043,0.9279999732971191,50000.0,125858.0,0.1871600002050399,2.51716,58.5386046511628
arxiv,N7,E10c,1000.0,43.0,0.043,0.9279999732971191,50000.0,125858.0,0.1871600002050399,2.51716,58.5386046511628
arxiv,N7,E11a,1000.0,6.0,0.006,0.9890000224113464,50000.0,12012.0,0.81413334608078,0.24024,40.04
arxiv,N7,E11b,1000.0,4955.0,4.955,0.0,50000.0,248990.0,0.0,4.9798,1.005005045408678
arxiv,N8,E10b,3143.0,10970.0,3.490295895641107,0.081132672727108,89626.0,774187.0,0.0651373490691185,8.63797335594582,2.4748541711702563
arxiv,N8,E10c,3143.0,10969.0,3.489977728285078,0.081132672727108,89626.0,774165.0,0.0651373490691185,8.637727891460067,2.475009459646184
arxiv,N8,E11a,3143.0,11138.0,3.5437480114540247,0.1702195405960083,89626.0,477215.3333333333,0.41499118506908417,5.324518926799515,1.5025105931882632
arxiv,N8,E11b,3143.0,15361.0,4.887368755965638,0.0,89626.0,445003.0,0.0,4.965110570593355,1.015906680774358
electronics,N7,E10b,937.0,471.0,0.5026680896478122,0.6104589104652405,,,,,
electronics,N7,E10c,937.0,471.0,0.5026680896478122,0.6104589104652405,14881.0,327842.0,0.0593374110758304,22.030911901081918,43.827950002789294
electronics,N7,E11a,937.0,309.0,0.3297758804695838,0.7427961826324463,14881.0,93235.5,0.2686311453580856,6.265405550702238,18.9989805857864
electronics,N7,E11b,937.0,4544.0,4.849519743863394,0.0,14881.0,70711.0,0.0,4.751763994355218,0.9798421792937586
electronics,N8,E10a,766.0,99.0,0.12924281984334204,0.8798955678939819,6499.0,10883.0,0.4820741713047027,1.674565317741191,12.956737711007598
electronics,N8,E10b,766.0,121.0,0.15796344647519583,0.8668407201766968,,,,,
electronics,N8,E10c,766.0,121.0,0.15796344647519583,0.8668407201766968,6499.0,82224.0,0.1527927368879318,12.65179258347438,80.09316627224277
electronics,N8,E11a,766.0,22851.0,29.83159268929504,0.2832898199558258,6499.0,142489.0,0.2466533333063125,21.92475765502385,0.7349509589842138
electronics,N8,E11b,766.0,3738.0,4.879895561357702,0.0,6499.0,30422.0,0.0,4.681027850438529,0.9592475477356643
electronics,N9,E10b,919.0,471.0,0.5125136017410229,0.6082698702812195,,,,,
electronics,N9,E10c,919.0,471.0,0.5125136017410229,0.6082698702812195,11745.0,319373.0,0.0417198799550533,27.19225202213708,53.05664460370271
electronics,N9,E11a,919.0,557.0,0.6060935799782372,0.6126224398612976,11745.0,66239.0,0.2830140590667724,5.639761600681141,9.305100378861704
electronics,N9,E11b,919.0,4470.0,4.86398258977149,0.0,11745.0,54861.0,0.0,4.671008939974457,0.9603259990685741
history,N7,E10b,1000.0,10896.0,10.896,0.453000009059906,20775.0,3379378.0,0.1447412818670272,162.66560770156437,14.928928753814644
history,N7,E10c,1000.0,439.0,0.439,0.7540000081062317,20775.0,130840.0,0.1587003618478775,6.297954271961492,14.346137293761942
history,N7,E11a,1000.0,39.0,0.039,0.9449999928474426,20775.0,6954.0,0.7966626683870951,0.33472924187725633,8.582801073775803
history,N7,E11b,1000.0,4357.0,4.357,0.0,20775.0,91966.0,0.0,4.42676293622142,1.0160116906636263
toys,N7,E10b,967.0,624.0,0.6452947259565667,0.6742502450942993,,,,,
toys,N7,E10c,967.0,624.0,0.6452947259565667,0.6742502450942993,15921.0,809437.0,0.087996982038021,50.840839143269896,78.78700553131729
toys,N7,E11a,967.0,103.0,0.10651499482936919,0.8376421928405762,15921.0,31178.5,0.40267570316791534,1.9583254820677094,18.385444088926942
toys,N7,E11b,967.0,4677.0,4.836608066184074,0.0,15921.0,75652.0,0.0,4.751711575906036,0.9824471015396915
toys,N8,E10a,793.0,49.0,0.0617906683480454,0.9029003977775574,8759.0,5965.0,0.482246845960617,0.6810138143623702,11.021305199782848
toys,N8,E10b,793.0,33.0,0.0416141235813367,0.9205548763275146,,,,,
toys,N8,E10c,793.0,33.0,0.0416141235813367,0.9205548763275146,8759.0,31023.0,0.1597214341163635,3.541842676104578,85.11155279245243
toys,N8,E11a,793.0,32291.0,40.72005044136192,0.36191678047180176,8759.0,278343.0,0.2501427233219147,31.777942687521406,0.7804003763031332
toys,N8,E11b,793.0,3932.0,4.958385876418664,0.0,8759.0,42814.0,0.0,4.888000913346272,0.9858048637547288
toys,N9,E10b,949.0,624.0,0.6575342465753424,0.6691253781318665,,,,,
toys,N9,E10c,949.0,624.0,0.6575342465753424,0.6691253781318665,13945.0,774985.0,0.0704912170767784,55.574399426317676,84.5193991275248
toys,N9,E11a,949.0,123.0,0.12961011591148577,0.8145416378974915,13945.0,27555.0,0.4245966374874115,1.9759770527070635,15.245546528609783
toys,N9,E11b,949.0,4590.0,4.836670179135933,0.0,13945.0,65788.0,0.0,4.7176765865901755,0.9753976210618903
