dataset,Node_Idx,Edge_Idx,Text_Idx,train_mean,test_mean,tree_pred,full_score,status,n_nodes,n_edges,isolated_frac,seconds,rank_subset,rank_full
arxiv,N8,E10c,T12a,84.1564147253392,84.40195459610752,84.12316591913351,79.70734452154242,ok,89626,774165,0.0651373490691185,300.7629089355469,1.0,1.0
arxiv,N8,E10c,T12b,84.08991711292782,84.42769972154663,84.12316591913351,79.2448241185601,ok,89626,774165,0.0651373490691185,182.83682680130005,2.0,3.0
arxiv,N8,E10b,T12b,84.08337910523072,84.57353193911851,84.05677450449261,79.07889314185633,ok,89626,774187,0.0651373490691185,439.95721530914307,3.0,5.0
arxiv,N8,E10b,T12a,84.0301699037545,84.48669430170503,84.05677450449261,79.37954638234585,ok,89626,774187,0.0651373490691185,492.6183068752289,4.0,2.0
arxiv,N8,E11a,T12a,77.05741669730963,77.85897504460283,77.02811686033797,77.96022593991427,ok,89626,715823,0.1224867776036262,294.6451735496521,5.0,7.0
arxiv,N8,E11a,T12b,76.99881702336631,77.7414775729046,77.02811686033797,77.44798458969028,ok,89626,715823,0.1224867776036262,270.21709418296814,6.0,8.0
arxiv,N8,E11b,T12a,74.62185961741855,75.30427535774149,74.61160668925744,72.45764112822148,ok,89626,445003,0.0,211.9422991275787,7.0,12.0
arxiv,N8,E11b,T12b,74.60135376109633,75.33979766986472,74.61160668925744,72.59310996690665,ok,89626,445003,0.0,236.13285088539124,8.0,11.0
arxiv,N7,E11a,T12a,54.41897763955043,55.526252462577816,54.14702618884488,74.91388543884356,ok,50000,21576,0.7027400135993958,53.95803189277649,9.0,9.0
arxiv,N7,E11b,T12a,54.3745956335858,54.8923058397348,54.14702618884488,73.02231009755306,ok,50000,248990,0.0,170.2563829421997,10.0,10.0
arxiv,N7,E10c,T12a,53.90409914733524,54.55678856091048,54.14702618884488,79.13955118026747,ok,50000,125858,0.1871600002050399,76.8241012096405,11.0,4.0
arxiv,N7,E10b,T12a,53.890432334908056,54.87381883017422,54.14702618884488,78.39768511124691,ok,50000,125858,0.1871600002050399,82.72304081916809,12.0,6.0
arxiv,N7,E11a,T12b,38.892040656218235,38.51112606939305,38.49200462810131,62.33638315873391,ok,50000,14460,0.7396600246429443,43.90316104888916,13.0,15.0
arxiv,N7,E11b,T12b,38.6409231476157,38.36553256826631,38.49200462810131,61.1295529049235,ok,50000,248990,0.0,167.34852933883667,14.0,16.0
arxiv,N7,E10b,T12b,38.30465152717101,38.33078619157395,38.49200462810131,71.73354768343938,ok,50000,125858,0.1871600002050399,84.03496193885803,15.0,13.0
arxiv,N7,E10c,T12b,38.13040318140032,38.50184535312442,38.49200462810131,71.53012241538077,ok,50000,125858,0.1871600002050399,87.1135938167572,16.0,14.0
