dataset,Node_Idx,Edge_Idx,Text_Idx,train_mean,test_mean,tree_pred,full_score,status,n_nodes,n_edges,isolated_frac,seconds,rank_subset,rank_full
electronics,N7,E11a,T12b,56.6739059117706,56.65522454456241,56.43568878176042,82.98351555635661,ok,14881,127075,0.1956185698509216,38.34294319152832,1.0,1.0
electronics,N9,E11a,T12a,56.4930933512219,56.73578073319744,56.32225363323904,78.74253417657826,ok,11745,66239,0.2830140590667724,24.764896154403687,2.0,8.0
electronics,N7,E11a,T12a,56.19747165175024,56.12116930660721,56.43568878176042,82.08405931358578,ok,14881,59396,0.3416437208652496,26.051767110824585,3.0,2.0
electronics,N9,E11a,T12b,56.15141391525618,56.66368926956405,56.32225363323904,79.0168102471241,ok,11745,66239,0.2830140590667724,23.957988023757935,4.0,7.0
electronics,N7,E11b,T12a,56.03648012883464,55.11443977436683,56.01813339742038,79.04703716624753,ok,14881,70711,0.0,16.636281728744507,5.0,6.0
electronics,N7,E11b,T12b,55.999786666006116,56.10683294169914,56.01813339742038,80.58332731994962,ok,14881,70711,0.0,32.47958517074585,6.0,3.0
electronics,N9,E11b,T12a,55.2563274260201,55.15172055698287,54.99667135036751,76.04186817880661,ok,11745,54861,0.0,51.413609981536865,7.0,9.0
electronics,N9,E11b,T12b,54.73701527471492,55.08505385368084,54.99667135036751,76.02697089791208,ok,11745,54861,0.0,38.2240948677063,8.0,10.0
electronics,N7,E10c,T12b,54.6045621823105,53.89059420498206,54.55141793605324,79.63001169488021,ok,14881,327842,0.0593374110758304,115.70955801010132,9.0,4.0
electronics,N7,E10c,T12a,54.24489922350097,53.05612111854151,54.085989998369655,79.17813767956028,ok,14881,327842,0.0593374110758304,115.7656478881836,10.0,5.0
electronics,N9,E10c,T12b,53.18710822344435,53.32642659991846,53.01524206485281,75.68839828473821,ok,11745,319373,0.0417198799550533,109.98733806610107,11.0,12.0
electronics,N9,E10c,T12a,52.84337590626127,53.11767276212609,53.01524206485281,75.7372283604421,ok,11745,319373,0.0417198799550533,84.96202898025513,12.0,11.0
electronics,N8,E10a,T12b,13.904637615101315,8.084911556666748,13.770506844923126,56.514699763828524,ok,6499,10883,0.4820741713047027,7.765529870986939,13.0,13.0
electronics,N8,E10a,T12a,13.636376074744938,8.087887865332297,13.770506844923126,55.36246544460766,ok,6499,10883,0.4820741713047027,7.646811723709107,14.0,14.0
electronics,N8,E10c,T12a,13.000979068059046,6.81726169639068,12.962133674747898,51.10953665145966,ok,6499,82224,0.1527927368879318,30.12367010116577,15.0,16.0
electronics,N8,E10c,T12b,12.92328828143675,6.7483526417213655,12.962133674747898,49.22284482915474,ok,6499,82224,0.1527927368879318,31.255192756652832,16.0,18.0
electronics,N8,E11a,T12a,11.642234286537594,6.190456168735906,11.51869142058051,50.93284017729236,ok,6499,142489,0.2466533333063125,50.845879793167114,17.0,17.0
electronics,N8,E11a,T12b,11.395148554623423,6.3178084090011355,11.51869142058051,52.17325973646321,ok,6499,142489,0.2466533333063125,49.41099405288696,18.0,15.0
electronics,N8,E11b,T12a,11.291216385451271,6.722266652453676,11.157507857831714,2.1603564284856502,ok,6499,30422,0.0,8.214274883270264,19.0,19.0
electronics,N8,E11b,T12b,11.023799330212155,6.772816663993632,11.157507857831714,1.41537613370192,ok,6499,30422,0.0,7.719414949417114,20.0,20.0
