subset_size,dataset,run_dir,n_variants,n_subsets_train,rho,p,ted,ted_boot_mean,ted_boot_std
500,history,run_500_rerun,8,75,0.4364357804719848,0.2796582909046577,0.0,0.0,0.0
500,amazon,run_500_rerun,26,75,0.8558881615525744,2.4888504464432697e-08,0.3181818181818182,0.2409090909090909,0.12205201438270502
500,arxiv,run_500_rerun,16,75,0.8610014688789821,1.8465634979501166e-05,0.0,0.046428571428571416,0.04087686836521284
500,electronics,run_500_rerun,29,75,0.7650990425978788,1.3390070905881277e-06,0.23076923076923078,0.21346153846153845,0.08464080180547748
500,toys,run_500_rerun,23,75,0.8919192808833569,1.1026408712880036e-08,0.09090909090909091,0.13352272727272727,0.11923021649226923
1000,history,run_final,8,75,0.5455447255899809,0.16193822846628414,0.0,0.03333333333333333,0.06666666666666667
1000,amazon,run_final,26,75,0.893326768862286,8.23259641146195e-10,0.045454545454545456,0.1034090909090909,0.13080034150889278
1000,arxiv,run_final,18,75,0.5363615206476302,0.021750677496304778,0.14285714285714285,0.05714285714285714,0.03642156795423417
1000,electronics,run_final,29,75,0.9403201636092341,3.689645691748262e-14,0.07692307692307693,0.06167582417582418,0.06184965346792302
1000,toys,run_final,26,75,0.8537900259746163,2.9267942340084472e-08,0.20833333333333334,0.09659090909090909,0.09026571862248245
