task,dataset,n_variants,rho_tree,rho_no_tree,rho_lovo,blind_mean,default_N1_T6a,taco_pick,oracle,pct_of_oracle_gain,beats_default
node_classification,history,8,0.945,0.952,0.452,33.81,34.88,37.34,37.34,100.0,True
node_classification,amazon,26,0.939,0.954,0.881,27.99,41.0,40.17,42.11,86.3,False
node_classification,arxiv,16,0.958,0.959,0.868,63.61,54.96,84.4,84.57,99.2,True
node_classification,electronics,26,0.957,0.96,0.93,36.29,54.33,56.12,56.74,97.0,True
node_classification,toys,26,0.873,0.869,0.878,7.76,11.25,12.14,12.53,91.7,True
graphrag,history,8,0.976,0.929,0.786,58.2,57.91,66.07,68.08,79.7,True
graphrag,amazon,26,0.814,0.802,0.764,68.3,71.16,71.36,73.19,62.5,True
graphrag,arxiv,16,0.84,0.853,0.544,66.58,66.63,68.43,69.46,64.3,True
graphrag,electronics,26,0.805,0.774,0.625,65.46,67.19,69.3,69.3,100.0,True
graphrag,toys,26,0.941,0.934,0.743,64.08,65.21,73.32,73.32,100.0,True
