Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,1.9176206588745117,0.5612244897959183,0.7142857142857143,0.60025554895401,0.5612244897959183,,,,0.4000134846252862,final_score,0.0,,0.4000134846252862,0.4668557523781105,0.0,0.4000134846252862,-0.1253737014906882,graph_lift,0.0,980,68.618,7.296330850432762,3.2739408258425513,47,train,False,,,,0,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14017894864082336,final_score,0.05737986221297919,,0.06528103669869255,0.008382140555858333,0.05737986221297919,0.06528103669869255,0.05737986221297919,graph_lift,5.737986221297919,980,68.618,7.296330850432762,,47,train,False,,,,0,386.703
M1,N7,E10b,T12a,categorical,1.7834632396697998,0.632996632996633,0.7306397306397306,0.6361623406410217,0.632996632996633,,,,0.41494318723437595,final_score,0.0,,0.41494318723437595,0.45878784062682065,0.0,0.41494318723437595,-0.08101195184384745,graph_lift,0.0,988,71.171,7.29249614737439,3.2389935699073416,47,train,False,,,,1,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.18309852480888367,final_score,0.0,,0.0,0.08815583228755078,0.0,0.0,-0.09667861615950017,graph_lift,0.0,988,71.171,7.29249614737439,,47,train,False,,,,1,386.703
M1,N7,E10b,T12a,categorical,2.0141983032226562,0.5589225589225589,0.7070707070707071,0.5857795476913452,0.5589225589225589,,,,0.3425336625633657,final_score,0.0,,0.3425336625633657,0.4004652017674313,0.0,0.3425336625633657,-0.096627484134112,graph_lift,0.0,990,70.979,7.312019931721842,3.1935219765300435,47,train,False,,,,2,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.19362321496009827,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,990,70.979,7.312019931721842,,47,train,False,,,,2,386.703
M1,N7,E10b,T12a,categorical,1.8964712619781494,0.6040268456375839,0.738255033557047,0.6170570254325867,0.6040268456375839,,,,0.39915005947247617,final_score,0.0,,0.39915005947247617,0.430571772863809,0.0,0.39915005947247617,-0.05518116576229657,graph_lift,0.0,993,66.069,7.31450490936905,3.2544080451755177,47,train,False,,,,3,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1610894650220871,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,993,66.069,7.31450490936905,,47,train,False,,,,3,386.703
M1,N7,E10b,T12a,categorical,1.9082187414169312,0.5536912751677853,0.7214765100671141,0.6008084416389465,0.5536912751677853,,,,0.40280410829581825,final_score,0.0,,0.40280410829581825,0.433204297414034,0.0,0.40280410829581825,-0.053635179270973624,graph_lift,0.0,991,69.446,7.325647312884652,3.2935284891155434,47,train,False,,,,4,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17347726225852966,final_score,0.0,,0.0,0.10085553857497072,0.0,0.0,-0.11216833657088601,graph_lift,0.0,991,69.446,7.325647312884652,,47,train,False,,,,4,386.703
M1,N7,E10b,T12a,categorical,1.731021523475647,0.610738255033557,0.7483221476510067,0.6405684947967529,0.610738255033557,,,,0.4555423063642501,final_score,0.0,,0.4555423063642501,0.5262312084808567,0.0,0.4555423063642501,-0.14920548457812532,graph_lift,0.0,992,68.552,7.281902291794099,3.251455148566704,47,train,False,,,,5,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13166828453540802,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,992,68.552,7.281902291794099,,47,train,False,,,,5,386.703
M1,N7,E10b,T12a,categorical,1.8415385484695435,0.6006711409395973,0.7315436241610739,0.6206949353218079,0.6006711409395973,,,,0.4093797039340038,final_score,0.0,,0.4093797039340038,0.4394706270882881,0.0,0.4093797039340038,-0.05368304429431546,graph_lift,0.0,991,71.512,7.298147136286968,3.207844303730446,47,train,False,,,,6,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14065922796726227,final_score,0.0,,0.05202680581750111,0.22217164078678067,0.0,0.05202680581750111,-0.21874341935974495,graph_lift,0.0,991,71.512,7.298147136286968,,47,train,False,,,,6,386.703
M1,N7,E10b,T12a,categorical,2.0776920318603516,0.5150501672240803,0.6722408026755853,0.5518278479576111,0.5150501672240803,,,,0.35406655628889006,final_score,0.0,,0.35406655628889006,0.38968328465884505,0.0,0.35406655628889006,-0.05835777961618822,graph_lift,0.0,994,68.508,7.314719743127351,3.2462722698526933,47,train,False,,,,7,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15206536650657654,final_score,0.0,,0.33135961383327295,0.35994275012226273,0.0,0.33135961383327295,-0.04465715573794327,graph_lift,0.0,994,68.508,7.314719743127351,,47,train,False,,,,7,386.703
