Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,1.002123475074768,0.73,0.8766666666666667,0.754751980304718,0.73,,,,0.5628591135717207,final_score,0.0,,0.5628591135717207,0.6076575928555663,0.0,0.5628591135717207,-0.1141820982592735,graph_lift,0.0,1000,130.415,7.250427333922261,2.3655266638301,18,train,False,,,,0,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.11031543463468552,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,130.415,7.250427333922261,,18,train,False,,,,0,345.536
M1,N7,E10b,T12a,categorical,1.1583306789398193,0.6866666666666666,0.8633333333333333,0.7221693396568298,0.6866666666666666,,,,0.507484199456275,final_score,0.0,,0.507484199456275,0.5327885990581049,0.0,0.507484199456275,-0.05416049255394122,graph_lift,0.0,1000,130.661,7.2721683415079115,2.4031174329209217,18,train,False,,,,1,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09636291116476059,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,130.661,7.2721683415079115,,18,train,False,,,,1,345.536
M1,N7,E10b,T12a,categorical,1.106793999671936,0.6966666666666667,0.86,0.718475341796875,0.6966666666666667,,,,0.5294149296905276,final_score,0.0,,0.5294149296905276,0.5349290504069091,0.0,0.5294149296905276,-0.011856515056909035,graph_lift,0.0,1000,134.048,7.247702458283311,2.3920726910571597,18,train,False,,,,2,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09274183213710785,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,134.048,7.247702458283311,,18,train,False,,,,2,345.536
M1,N7,E10b,T12a,categorical,0.9990803003311157,0.7366666666666667,0.8866666666666667,0.7637417316436768,0.7366666666666667,,,,0.5641584482850588,final_score,0.039859948441161475,,0.5641584482850588,0.5460646069213244,0.039859948441161475,0.5641584482850588,0.039859948441161475,graph_lift,3.9859948441161475,1000,135.502,7.265949791697949,2.3726144625127072,18,train,False,,,,3,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08745446056127548,final_score,0.0,,0.18474656932655883,0.21474823206881113,0.0,0.18474656932655883,-0.03820642495501051,graph_lift,0.0,1000,135.502,7.265949791697949,,18,train,False,,,,3,345.536
M1,N7,E10b,T12a,categorical,1.035173773765564,0.7166666666666667,0.88,0.7464170455932617,0.7166666666666667,,,,0.5698521138012747,final_score,0.024670549133019828,,0.5698521138012747,0.5589717035445176,0.024670549133019828,0.5698521138012747,0.024670549133019828,graph_lift,2.4670549133019826,1000,130.462,7.251963988434811,2.402910732768787,18,train,False,,,,4,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08331594616174698,final_score,0.0,,0.1668404887223535,0.19142375537298653,0.0,0.1668404887223535,-0.030403152224652612,graph_lift,0.0,1000,130.462,7.251963988434811,,18,train,False,,,,4,345.536
