Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,0.7459582686424255,0.79,0.93,0.8133459687232971,0.79,,,,0.45957021306576573,final_score,0.09920246437641667,,0.45957021306576573,0.40005410143565945,0.09920246437641667,0.45957021306576573,0.09920246437641667,graph_lift,9.920246437641666,1000,216.379,7.646386072090627,1.3871449488211753,10,train,False,,,,0,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.042022254317998886,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,216.379,7.646386072090627,,10,train,False,,,,0,450.797
M1,N7,E10b,T12a,categorical,0.8522849678993225,0.77,0.9,0.7906402349472046,0.77,,,,0.38424023437126786,final_score,0.17222903828100167,,0.38424023437126786,0.2561230169876836,0.17222903828100167,0.38424023437126786,0.17222903828100167,graph_lift,17.222903828100165,1000,206.996,7.620898819468372,1.386668040094565,11,train,False,,,,1,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.04973045364022255,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,206.996,7.620898819468372,,11,train,False,,,,1,450.797
M1,N7,E10b,T12a,categorical,0.8615366816520691,0.7433333333333333,0.92,0.7819212079048157,0.7433333333333333,,,,0.36332237729865113,final_score,0.18576663254979908,,0.36332237729865113,0.2180649330361808,0.18576663254979908,0.36332237729865113,0.18576663254979908,graph_lift,18.57666325497991,1000,218.288,7.631200822139385,1.3335399472977523,11,train,False,,,,2,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09009358286857605,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,218.288,7.631200822139385,,11,train,False,,,,2,450.797
M1,N7,E10b,T12a,categorical,0.7821769118309021,0.78,0.9433333333333334,0.8099214434623718,0.78,,,,0.3886206053720772,final_score,0.14478808259698567,,0.3886206053720772,0.2851135698804659,0.14478808259698567,0.3886206053720772,0.14478808259698567,graph_lift,14.478808259698567,1000,221.007,7.621309470123625,1.3223657103782767,10,train,False,,,,3,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09464787691831589,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,221.007,7.621309470123625,,10,train,False,,,,3,450.797
M1,N7,E10b,T12a,categorical,0.7659692168235779,0.7666666666666667,0.9533333333333334,0.7965259552001953,0.7666666666666667,,,,0.38985871460359656,final_score,0.06933136828475624,,0.38985871460359656,0.34440544721927613,0.06933136828475624,0.38985871460359656,0.06933136828475624,graph_lift,6.933136828475623,1000,216.039,7.643515041238322,1.2786680974452962,9,train,False,,,,4,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09014122188091278,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,216.039,7.643515041238322,,9,train,False,,,,4,450.797
