Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,1.947170615196228,0.4913494809688581,0.7474048442906575,0.526905357837677,0.4913494809688581,,,,0.005074335568294175,final_score,0.0,,0.005074335568294175,0.04280396239101858,0.0,0.005074335568294175,-0.03941682303342037,graph_lift,0.0,962,76.938,7.141466898934765,1.981530023253645,16,train,False,,,,0,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14945948123931885,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,962,76.938,7.141466898934765,,16,train,False,,,,0,384.063
M1,N7,E10b,T12a,categorical,1.6835492849349976,0.5051546391752577,0.7731958762886598,0.5599555969238281,0.5051546391752577,,,,0.11300752095723687,final_score,0.0,,0.11300752095723687,0.1273575648276456,0.0,0.11300752095723687,-0.016444357152508252,graph_lift,0.0,970,74.069,7.1297280538273515,1.938480051029979,16,train,False,,,,1,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17403045296669006,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,970,74.069,7.1297280538273515,,16,train,False,,,,1,384.063
M1,N7,E10b,T12a,categorical,1.694114089012146,0.4879725085910653,0.8213058419243986,0.5570055246353149,0.4879725085910653,,,,0.0755868981977319,final_score,0.0,,0.0755868981977319,0.08800457245089177,0.0,0.0755868981977319,-0.013615939157207251,graph_lift,0.0,969,69.989,7.153797856433556,1.9092710339652281,16,train,False,,,,2,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.21242690086364746,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,969,69.989,7.153797856433556,,16,train,False,,,,2,384.063
M1,N7,E10b,T12a,categorical,1.6793254613876343,0.5206896551724138,0.8517241379310345,0.5725171566009521,0.5206896551724138,,,,0.10607026985786339,final_score,0.0,,0.10607026985786339,0.1462230419141175,0.0,0.10607026985786339,-0.04702958035582766,graph_lift,0.0,965,69.917,7.128457081857102,1.9078331533390003,16,train,False,,,,3,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2007211297750473,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,965,69.917,7.128457081857102,,16,train,False,,,,3,384.063
M1,N7,E10b,T12a,categorical,1.8350056409835815,0.5254237288135594,0.7966101694915254,0.5435205698013306,0.5254237288135594,,,,-0.008242626772718475,final_score,0.0,,0.0,0.04102533379699791,0.0,0.0,-0.04278041458533525,graph_lift,0.0,981,69.616,7.1649466236313,1.8300692043804085,16,train,False,,,,4,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.19044597446918488,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,981,69.616,7.1649466236313,,16,train,False,,,,4,384.063
