experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N7/E10c/T12a_train41,1,0.779803,0.307692,0.470588,0.384615,0.555556,0.352941,0.521739
M3/N7/E10c/T12a_train41,2,0.58471,0.340659,0.482759,0.384615,0.555556,0.411765,0.545455
M3/N7/E10c/T12a_train41,3,0.592406,0.879121,0.807018,0.807692,0.705882,0.686275,0.529412
M3/N7/E10c/T12a_train41,4,0.519322,0.89011,0.827586,0.807692,0.705882,0.705882,0.545455
M3/N7/E10c/T12a_train41,5,0.528381,0.758242,0.702703,0.692308,0.666667,0.666667,0.585366
M3/N7/E10c/T12a_train41,6,0.44517,0.604396,0.590909,0.5,0.551724,0.529412,0.52
M3/N7/E10c/T12a_train41,7,0.384783,0.505495,0.554455,0.461538,0.5625,0.431373,0.52459
M3/N7/E10c/T12a_train41,8,0.360811,0.472527,0.538462,0.461538,0.5625,0.45098,0.548387
M3/N7/E10c/T12a_train41,9,0.347268,0.571429,0.589474,0.423077,0.545455,0.470588,0.557377
M3/N7/E10c/T12a_train41,10,0.323744,0.714286,0.682927,0.5,0.580645,0.490196,0.566667
M3/N7/E10c/T12a_train41,11,0.284729,0.747253,0.708861,0.615385,0.642857,0.529412,0.586207
M3/N7/E10c/T12a_train41,12,0.287716,0.758242,0.717949,0.653846,0.666667,0.54902,0.596491
M3/N7/E10c/T12a_train41,13,0.228535,0.758242,0.717949,0.692308,0.692308,0.54902,0.596491
M3/N7/E10c/T12a_train41,14,0.222527,0.692308,0.666667,0.692308,0.714286,0.529412,0.586207
M3/N7/E10c/T12a_train41,15,0.232555,0.692308,0.666667,0.692308,0.714286,0.509804,0.576271
M3/N7/E10c/T12a_train41,16,0.217581,0.648352,0.636364,0.653846,0.689655,0.509804,0.590164
M3/N7/E10c/T12a_train41,17,0.201393,0.626374,0.622222,0.576923,0.645161,0.490196,0.580645
M3/N7/E10c/T12a_train41,18,0.19171,0.593407,0.602151,0.576923,0.645161,0.490196,0.580645
M3/N7/E10c/T12a_train41,19,0.191653,0.538462,0.571429,0.576923,0.645161,0.490196,0.580645
M3/N7/E10c/T12a_train41,20,0.167226,0.494505,0.54902,0.538462,0.625,0.45098,0.5625
M3/N7/E10c/T12a_train41,21,0.178452,0.505495,0.554455,0.5,0.606061,0.45098,0.5625
M3/N7/E10c/T12a_train41,22,0.120485,0.527473,0.565657,0.5,0.606061,0.470588,0.571429
M3/N7/E10c/T12a_train41,23,0.149669,0.549451,0.57732,0.538462,0.625,0.470588,0.571429
M3/N7/E10c/T12a_train41,24,0.162537,0.582418,0.595745,0.576923,0.645161,0.490196,0.580645
M3/N7/E10c/T12a_train41,25,0.094461,0.582418,0.595745,0.615385,0.666667,0.490196,0.580645
M3/N7/E10c/T12a_train41,26,0.112511,0.615385,0.615385,0.615385,0.666667,0.470588,0.557377
M3/N7/E10c/T12a_train41,27,0.106235,0.626374,0.622222,0.615385,0.666667,0.490196,0.580645
M3/N7/E10c/T12a_train41,28,0.116511,0.626374,0.622222,0.615385,0.666667,0.490196,0.580645
M3/N7/E10c/T12a_train41,29,0.090165,0.604396,0.608696,0.576923,0.645161,0.490196,0.580645
M3/N7/E10c/T12a_train41,30,0.074471,0.626374,0.622222,0.615385,0.666667,0.490196,0.580645
M3/N7/E10c/T12a_train41,31,0.088889,0.626374,0.622222,0.615385,0.666667,0.490196,0.580645
M3/N7/E10c/T12a_train41,32,0.065945,0.626374,0.622222,0.615385,0.666667,0.490196,0.566667
M3/N7/E10c/T12a_train41,33,0.076742,0.648352,0.636364,0.615385,0.666667,0.490196,0.566667
M3/N7/E10c/T12a_train41,34,0.076727,0.692308,0.666667,0.692308,0.714286,0.509804,0.576271
M3/N7/E10c/T12a_train41,35,0.085611,0.725275,0.691358,0.692308,0.714286,0.490196,0.551724
M3/N7/E10c/T12a_train41,36,0.037376,0.78022,0.736842,0.653846,0.666667,0.470588,0.526316
M3/N7/E10c/T12a_train41,37,0.044506,0.846154,0.8,0.692308,0.692308,0.470588,0.509091
M3/N7/E10c/T12a_train41,38,0.070264,0.923077,0.888889,0.692308,0.692308,0.470588,0.509091
M3/N7/E10c/T12a_train41,39,0.055859,0.956044,0.933333,0.653846,0.64,0.509804,0.509804
