experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N7/E10c/T12b_train16,1,0.713694,0.721519,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12b_train16,2,0.596883,0.721519,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12b_train16,3,0.580794,0.721519,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12b_train16,4,0.503571,0.721519,0.0,0.727273,0.0,0.704545,0.0
M3/N7/E10c/T12b_train16,5,0.441047,0.78481,0.413793,0.727273,0.0,0.727273,0.142857
M3/N7/E10c/T12b_train16,6,0.384345,0.860759,0.765957,0.818182,0.666667,0.772727,0.615385
M3/N7/E10c/T12b_train16,7,0.380613,0.822785,0.75,0.727273,0.571429,0.636364,0.529412
M3/N7/E10c/T12b_train16,8,0.343169,0.822785,0.758621,0.590909,0.470588,0.636364,0.578947
M3/N7/E10c/T12b_train16,9,0.32862,0.822785,0.75,0.636364,0.5,0.636364,0.578947
M3/N7/E10c/T12b_train16,10,0.28376,0.911392,0.857143,0.772727,0.615385,0.704545,0.551724
M3/N7/E10c/T12b_train16,11,0.318614,0.911392,0.829268,0.772727,0.444444,0.772727,0.444444
M3/N7/E10c/T12b_train16,12,0.253663,0.911392,0.829268,0.772727,0.444444,0.795455,0.470588
M3/N7/E10c/T12b_train16,13,0.262548,0.911392,0.829268,0.772727,0.444444,0.75,0.47619
M3/N7/E10c/T12b_train16,14,0.205281,0.949367,0.909091,0.772727,0.545455,0.75,0.521739
M3/N7/E10c/T12b_train16,15,0.173387,0.924051,0.88,0.727273,0.571429,0.772727,0.666667
M3/N7/E10c/T12b_train16,16,0.139415,0.911392,0.862745,0.727273,0.625,0.659091,0.615385
M3/N7/E10c/T12b_train16,17,0.153402,0.911392,0.862745,0.727273,0.625,0.659091,0.615385
M3/N7/E10c/T12b_train16,18,0.132242,0.911392,0.862745,0.727273,0.625,0.613636,0.585366
M3/N7/E10c/T12b_train16,19,0.095149,0.911392,0.862745,0.727273,0.625,0.568182,0.55814
M3/N7/E10c/T12b_train16,20,0.111409,0.911392,0.862745,0.727273,0.625,0.568182,0.55814
M3/N7/E10c/T12b_train16,21,0.100127,0.911392,0.862745,0.727273,0.625,0.590909,0.571429
M3/N7/E10c/T12b_train16,22,0.10859,0.924051,0.88,0.772727,0.666667,0.613636,0.585366
M3/N7/E10c/T12b_train16,23,0.086433,0.924051,0.88,0.772727,0.666667,0.613636,0.585366
M3/N7/E10c/T12b_train16,24,0.089578,0.924051,0.88,0.772727,0.666667,0.613636,0.585366
M3/N7/E10c/T12b_train16,25,0.056857,0.924051,0.88,0.772727,0.666667,0.613636,0.564103
M3/N7/E10c/T12b_train16,26,0.053249,0.949367,0.916667,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,27,0.047611,0.949367,0.916667,0.727273,0.625,0.636364,0.578947
M3/N7/E10c/T12b_train16,28,0.068835,0.936709,0.897959,0.727273,0.625,0.636364,0.578947
M3/N7/E10c/T12b_train16,29,0.040044,0.936709,0.897959,0.727273,0.625,0.636364,0.578947
M3/N7/E10c/T12b_train16,30,0.03543,0.936709,0.897959,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,31,0.024755,0.936709,0.897959,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,32,0.018176,0.962025,0.93617,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,33,0.04657,0.962025,0.93617,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,34,0.083055,0.962025,0.93617,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,35,0.024838,0.962025,0.93617,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,36,0.062436,0.974684,0.956522,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,37,0.066179,0.974684,0.956522,0.772727,0.666667,0.636364,0.578947
M3/N7/E10c/T12b_train16,38,0.06507,0.987342,0.977778,0.772727,0.666667,0.659091,0.594595
M3/N7/E10c/T12b_train16,39,0.027584,0.987342,0.977778,0.772727,0.666667,0.659091,0.594595
M3/N7/E10c/T12b_train16,40,0.038572,0.987342,0.977778,0.772727,0.666667,0.681818,0.611111
M3/N7/E10c/T12b_train16,41,0.028394,1.0,1.0,0.772727,0.666667,0.704545,0.628571
M3/N7/E10c/T12b_train16,42,0.021187,1.0,1.0,0.772727,0.666667,0.704545,0.628571
M3/N7/E10c/T12b_train16,43,0.01753,1.0,1.0,0.772727,0.666667,0.727273,0.647059
M3/N7/E10c/T12b_train16,44,0.013808,1.0,1.0,0.772727,0.666667,0.75,0.666667
M3/N7/E10c/T12b_train16,45,0.026979,1.0,1.0,0.772727,0.666667,0.75,0.666667
M3/N7/E10c/T12b_train16,46,0.008692,1.0,1.0,0.772727,0.666667,0.75,0.666667
M3/N7/E10c/T12b_train16,47,0.013123,0.987342,0.977778,0.772727,0.666667,0.727273,0.647059
M3/N7/E10c/T12b_train16,48,0.020093,0.987342,0.977778,0.772727,0.666667,0.727273,0.647059
M3/N7/E10c/T12b_train16,49,0.005725,1.0,1.0,0.772727,0.666667,0.75,0.666667
M3/N7/E10c/T12b_train16,50,0.006599,1.0,1.0,0.772727,0.666667,0.75,0.666667
M3/N7/E10c/T12b_train16,51,0.004953,1.0,1.0,0.772727,0.666667,0.727273,0.647059
M3/N7/E10c/T12b_train16,52,0.034705,1.0,1.0,0.772727,0.666667,0.704545,0.580645
M3/N7/E10c/T12b_train16,53,0.006077,1.0,1.0,0.772727,0.666667,0.681818,0.5625
M3/N7/E10c/T12b_train16,54,0.008805,1.0,1.0,0.772727,0.666667,0.681818,0.5625
M3/N7/E10c/T12b_train16,55,0.008338,1.0,1.0,0.772727,0.666667,0.704545,0.580645
M3/N7/E10c/T12b_train16,56,0.003568,1.0,1.0,0.772727,0.666667,0.704545,0.580645
M3/N7/E10c/T12b_train16,57,0.007627,1.0,1.0,0.772727,0.666667,0.704545,0.580645
M3/N7/E10c/T12b_train16,58,0.00083,1.0,1.0,0.772727,0.666667,0.704545,0.580645
M3/N7/E10c/T12b_train16,59,0.023026,1.0,1.0,0.772727,0.666667,0.704545,0.580645
M3/N7/E10c/T12b_train16,60,0.000924,1.0,1.0,0.772727,0.666667,0.704545,0.580645
M3/N7/E10c/T12b_train16,61,0.009822,1.0,1.0,0.727273,0.571429,0.704545,0.580645
M3/N7/E10c/T12b_train16,62,0.0036,1.0,1.0,0.772727,0.615385,0.704545,0.580645
M3/N7/E10c/T12b_train16,63,0.0147,1.0,1.0,0.772727,0.615385,0.704545,0.580645
M3/N7/E10c/T12b_train16,64,0.065525,1.0,1.0,0.772727,0.615385,0.727273,0.6
M3/N7/E10c/T12b_train16,65,0.011439,1.0,1.0,0.772727,0.615385,0.75,0.62069
M3/N7/E10c/T12b_train16,66,0.006723,1.0,1.0,0.772727,0.615385,0.75,0.62069
M3/N7/E10c/T12b_train16,67,0.01557,1.0,1.0,0.772727,0.615385,0.75,0.62069
M3/N7/E10c/T12b_train16,68,0.005313,1.0,1.0,0.772727,0.615385,0.772727,0.642857
M3/N7/E10c/T12b_train16,69,0.014852,1.0,1.0,0.772727,0.615385,0.795455,0.666667
M3/N7/E10c/T12b_train16,70,0.001412,1.0,1.0,0.772727,0.615385,0.795455,0.666667
