experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N8/E10b/T12a_train03,1,0.621423,0.994744,0.024096,0.993815,0.0,0.995242,0.047619
M3/N8/E10b/T12a_train03,2,0.174215,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,3,0.0589,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,4,0.032457,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,5,0.02812,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,6,0.027005,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,7,0.026777,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,8,0.028025,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,9,0.021276,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,10,0.017388,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,11,0.015811,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,12,0.015796,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,13,0.016847,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,14,0.015493,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,15,0.015214,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,16,0.015157,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,17,0.015152,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,18,0.01666,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,19,0.015232,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,20,0.016228,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,21,0.015287,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,22,0.015076,0.996237,0.0,0.996194,0.0,0.997502,0.0
M3/N8/E10b/T12a_train03,23,0.014725,0.996237,0.0,0.996194,0.0,0.997502,0.0
