experiment_id,epoch,loss,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
M3/N8/E11a/T12b_train66,1,0.657382,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,2,0.184432,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,3,0.047953,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,4,0.023666,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,5,0.018988,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,6,0.018041,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,7,0.017796,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,8,0.018259,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,9,0.018289,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,10,0.017157,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,11,0.017475,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,12,0.016653,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,13,0.016336,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,14,0.015805,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,15,0.016183,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,16,0.014325,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,17,0.013674,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,18,0.013425,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,19,0.013325,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,20,0.013393,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,21,0.012808,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,22,0.012575,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,23,0.012896,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,24,0.012,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,25,0.011873,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,26,0.011369,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,27,0.011106,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,28,0.0104,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,29,0.010636,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,30,0.010292,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,31,0.010052,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,32,0.00959,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,33,0.009459,0.995752,0.0,0.993631,0.0,0.996638,0.0
M3/N8/E11a/T12b_train66,34,0.009256,0.995752,0.0,0.993631,0.0,0.996638,0.0
