experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12a_train08,1,3.887969,3.841573,0.057407,0.147098,3.83543,0.081081,0.148013,3.844678,0.027119,0.146638
M1/N7/E10b/T12a_train08,2,3.811118,3.835837,0.061111,0.147938,3.830909,0.087838,0.14868,3.839412,0.027119,0.147404
M1/N7/E10b/T12a_train08,3,3.727905,3.82886,0.061111,0.148966,3.825077,0.087838,0.149541,3.832759,0.030508,0.148381
M1/N7/E10b/T12a_train08,4,3.650076,3.81885,0.061111,0.150464,3.816648,0.081081,0.150808,3.823095,0.027119,0.149825
M1/N7/E10b/T12a_train08,5,3.551957,3.805876,0.174074,0.152444,3.805505,0.182432,0.15252,3.810647,0.108475,0.151721
M1/N7/E10b/T12a_train08,6,3.476254,3.790426,0.17037,0.154855,3.792061,0.182432,0.154636,3.795814,0.183051,0.154036
M1/N7/E10b/T12a_train08,7,3.388024,3.772327,0.168519,0.157757,3.776183,0.182432,0.157207,3.778502,0.183051,0.156812
M1/N7/E10b/T12a_train08,8,3.29507,3.750733,0.168519,0.16132,3.757281,0.182432,0.160359,3.757805,0.183051,0.160229
M1/N7/E10b/T12a_train08,9,3.23139,3.725823,0.168519,0.165576,3.735588,0.182432,0.164108,3.733885,0.183051,0.164318
M1/N7/E10b/T12a_train08,10,3.140912,3.697655,0.168519,0.170582,3.711095,0.182432,0.168508,3.706975,0.183051,0.1691
M1/N7/E10b/T12a_train08,11,3.04835,3.666781,0.168519,0.176301,3.684511,0.182432,0.173474,3.67745,0.183051,0.174562
M1/N7/E10b/T12a_train08,12,2.972591,3.634107,0.168519,0.182624,3.656825,0.182432,0.178857,3.646458,0.183051,0.180543
M1/N7/E10b/T12a_train08,13,2.901554,3.600295,0.168519,0.189436,3.628709,0.182432,0.184508,3.61479,0.183051,0.186888
M1/N7/E10b/T12a_train08,14,2.834668,3.565986,0.168519,0.196577,3.600819,0.182432,0.19025,3.583206,0.183051,0.193403
M1/N7/E10b/T12a_train08,15,2.788001,3.532197,0.17037,0.203766,3.574188,0.182432,0.195784,3.55294,0.183051,0.199748
M1/N7/E10b/T12a_train08,16,2.733908,3.499485,0.175926,0.210853,3.549167,0.182432,0.200994,3.524429,0.183051,0.205785
M1/N7/E10b/T12a_train08,17,2.70144,3.467613,0.196296,0.217828,3.52569,0.195946,0.205848,3.497655,0.2,0.211452
M1/N7/E10b/T12a_train08,18,2.638004,3.437616,0.22963,0.224516,3.504599,0.202703,0.210204,3.473785,0.233898,0.216536
M1/N7/E10b/T12a_train08,19,2.581909,3.408541,0.259259,0.23103,3.485206,0.216216,0.214117,3.451931,0.257627,0.221129
M1/N7/E10b/T12a_train08,20,2.522873,3.379942,0.281481,0.237592,3.467018,0.222973,0.21783,3.431477,0.281356,0.225473
M1/N7/E10b/T12a_train08,21,2.491063,3.352393,0.312963,0.244069,3.450033,0.222973,0.221339,3.412908,0.294915,0.229462
M1/N7/E10b/T12a_train08,22,2.467868,3.326664,0.333333,0.250257,3.435532,0.243243,0.224329,3.397027,0.308475,0.232892
M1/N7/E10b/T12a_train08,23,2.420666,3.300051,0.359259,0.257046,3.4208,0.25,0.227647,3.381136,0.311864,0.236593
M1/N7/E10b/T12a_train08,24,2.31117,3.272573,0.37963,0.264252,3.405879,0.277027,0.231146,3.365593,0.322034,0.240309
M1/N7/E10b/T12a_train08,25,2.267892,3.243819,0.390741,0.272081,3.390551,0.297297,0.234936,3.3497,0.315254,0.244278
M1/N7/E10b/T12a_train08,26,2.247221,3.21424,0.394444,0.280423,3.375611,0.310811,0.238796,3.333851,0.311864,0.248422
M1/N7/E10b/T12a_train08,27,2.222525,3.182845,0.403704,0.289673,3.360034,0.310811,0.243096,3.31728,0.298305,0.253061
M1/N7/E10b/T12a_train08,28,2.120653,3.149254,0.418519,0.299865,3.343196,0.317568,0.247929,3.299639,0.298305,0.258187
M1/N7/E10b/T12a_train08,29,2.081324,3.112551,0.435185,0.311282,3.324673,0.310811,0.253391,3.280319,0.311864,0.263965
M1/N7/E10b/T12a_train08,30,2.052822,3.072776,0.457407,0.32395,3.304839,0.317568,0.2594,3.25894,0.325424,0.270522
M1/N7/E10b/T12a_train08,31,2.025218,3.029961,0.47963,0.337848,3.283541,0.324324,0.266049,3.235692,0.332203,0.277813
M1/N7/E10b/T12a_train08,32,1.955678,2.983858,0.501852,0.352939,3.260255,0.331081,0.273372,3.210517,0.349153,0.285766
