experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train04,1,3.845088,3.843587,0.011029,0.146802,3.851781,0.006711,0.145614,3.845628,0.010067,0.146517
M1/N7/E10b/T12e_train04,2,3.847824,3.839743,0.011029,0.147378,3.848434,0.006711,0.14611,3.841786,0.010067,0.147093
M1/N7/E10b/T12e_train04,3,3.843315,3.836018,0.03125,0.147939,3.84517,0.013423,0.146595,3.838051,0.02349,0.147655
M1/N7/E10b/T12e_train04,4,3.836261,3.832507,0.03125,0.148471,3.842093,0.013423,0.147055,3.834524,0.02349,0.148189
M1/N7/E10b/T12e_train04,5,3.822095,3.829078,0.03125,0.148992,3.839109,0.013423,0.147503,3.831116,0.02349,0.148707
M1/N7/E10b/T12e_train04,6,3.81628,3.82578,0.03125,0.149496,3.836231,0.013423,0.147936,3.827868,0.02349,0.149203
M1/N7/E10b/T12e_train04,7,3.788196,3.822565,0.03125,0.149988,3.833388,0.013423,0.148366,3.824708,0.02349,0.149687
M1/N7/E10b/T12e_train04,8,3.766245,3.819356,0.185662,0.150481,3.830532,0.147651,0.148798,3.821562,0.177852,0.150171
M1/N7/E10b/T12e_train04,9,3.734666,3.816172,0.185662,0.150971,3.827683,0.147651,0.14923,3.818448,0.177852,0.150651
M1/N7/E10b/T12e_train04,10,3.683447,3.812983,0.185662,0.151463,3.824804,0.147651,0.149668,3.815328,0.177852,0.151133
M1/N7/E10b/T12e_train04,11,3.646517,3.809682,0.185662,0.151975,3.82184,0.147651,0.15012,3.812106,0.177852,0.151633
M1/N7/E10b/T12e_train04,12,3.598066,3.806208,0.185662,0.152515,3.818695,0.147651,0.150601,3.808734,0.177852,0.152159
M1/N7/E10b/T12e_train04,13,3.529947,3.802515,0.185662,0.153092,3.815327,0.147651,0.151118,3.805143,0.177852,0.152722
M1/N7/E10b/T12e_train04,14,3.497653,3.798467,0.185662,0.153728,3.811671,0.147651,0.151683,3.801211,0.177852,0.153341
M1/N7/E10b/T12e_train04,15,3.483741,3.79397,0.185662,0.154437,3.807663,0.147651,0.152305,3.796869,0.177852,0.154029
M1/N7/E10b/T12e_train04,16,3.462957,3.789082,0.185662,0.155214,3.803298,0.147651,0.152986,3.792144,0.177852,0.154782
M1/N7/E10b/T12e_train04,17,3.426274,3.783985,0.185662,0.156027,3.798756,0.147651,0.153699,3.787226,0.177852,0.15557
M1/N7/E10b/T12e_train04,18,3.405941,3.778525,0.185662,0.156903,3.7939,0.147651,0.154464,3.782003,0.177852,0.156412
M1/N7/E10b/T12e_train04,19,3.426291,3.773262,0.185662,0.157748,3.789229,0.147651,0.155201,3.777079,0.177852,0.157208
M1/N7/E10b/T12e_train04,20,3.419256,3.768361,0.185662,0.158535,3.784909,0.147651,0.155882,3.772552,0.177852,0.157941
M1/N7/E10b/T12e_train04,21,3.406454,3.763983,0.185662,0.159235,3.781013,0.147651,0.156492,3.768587,0.177852,0.15858
M1/N7/E10b/T12e_train04,22,3.411342,3.760149,0.185662,0.159844,3.777582,0.147651,0.157027,3.765172,0.177852,0.159127
M1/N7/E10b/T12e_train04,23,3.388727,3.756718,0.185662,0.160384,3.774506,0.147651,0.157503,3.762159,0.177852,0.159605
M1/N7/E10b/T12e_train04,24,3.437649,3.753652,0.185662,0.160862,3.771737,0.147651,0.157928,3.759495,0.177852,0.160024
M1/N7/E10b/T12e_train04,25,3.38298,3.751123,0.185662,0.161249,3.769449,0.147651,0.158273,3.757369,0.177852,0.160352
M1/N7/E10b/T12e_train04,26,3.375043,3.748958,0.185662,0.161574,3.767482,0.147651,0.158566,3.755603,0.177852,0.160618
M1/N7/E10b/T12e_train04,27,3.349772,3.746927,0.185662,0.161878,3.765625,0.147651,0.158841,3.753964,0.177852,0.160865
M1/N7/E10b/T12e_train04,28,3.365821,3.744848,0.185662,0.162192,3.76375,0.147651,0.159121,3.752287,0.177852,0.161119
M1/N7/E10b/T12e_train04,29,3.327544,3.74264,0.185662,0.162529,3.761752,0.147651,0.159422,3.750455,0.177852,0.1614
M1/N7/E10b/T12e_train04,30,3.387018,3.740385,0.185662,0.162877,3.759724,0.147651,0.15973,3.748536,0.177852,0.161699
M1/N7/E10b/T12e_train04,31,3.337233,3.737996,0.185662,0.16325,3.757576,0.147651,0.16006,3.746429,0.177852,0.162032
M1/N7/E10b/T12e_train04,32,3.358926,3.735207,0.185662,0.163693,3.755087,0.147651,0.160449,3.743912,0.177852,0.162437
M1/N7/E10b/T12e_train04,33,3.3753,3.732148,0.185662,0.164184,3.752368,0.147651,0.160878,3.741104,0.177852,0.162892
M1/N7/E10b/T12e_train04,34,3.342281,3.728479,0.185662,0.164782,3.749122,0.147651,0.161398,3.737684,0.177852,0.163456
M1/N7/E10b/T12e_train04,35,3.328771,3.724181,0.185662,0.165489,3.74535,0.147651,0.162007,3.733657,0.177852,0.164127
M1/N7/E10b/T12e_train04,36,3.352382,3.719172,0.185662,0.16632,3.740959,0.147651,0.16272,3.728917,0.177852,0.164923
M1/N7/E10b/T12e_train04,37,3.356487,3.713852,0.185662,0.16721,3.736269,0.147651,0.163489,3.723845,0.177852,0.165783
M1/N7/E10b/T12e_train04,38,3.32562,3.707898,0.185662,0.168214,3.731069,0.147651,0.164348,3.718184,0.177852,0.166751
M1/N7/E10b/T12e_train04,39,3.341195,3.701296,0.185662,0.169337,3.725271,0.147651,0.165313,3.711902,0.177852,0.167837
M1/N7/E10b/T12e_train04,40,3.381406,3.694227,0.185662,0.17055,3.719031,0.147651,0.166358,3.705225,0.177852,0.169004
M1/N7/E10b/T12e_train04,41,3.33097,3.686386,0.185662,0.171909,3.712165,0.147651,0.167519,3.697816,0.177852,0.170313
M1/N7/E10b/T12e_train04,42,3.364068,3.678174,0.185662,0.173346,3.705006,0.147651,0.168741,3.690049,0.177852,0.171702
M1/N7/E10b/T12e_train04,43,3.34973,3.669271,0.185662,0.174917,3.697239,0.147651,0.170077,3.681579,0.177852,0.173229
M1/N7/E10b/T12e_train04,44,3.328507,3.65967,0.185662,0.176624,3.688861,0.147651,0.171528,3.67248,0.177852,0.174888
M1/N7/E10b/T12e_train04,45,3.33873,3.649467,0.185662,0.178448,3.67998,0.147651,0.173075,3.662872,0.177852,0.176656
M1/N7/E10b/T12e_train04,46,3.326437,3.638666,0.185662,0.180399,3.670617,0.147651,0.17472,3.652691,0.177852,0.178552
M1/N7/E10b/T12e_train04,47,3.342244,3.627673,0.185662,0.182395,3.661113,0.147651,0.176397,3.64246,0.177852,0.180477
M1/N7/E10b/T12e_train04,48,3.330138,3.616287,0.185662,0.184471,3.651252,0.147651,0.178145,3.631859,0.177852,0.182488
M1/N7/E10b/T12e_train04,49,3.309833,3.604975,0.185662,0.186538,3.641485,0.147651,0.179877,3.621416,0.177852,0.184482
M1/N7/E10b/T12e_train04,50,3.328644,3.593999,0.185662,0.188542,3.63204,0.147651,0.181553,3.611413,0.177852,0.186405
M1/N7/E10b/T12e_train04,51,3.299046,3.582727,0.185662,0.190616,3.622357,0.147651,0.183284,3.601027,0.177852,0.188418
M1/N7/E10b/T12e_train04,52,3.346664,3.571419,0.185662,0.192696,3.612568,0.147651,0.185036,3.590629,0.177852,0.190446
M1/N7/E10b/T12e_train04,53,3.337666,3.560365,0.185662,0.194728,3.602966,0.147651,0.186763,3.580492,0.177852,0.192437
M1/N7/E10b/T12e_train04,54,3.317362,3.549545,0.185662,0.19671,3.593634,0.147651,0.188438,3.57065,0.177852,0.194382
M1/N7/E10b/T12e_train04,55,3.323585,3.539486,0.185662,0.198533,3.584985,0.147651,0.189986,3.56159,0.177852,0.196172
M1/N7/E10b/T12e_train04,56,3.320359,3.5295,0.185662,0.200338,3.576224,0.147651,0.191553,3.552695,0.177852,0.197939
M1/N7/E10b/T12e_train04,57,3.328283,3.518828,0.185662,0.202266,3.566953,0.147651,0.193207,3.543274,0.177852,0.199815
M1/N7/E10b/T12e_train04,58,3.317832,3.507464,0.185662,0.20433,3.557096,0.147651,0.194974,3.533299,0.177852,0.201818
M1/N7/E10b/T12e_train04,59,3.312247,3.495407,0.185662,0.206527,3.5465,0.147651,0.196872,3.522763,0.177852,0.203944
M1/N7/E10b/T12e_train04,60,3.314403,3.483304,0.185662,0.208706,3.535918,0.147651,0.19875,3.512238,0.177852,0.206061
