experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10c/T12e_train04,1,3.851813,3.849933,0.020221,0.145841,3.852444,0.006711,0.145481,3.8497,0.02349,0.145869
M1/N7/E10c/T12e_train04,2,3.848344,3.845651,0.020221,0.146462,3.848427,0.006711,0.146064,3.845571,0.02349,0.146467
M1/N7/E10c/T12e_train04,3,3.838131,3.841509,0.020221,0.147066,3.844532,0.006711,0.146633,3.841574,0.02349,0.14705
M1/N7/E10c/T12e_train04,4,3.830363,3.8377,0.016544,0.147625,3.840938,0.020134,0.14716,3.837927,0.030201,0.147585
M1/N7/E10c/T12e_train04,5,3.816841,3.834146,0.022059,0.14815,3.837577,0.013423,0.147656,3.834482,0.02349,0.148094
M1/N7/E10c/T12e_train04,6,3.781037,3.830745,0.022059,0.148654,3.834339,0.013423,0.148135,3.83117,0.02349,0.148584
M1/N7/E10c/T12e_train04,7,3.750354,3.827452,0.022059,0.149144,3.831169,0.013423,0.148605,3.827946,0.02349,0.149064
M1/N7/E10c/T12e_train04,8,3.728039,3.824204,0.022059,0.149629,3.828048,0.013423,0.14907,3.824767,0.02349,0.149539
M1/N7/E10c/T12e_train04,9,3.6796,3.820982,0.027574,0.150111,3.824958,0.026846,0.149531,3.821598,0.02349,0.150014
M1/N7/E10c/T12e_train04,10,3.643757,3.817694,0.029412,0.150606,3.821802,0.020134,0.150005,3.818356,0.016779,0.150503
M1/N7/E10c/T12e_train04,11,3.604261,3.814329,0.029412,0.151115,3.818584,0.020134,0.15049,3.815037,0.016779,0.151005
M1/N7/E10c/T12e_train04,12,3.551064,3.810734,0.185662,0.151662,3.815181,0.147651,0.151005,3.811459,0.177852,0.15155
M1/N7/E10c/T12e_train04,13,3.523428,3.806726,0.185662,0.152275,3.811428,0.147651,0.151577,3.807461,0.177852,0.152163
M1/N7/E10c/T12e_train04,14,3.480265,3.80233,0.185662,0.152953,3.807319,0.147651,0.152208,3.803092,0.177852,0.152837
M1/N7/E10c/T12e_train04,15,3.433787,3.79751,0.185662,0.1537,3.802812,0.147651,0.152903,3.7983,0.177852,0.153582
M1/N7/E10c/T12e_train04,16,3.447563,3.792799,0.185662,0.154433,3.798413,0.147651,0.153583,3.79367,0.177852,0.154303
M1/N7/E10c/T12e_train04,17,3.434437,3.788394,0.185662,0.155118,3.794274,0.147651,0.154224,3.789341,0.177852,0.154979
M1/N7/E10c/T12e_train04,18,3.429323,3.784553,0.185662,0.155712,3.790611,0.147651,0.154788,3.785571,0.177852,0.155565
M1/N7/E10c/T12e_train04,19,3.430238,3.781149,0.185662,0.156235,3.787344,0.147651,0.155289,3.782259,0.177852,0.156077
M1/N7/E10c/T12e_train04,20,3.412579,3.777966,0.185662,0.156722,3.784268,0.147651,0.155759,3.779191,0.177852,0.15655
M1/N7/E10c/T12e_train04,21,3.402288,3.775205,0.185662,0.157139,3.781601,0.147651,0.156162,3.776547,0.177852,0.156953
M1/N7/E10c/T12e_train04,22,3.40686,3.772668,0.185662,0.157519,3.779113,0.147651,0.156536,3.774117,0.177852,0.157321
M1/N7/E10c/T12e_train04,23,3.414287,3.770462,0.185662,0.157846,3.776946,0.147651,0.156859,3.77203,0.177852,0.157633
M1/N7/E10c/T12e_train04,24,3.360182,3.768212,0.185662,0.158179,3.774774,0.147651,0.157181,3.769948,0.177852,0.157944
M1/N7/E10c/T12e_train04,25,3.396487,3.766127,0.185662,0.158486,3.772771,0.147651,0.157476,3.768063,0.177852,0.158224
M1/N7/E10c/T12e_train04,26,3.352736,3.763964,0.185662,0.158806,3.770709,0.147651,0.157782,3.7661,0.177852,0.158518
