experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E10c/T12a_train05,1,3.876181,3.854795,0.026531,0.145203,3.856101,0.022388,0.145022,3.854766,0.011194,0.145212
M1/N8/E10c/T12a_train05,2,3.806145,3.849365,0.026531,0.145971,3.850366,0.022388,0.145832,3.849581,0.011194,0.145947
M1/N8/E10c/T12a_train05,3,3.709273,3.841717,0.026531,0.147065,3.842393,0.022388,0.14697,3.84223,0.011194,0.146999
M1/N8/E10c/T12a_train05,4,3.678707,3.832148,0.026531,0.148453,3.832473,0.022388,0.148408,3.833058,0.011194,0.148329
M1/N8/E10c/T12a_train05,5,3.599415,3.81947,0.026531,0.150328,3.81941,0.022388,0.150344,3.820956,0.011194,0.150117
M1/N8/E10c/T12a_train05,6,3.521982,3.80398,0.026531,0.152667,3.803778,0.022388,0.15272,3.806276,0.011194,0.152327
M1/N8/E10c/T12a_train05,7,3.458133,3.785389,0.183673,0.155546,3.785158,0.19403,0.155634,3.788649,0.160448,0.155045
M1/N8/E10c/T12a_train05,8,3.406777,3.763251,0.161224,0.159069,3.763207,0.186567,0.159181,3.767616,0.145522,0.15837
M1/N8/E10c/T12a_train05,9,3.3256,3.738138,0.161224,0.163184,3.738576,0.186567,0.163302,3.743788,0.145522,0.162241
M1/N8/E10c/T12a_train05,10,3.240698,3.710109,0.161224,0.16791,3.711503,0.186567,0.167992,3.717173,0.145522,0.166677
M1/N8/E10c/T12a_train05,11,3.192686,3.679039,0.161224,0.173301,3.68173,0.186567,0.173335,3.68765,0.145522,0.171727
M1/N8/E10c/T12a_train05,12,3.19262,3.645833,0.161224,0.17922,3.650312,0.186567,0.179172,3.656258,0.145522,0.177229
M1/N8/E10c/T12a_train05,13,3.113741,3.611259,0.161224,0.185495,3.617995,0.186567,0.185333,3.623558,0.145522,0.183048
M1/N8/E10c/T12a_train05,14,3.064451,3.57555,0.161224,0.192053,3.585425,0.186567,0.191664,3.589936,0.145522,0.189084
M1/N8/E10c/T12a_train05,15,2.998882,3.538988,0.161224,0.198789,3.552729,0.186567,0.198086,3.555613,0.145522,0.195249
M1/N8/E10c/T12a_train05,16,3.004619,3.503081,0.161224,0.205321,3.521672,0.186567,0.204131,3.522066,0.145522,0.201184
M1/N8/E10c/T12a_train05,17,2.926264,3.467182,0.161224,0.21176,3.491378,0.186567,0.209962,3.488602,0.145522,0.207005
M1/N8/E10c/T12a_train05,18,2.934481,3.43303,0.169388,0.217724,3.46359,0.19403,0.215147,3.456874,0.145522,0.21236
M1/N8/E10c/T12a_train05,19,2.856641,3.40035,0.189796,0.223321,3.437783,0.208955,0.219844,3.426758,0.160448,0.217331
M1/N8/E10c/T12a_train05,20,2.863986,3.369127,0.208163,0.22855,3.414094,0.223881,0.224036,3.398229,0.182836,0.22192
M1/N8/E10c/T12a_train05,21,2.812433,3.340217,0.22449,0.233285,3.393246,0.238806,0.227597,3.372251,0.190299,0.225998
M1/N8/E10c/T12a_train05,22,2.764733,3.313465,0.228571,0.237758,3.374649,0.253731,0.230859,3.348732,0.201493,0.229754
M1/N8/E10c/T12a_train05,23,2.703077,3.288502,0.230612,0.242116,3.357917,0.268657,0.233967,3.327539,0.212687,0.233287
M1/N8/E10c/T12a_train05,24,2.683681,3.263649,0.238776,0.246814,3.341486,0.276119,0.237381,3.307061,0.216418,0.236999
M1/N8/E10c/T12a_train05,25,2.728394,3.239496,0.242857,0.251827,3.325809,0.276119,0.241063,3.287901,0.216418,0.240857
M1/N8/E10c/T12a_train05,26,2.595539,3.215406,0.246939,0.257157,3.310363,0.268657,0.245078,3.269548,0.223881,0.24481
M1/N8/E10c/T12a_train05,27,2.588098,3.191605,0.244898,0.262825,3.295461,0.276119,0.249331,3.252254,0.231343,0.248883
M1/N8/E10c/T12a_train05,28,2.576196,3.167246,0.253061,0.26905,3.280118,0.268657,0.254103,3.235262,0.227612,0.253228
M1/N8/E10c/T12a_train05,29,2.540629,3.142755,0.253061,0.275577,3.264818,0.261194,0.259159,3.218744,0.227612,0.257686
M1/N8/E10c/T12a_train05,30,2.493692,3.117586,0.25102,0.282501,3.249339,0.253731,0.264492,3.202348,0.223881,0.262294
M1/N8/E10c/T12a_train05,31,2.472829,3.092175,0.253061,0.289584,3.234033,0.246269,0.269857,3.186669,0.220149,0.266805
M1/N8/E10c/T12a_train05,32,2.402738,3.066364,0.255102,0.296817,3.219385,0.238806,0.275015,3.17147,0.220149,0.271252
M1/N8/E10c/T12a_train05,33,2.386286,3.040127,0.259184,0.304161,3.205298,0.238806,0.27995,3.157141,0.220149,0.275519
M1/N8/E10c/T12a_train05,34,2.371918,3.013216,0.265306,0.311714,3.191517,0.238806,0.284695,3.143336,0.223881,0.279716
M1/N8/E10c/T12a_train05,35,2.336366,2.985313,0.271429,0.319545,3.178417,0.246269,0.289083,3.129763,0.227612,0.283832
M1/N8/E10c/T12a_train05,36,2.308624,2.956134,0.27551,0.327744,3.164953,0.268657,0.293508,3.116261,0.227612,0.287961
M1/N8/E10c/T12a_train05,37,2.291044,2.926975,0.283673,0.336016,3.152155,0.283582,0.29757,3.103537,0.227612,0.291899
M1/N8/E10c/T12a_train05,38,2.255133,2.89596,0.287755,0.344786,3.139224,0.291045,0.301506,3.090431,0.231343,0.29591
M1/N8/E10c/T12a_train05,39,2.264022,2.863369,0.306122,0.353962,3.125996,0.298507,0.305392,3.077202,0.238806,0.299881
M1/N8/E10c/T12a_train05,40,2.185352,2.829638,0.322449,0.363378,3.113375,0.30597,0.308922,3.064294,0.242537,0.30366
M1/N8/E10c/T12a_train05,41,2.188589,2.793511,0.353061,0.373313,3.099215,0.313433,0.312717,3.050758,0.25,0.307511
M1/N8/E10c/T12a_train05,42,2.094387,2.754997,0.367347,0.383825,3.083877,0.313433,0.316719,3.037034,0.264925,0.311278
M1/N8/E10c/T12a_train05,43,2.070643,2.713968,0.387755,0.394855,3.067516,0.328358,0.320932,3.022455,0.264925,0.315128
M1/N8/E10c/T12a_train05,44,2.082205,2.671055,0.406122,0.40624,3.050735,0.328358,0.325163,3.007532,0.283582,0.318989
