experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E11b/T12b_train03,1,3.919024,3.843211,0.028283,0.146863,3.838207,0.044118,0.147593,3.839703,0.01845,0.147393
M1/N8/E11b/T12b_train03,2,3.860604,3.835264,0.010101,0.148039,3.830934,0.014706,0.148677,3.831879,0.01107,0.148548
M1/N8/E11b/T12b_train03,3,3.784359,3.823673,0.175758,0.149795,3.820218,0.191176,0.15031,3.82059,0.154982,0.150253
M1/N8/E11b/T12b_train03,4,3.684585,3.806901,0.185859,0.152405,3.804567,0.198529,0.152769,3.804726,0.162362,0.152712
M1/N8/E11b/T12b_train03,5,3.619628,3.784313,0.185859,0.156059,3.783145,0.198529,0.156277,3.784216,0.162362,0.156019
M1/N8/E11b/T12b_train03,6,3.545882,3.757637,0.185859,0.160555,3.758336,0.198529,0.160537,3.760734,0.162362,0.159965
M1/N8/E11b/T12b_train03,7,3.476727,3.725624,0.185859,0.16619,3.72873,0.198529,0.165871,3.73128,0.162362,0.165095
M1/N8/E11b/T12b_train03,8,3.423045,3.686475,0.185859,0.17351,3.691777,0.198529,0.172965,3.695578,0.162362,0.171684
M1/N8/E11b/T12b_train03,9,3.376932,3.642114,0.185859,0.182307,3.650585,0.198529,0.181439,3.655109,0.162362,0.179571
M1/N8/E11b/T12b_train03,10,3.332335,3.592817,0.185859,0.192629,3.6047,0.198529,0.191422,3.609791,0.162362,0.188834
M1/N8/E11b/T12b_train03,11,3.23886,3.542521,0.185859,0.203584,3.558028,0.198529,0.202091,3.56441,0.162362,0.198453
M1/N8/E11b/T12b_train03,12,3.18842,3.491758,0.185859,0.214921,3.511307,0.198529,0.213117,3.518357,0.162362,0.208366
M1/N8/E11b/T12b_train03,13,3.129171,3.435267,0.185859,0.22739,3.459761,0.198529,0.225293,3.467088,0.162362,0.21922
M1/N8/E11b/T12b_train03,14,3.039041,3.384582,0.185859,0.237817,3.414529,0.198529,0.235331,3.421108,0.162362,0.228281
M1/N8/E11b/T12b_train03,15,3.063284,3.341514,0.185859,0.245755,3.376074,0.198529,0.243108,3.382807,0.162362,0.234919
M1/N8/E11b/T12b_train03,16,3.032551,3.304088,0.185859,0.251886,3.344139,0.198529,0.248881,3.349817,0.162362,0.239986
M1/N8/E11b/T12b_train03,17,3.019395,3.275147,0.185859,0.2559,3.320341,0.198529,0.252457,3.324944,0.162362,0.243242
M1/N8/E11b/T12b_train03,18,2.959436,3.251967,0.185859,0.258646,3.303742,0.198529,0.254386,3.306195,0.162362,0.245545
M1/N8/E11b/T12b_train03,19,2.948263,3.235299,0.185859,0.260569,3.294672,0.198529,0.255128,3.293722,0.162362,0.247228
M1/N8/E11b/T12b_train03,20,2.860635,3.223845,0.185859,0.26182,3.291587,0.198529,0.254955,3.28555,0.162362,0.248554
M1/N8/E11b/T12b_train03,21,2.879363,3.216008,0.187879,0.263088,3.290251,0.198529,0.255181,3.28176,0.162362,0.249502
M1/N8/E11b/T12b_train03,22,2.806407,3.210085,0.19798,0.264347,3.290671,0.198529,0.255098,3.279462,0.177122,0.250526
M1/N8/E11b/T12b_train03,23,2.797668,3.203816,0.208081,0.26629,3.29064,0.205882,0.255981,3.277567,0.177122,0.251831
M1/N8/E11b/T12b_train03,24,2.75631,3.19594,0.208081,0.269345,3.289685,0.205882,0.258278,3.275385,0.177122,0.253642
M1/N8/E11b/T12b_train03,25,2.793901,3.187919,0.208081,0.272356,3.287745,0.205882,0.260645,3.273918,0.177122,0.255084
M1/N8/E11b/T12b_train03,26,2.708822,3.177479,0.208081,0.275991,3.283334,0.205882,0.263877,3.270593,0.177122,0.256782
M1/N8/E11b/T12b_train03,27,2.652116,3.164105,0.20202,0.280006,3.276282,0.205882,0.267471,3.265049,0.177122,0.258441
M1/N8/E11b/T12b_train03,28,2.61604,3.150388,0.20202,0.283696,3.269701,0.205882,0.270581,3.260133,0.177122,0.259746
M1/N8/E11b/T12b_train03,29,2.636899,3.138565,0.2,0.287019,3.265814,0.198529,0.273155,3.257895,0.177122,0.260866
M1/N8/E11b/T12b_train03,30,2.563264,3.123922,0.19596,0.290031,3.258158,0.198529,0.275771,3.254527,0.177122,0.261184
M1/N8/E11b/T12b_train03,31,2.525156,3.110469,0.193939,0.292193,3.254639,0.198529,0.277316,3.253697,0.173432,0.260838
M1/N8/E11b/T12b_train03,32,2.496289,3.096939,0.19596,0.293494,3.252917,0.198529,0.277801,3.25282,0.173432,0.259997
M1/N8/E11b/T12b_train03,33,2.48103,3.084855,0.19596,0.293597,3.253018,0.198529,0.277512,3.256491,0.169742,0.257604
M1/N8/E11b/T12b_train03,34,2.448168,3.073481,0.19596,0.292872,3.255065,0.198529,0.276397,3.262206,0.169742,0.254585
M1/N8/E11b/T12b_train03,35,2.403378,3.055329,0.2,0.294866,3.252269,0.198529,0.276611,3.261215,0.169742,0.254157
M1/N8/E11b/T12b_train03,36,2.404628,3.038226,0.20404,0.296231,3.253308,0.198529,0.276111,3.261004,0.169742,0.253438
M1/N8/E11b/T12b_train03,37,2.376133,3.023983,0.20404,0.297149,3.258052,0.198529,0.275305,3.267364,0.169742,0.251935
