experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12a_train07,1,2.915781,2.869984,0.172727,0.240702,2.873824,0.12,0.23977,2.879266,0.146667,0.238513
M1/N7/E10b/T12a_train07,2,2.78802,2.863136,0.172727,0.242332,2.867321,0.12,0.241317,2.872101,0.146667,0.240219
M1/N7/E10b/T12a_train07,3,2.675755,2.853113,0.172727,0.24476,2.858001,0.12,0.24357,2.861761,0.146667,0.242721
M1/N7/E10b/T12a_train07,4,2.594014,2.839774,0.172727,0.248039,2.845551,0.12,0.246621,2.847998,0.146667,0.246098
M1/N7/E10b/T12a_train07,5,2.513286,2.823088,0.205455,0.252216,2.830099,0.126667,0.250479,2.830767,0.17,0.250406
M1/N7/E10b/T12a_train07,6,2.40368,2.802535,0.301818,0.257485,2.811178,0.26,0.255313,2.809588,0.296667,0.255826
M1/N7/E10b/T12a_train07,7,2.321079,2.778135,0.323636,0.26393,2.789008,0.3,0.261132,2.784568,0.336667,0.262419
M1/N7/E10b/T12a_train07,8,2.198537,2.749623,0.38,0.27171,2.763239,0.353333,0.268103,2.755483,0.353333,0.270332
M1/N7/E10b/T12a_train07,9,2.104767,2.716986,0.530909,0.280946,2.733678,0.493333,0.276377,2.722246,0.52,0.279695
M1/N7/E10b/T12a_train07,10,2.011159,2.681231,0.507273,0.291468,2.701481,0.453333,0.285716,2.686127,0.506667,0.290251
M1/N7/E10b/T12a_train07,11,1.91727,2.642678,0.463636,0.303289,2.666821,0.44,0.296153,2.647246,0.463333,0.302055
M1/N7/E10b/T12a_train07,12,1.863226,2.603023,0.430909,0.315984,2.631302,0.393333,0.307281,2.607494,0.446667,0.314623
M1/N7/E10b/T12a_train07,13,1.784458,2.563165,0.396364,0.329296,2.595716,0.36,0.318867,2.567804,0.416667,0.327674
M1/N7/E10b/T12a_train07,14,1.713441,2.523281,0.381818,0.343151,2.56048,0.353333,0.330747,2.528777,0.393333,0.341
M1/N7/E10b/T12a_train07,15,1.663448,2.483902,0.376364,0.357308,2.525748,0.346667,0.342839,2.490729,0.393333,0.354434
M1/N7/E10b/T12a_train07,16,1.599627,2.445991,0.374545,0.371318,2.492631,0.346667,0.35465,2.455009,0.393333,0.367402
M1/N7/E10b/T12a_train07,17,1.551942,2.407952,0.38,0.385614,2.459356,0.346667,0.366727,2.419657,0.396667,0.380519
M1/N7/E10b/T12a_train07,18,1.496336,2.370818,0.392727,0.399636,2.426788,0.346667,0.378651,2.385869,0.41,0.393263
M1/N7/E10b/T12a_train07,19,1.475193,2.334141,0.398182,0.413418,2.394782,0.36,0.390366,2.353082,0.413333,0.405733
M1/N7/E10b/T12a_train07,20,1.430206,2.298653,0.421818,0.42653,2.364003,0.38,0.40147,2.322094,0.42,0.417434
M1/N7/E10b/T12a_train07,21,1.378136,2.265004,0.427273,0.438735,2.334714,0.386667,0.411859,2.293147,0.423333,0.428282
