experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train08,1,2.905896,2.906838,0.014545,0.231773,2.90521,0.02,0.232151,2.903581,0.006667,0.232576
M1/N7/E10b/T12e_train08,2,2.904957,2.900698,0.014545,0.233195,2.898495,0.02,0.233715,2.897436,0.006667,0.233996
M1/N7/E10b/T12e_train08,3,2.895791,2.894736,0.034545,0.234586,2.89194,0.033333,0.235252,2.89152,0.05,0.235371
M1/N7/E10b/T12e_train08,4,2.876093,2.889056,0.034545,0.235916,2.885687,0.033333,0.236725,2.885876,0.05,0.236688
M1/N7/E10b/T12e_train08,5,2.85271,2.883638,0.034545,0.237192,2.879737,0.033333,0.238134,2.880505,0.05,0.237947
M1/N7/E10b/T12e_train08,6,2.820214,2.878422,0.034545,0.238425,2.874003,0.033333,0.239499,2.875353,0.05,0.23916
M1/N7/E10b/T12e_train08,7,2.776712,2.873341,0.185455,0.239633,2.868435,0.233333,0.240831,2.870353,0.18,0.240343
M1/N7/E10b/T12e_train08,8,2.736059,2.868366,0.185455,0.240821,2.862959,0.233333,0.242148,2.865464,0.18,0.241505
M1/N7/E10b/T12e_train08,9,2.677439,2.863368,0.185455,0.24202,2.857437,0.233333,0.243482,2.860552,0.18,0.242677
M1/N7/E10b/T12e_train08,10,2.615993,2.858387,0.185455,0.243219,2.851906,0.233333,0.244823,2.855654,0.18,0.24385
M1/N7/E10b/T12e_train08,11,2.563962,2.853337,0.185455,0.244439,2.846277,0.233333,0.246193,2.8507,0.18,0.245041
M1/N7/E10b/T12e_train08,12,2.522784,2.84793,0.185455,0.245751,2.840227,0.233333,0.247672,2.84539,0.18,0.246322
M1/N7/E10b/T12e_train08,13,2.521691,2.842343,0.185455,0.247112,2.833977,0.233333,0.249205,2.839906,0.18,0.24765
M1/N7/E10b/T12e_train08,14,2.487481,2.836862,0.185455,0.24845,2.827876,0.233333,0.250705,2.834507,0.18,0.248959
M1/N7/E10b/T12e_train08,15,2.436391,2.831294,0.185455,0.249814,2.821682,0.233333,0.252233,2.828977,0.18,0.250304
M1/N7/E10b/T12e_train08,16,2.483,2.826407,0.185455,0.251011,2.816295,0.233333,0.253561,2.824052,0.18,0.251502
M1/N7/E10b/T12e_train08,17,2.458654,2.822252,0.185455,0.252028,2.811754,0.233333,0.254679,2.819773,0.18,0.252542
M1/N7/E10b/T12e_train08,18,2.461441,2.818538,0.185455,0.252935,2.80773,0.233333,0.255668,2.815895,0.18,0.253482
M1/N7/E10b/T12e_train08,19,2.479528,2.815648,0.185455,0.253636,2.804621,0.233333,0.256427,2.812784,0.18,0.254233
M1/N7/E10b/T12e_train08,20,2.436479,2.813194,0.185455,0.254229,2.801978,0.233333,0.25707,2.810078,0.18,0.254883
M1/N7/E10b/T12e_train08,21,2.474806,2.811319,0.185455,0.254676,2.799979,0.233333,0.257551,2.807931,0.18,0.255394
M1/N7/E10b/T12e_train08,22,2.458792,2.809915,0.185455,0.255006,2.798465,0.233333,0.257911,2.806244,0.18,0.255791
M1/N7/E10b/T12e_train08,23,2.456778,2.80895,0.185455,0.255227,2.797409,0.233333,0.258158,2.804991,0.18,0.256081
M1/N7/E10b/T12e_train08,24,2.43549,2.808153,0.185455,0.255406,2.796542,0.233333,0.258358,2.80391,0.18,0.256329
M1/N7/E10b/T12e_train08,25,2.383509,2.806967,0.185455,0.255682,2.795236,0.233333,0.258668,2.802458,0.18,0.256668
M1/N7/E10b/T12e_train08,26,2.425389,2.805565,0.185455,0.25601,2.793699,0.233333,0.259035,2.800786,0.18,0.25706
M1/N7/E10b/T12e_train08,27,2.418015,2.804239,0.185455,0.256318,2.792248,0.233333,0.259381,2.799196,0.18,0.257431
M1/N7/E10b/T12e_train08,28,2.414374,2.80269,0.185455,0.256684,2.790515,0.233333,0.259801,2.797388,0.18,0.257859
M1/N7/E10b/T12e_train08,29,2.386944,2.801115,0.185455,0.257057,2.788722,0.233333,0.260236,2.795578,0.18,0.258288
M1/N7/E10b/T12e_train08,30,2.400475,2.799288,0.185455,0.257496,2.786617,0.233333,0.260754,2.793554,0.18,0.258773
M1/N7/E10b/T12e_train08,31,2.401327,2.797112,0.185455,0.258024,2.784097,0.233333,0.261379,2.791199,0.18,0.259343
M1/N7/E10b/T12e_train08,32,2.414365,2.794179,0.185455,0.258744,2.78072,0.233333,0.262225,2.78811,0.18,0.260098
M1/N7/E10b/T12e_train08,33,2.422102,2.790503,0.185455,0.259654,2.776486,0.233333,0.263292,2.784293,0.18,0.261037
M1/N7/E10b/T12e_train08,34,2.405215,2.786258,0.185455,0.260711,2.771603,0.233333,0.26453,2.779917,0.18,0.262119
M1/N7/E10b/T12e_train08,35,2.400482,2.781302,0.185455,0.26195,2.765924,0.233333,0.265976,2.774835,0.18,0.263381
M1/N7/E10b/T12e_train08,36,2.410228,2.775185,0.185455,0.263485,2.758933,0.233333,0.267763,2.768583,0.18,0.264939
M1/N7/E10b/T12e_train08,37,2.406054,2.768275,0.185455,0.265228,2.751025,0.233333,0.269796,2.76152,0.18,0.266707
M1/N7/E10b/T12e_train08,38,2.403311,2.760347,0.185455,0.267238,2.741939,0.233333,0.272146,2.753431,0.18,0.268744
M1/N7/E10b/T12e_train08,39,2.405825,2.751519,0.185455,0.269488,2.731884,0.233333,0.274761,2.744439,0.18,0.271016
M1/N7/E10b/T12e_train08,40,2.402953,2.741801,0.185455,0.27198,2.720781,0.233333,0.277673,2.734559,0.18,0.27353
M1/N7/E10b/T12e_train08,41,2.41095,2.731499,0.185455,0.274638,2.708938,0.233333,0.280802,2.724055,0.18,0.276222
M1/N7/E10b/T12e_train08,42,2.379721,2.720266,0.185455,0.27755,2.696066,0.233333,0.284223,2.7126,0.18,0.279167
M1/N7/E10b/T12e_train08,43,2.409382,2.70852,0.185455,0.280613,2.682588,0.233333,0.287833,2.700646,0.18,0.282261
M1/N7/E10b/T12e_train08,44,2.413647,2.695986,0.185455,0.283895,2.668192,0.233333,0.291711,2.687882,0.18,0.285574
M1/N7/E10b/T12e_train08,45,2.388593,2.682504,0.185455,0.287434,2.652704,0.233333,0.295904,2.674169,0.18,0.28914
M1/N7/E10b/T12e_train08,46,2.407836,2.668746,0.185455,0.291055,2.636862,0.233333,0.300215,2.660249,0.18,0.292767
M1/N7/E10b/T12e_train08,47,2.408657,2.654407,0.185455,0.294841,2.620326,0.233333,0.304737,2.645741,0.18,0.296558
M1/N7/E10b/T12e_train08,48,2.380802,2.640467,0.24,0.298519,2.604195,0.266667,0.30916,2.631631,0.256667,0.300241
M1/N7/E10b/T12e_train08,49,2.409034,2.625583,0.24,0.302435,2.586835,0.266667,0.313924,2.616499,0.256667,0.304179
