experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11b/T12b_train06,1,2.926121,2.8834,0.085455,0.237365,2.887589,0.04,0.236335,2.884365,0.066667,0.237104
M1/N7/E11b/T12b_train06,2,2.827227,2.874556,0.085455,0.239426,2.878633,0.04,0.238404,2.875735,0.066667,0.239112
M1/N7/E11b/T12b_train06,3,2.730155,2.863391,0.085455,0.242022,2.866976,0.04,0.241091,2.865119,0.066667,0.241582
M1/N7/E11b/T12b_train06,4,2.640919,2.846559,0.085455,0.24597,2.848547,0.04,0.245396,2.848742,0.066667,0.245418
M1/N7/E11b/T12b_train06,5,2.589061,2.824752,0.085455,0.251212,2.825308,0.04,0.250988,2.827336,0.066667,0.250561
M1/N7/E11b/T12b_train06,6,2.494933,2.798785,0.121818,0.2576,2.798658,0.08,0.257582,2.801709,0.1,0.256867
M1/N7/E11b/T12b_train06,7,2.417382,2.772949,0.352727,0.264072,2.771896,0.346667,0.26435,2.776149,0.313333,0.263261
M1/N7/E11b/T12b_train06,8,2.346252,2.744497,0.272727,0.271358,2.743073,0.333333,0.271825,2.747991,0.263333,0.27045
M1/N7/E11b/T12b_train06,9,2.252405,2.710334,0.22,0.280265,2.707829,0.26,0.281204,2.714331,0.206667,0.279191
M1/N7/E11b/T12b_train06,10,2.205441,2.678191,0.243636,0.288692,2.675331,0.293333,0.289931,2.6827,0.216667,0.287452
M1/N7/E11b/T12b_train06,11,2.118477,2.640169,0.258182,0.298768,2.637501,0.313333,0.300273,2.645276,0.256667,0.297319
M1/N7/E11b/T12b_train06,12,2.04691,2.604748,0.334545,0.308222,2.601871,0.38,0.310068,2.610408,0.316667,0.306575
M1/N7/E11b/T12b_train06,13,1.983661,2.572572,0.372727,0.316873,2.569504,0.406667,0.319095,2.579164,0.366667,0.314903
M1/N7/E11b/T12b_train06,14,1.906749,2.53868,0.429091,0.326173,2.535749,0.433333,0.328681,2.546373,0.4,0.32379
M1/N7/E11b/T12b_train06,15,1.862998,2.511316,0.458182,0.333765,2.51052,0.46,0.335826,2.521051,0.426667,0.330662
M1/N7/E11b/T12b_train06,16,1.801139,2.486252,0.447273,0.340968,2.487249,0.473333,0.342631,2.498328,0.4,0.337033
M1/N7/E11b/T12b_train06,17,1.798836,2.464417,0.443636,0.347345,2.46831,0.486667,0.348208,2.479869,0.39,0.342219
M1/N7/E11b/T12b_train06,18,1.736237,2.445438,0.432727,0.353247,2.453488,0.453333,0.352807,2.464776,0.393333,0.346736
M1/N7/E11b/T12b_train06,19,1.680472,2.424516,0.429091,0.359999,2.437336,0.433333,0.358091,2.448641,0.383333,0.351742
M1/N7/E11b/T12b_train06,20,1.625988,2.408398,0.42,0.365396,2.42618,0.433333,0.361864,2.437984,0.36,0.355207
M1/N7/E11b/T12b_train06,21,1.586841,2.394323,0.432727,0.370196,2.417121,0.446667,0.364952,2.429766,0.353333,0.357869
M1/N7/E11b/T12b_train06,22,1.554931,2.380086,0.456364,0.375481,2.408434,0.44,0.368319,2.42161,0.346667,0.36103
M1/N7/E11b/T12b_train06,23,1.530273,2.36545,0.476364,0.380896,2.399048,0.4,0.371839,2.413594,0.353333,0.364073
M1/N7/E11b/T12b_train06,24,1.493042,2.34728,0.48,0.387639,2.387462,0.393333,0.376197,2.402272,0.35,0.368351
M1/N7/E11b/T12b_train06,25,1.471905,2.331509,0.474545,0.393493,2.379051,0.366667,0.379528,2.393632,0.346667,0.371687
M1/N7/E11b/T12b_train06,26,1.39841,2.313232,0.494545,0.400111,2.367941,0.353333,0.38371,2.383607,0.343333,0.375463
M1/N7/E11b/T12b_train06,27,1.388021,2.293025,0.510909,0.407349,2.355976,0.366667,0.38799,2.372104,0.36,0.37957
M1/N7/E11b/T12b_train06,28,1.323411,2.272127,0.514545,0.414845,2.343753,0.366667,0.392361,2.360743,0.373333,0.383677
M1/N7/E11b/T12b_train06,29,1.3484,2.252249,0.518182,0.422157,2.332255,0.36,0.396654,2.351358,0.376667,0.387294
M1/N7/E11b/T12b_train06,30,1.270142,2.227969,0.532727,0.430636,2.316844,0.38,0.402049,2.338002,0.38,0.391914
M1/N7/E11b/T12b_train06,31,1.242622,2.198138,0.56,0.44151,2.298157,0.4,0.408927,2.321414,0.39,0.397837
M1/N7/E11b/T12b_train06,32,1.232841,2.172889,0.589091,0.45064,2.284715,0.42,0.413877,2.309251,0.39,0.402202
M1/N7/E11b/T12b_train06,33,1.178765,2.140566,0.629091,0.462378,2.266287,0.433333,0.420672,2.292169,0.4,0.408186
M1/N7/E11b/T12b_train06,34,1.15553,2.108881,0.654545,0.474309,2.250339,0.466667,0.426926,2.277454,0.423333,0.413586
M1/N7/E11b/T12b_train06,35,1.103035,2.066794,0.667273,0.489754,2.225276,0.466667,0.436029,2.255237,0.423333,0.421232
M1/N7/E11b/T12b_train06,36,1.062253,2.021537,0.683636,0.506116,2.198857,0.466667,0.445316,2.23153,0.43,0.429221
M1/N7/E11b/T12b_train06,37,1.060276,1.97314,0.705455,0.523371,2.172235,0.46,0.454526,2.206272,0.44,0.437378
