experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E10c/T12a_train03,1,2.949448,2.882389,0.016498,0.237522,2.886836,0.021442,0.236467,2.884781,0.018519,0.236958
M1/N8/E10c/T12a_train03,2,2.750387,2.870112,0.021288,0.240456,2.873995,0.023392,0.239526,2.872865,0.021442,0.239805
M1/N8/E10c/T12a_train03,3,2.548504,2.852321,0.334753,0.244791,2.855813,0.311891,0.24394,2.855741,0.318713,0.243975
M1/N8/E10c/T12a_train03,4,2.368507,2.827293,0.329963,0.251065,2.830385,0.306043,0.250292,2.831501,0.312865,0.250049
M1/N8/E10c/T12a_train03,5,2.181355,2.794239,0.36562,0.259699,2.797173,0.335283,0.258935,2.799429,0.341131,0.25843
M1/N8/E10c/T12a_train03,6,2.017322,2.752757,0.419372,0.271139,2.755922,0.397661,0.270254,2.759189,0.38694,0.269545
M1/N8/E10c/T12a_train03,7,1.832356,2.702473,0.450239,0.285964,2.706211,0.450292,0.284809,2.710475,0.423002,0.283948
M1/N8/E10c/T12a_train03,8,1.705769,2.644539,0.464609,0.304365,2.64944,0.475634,0.302675,2.65434,0.431774,0.301849
M1/N8/E10c/T12a_train03,9,1.585586,2.580202,0.469931,0.326491,2.586903,0.481481,0.323929,2.591998,0.442495,0.323403
M1/N8/E10c/T12a_train03,10,1.502024,2.512087,0.471527,0.351605,2.521043,0.483431,0.347879,2.525916,0.445419,0.347908
M1/N8/E10c/T12a_train03,11,1.421084,2.442271,0.467802,0.378563,2.453994,0.481481,0.373389,2.458298,0.44347,0.374151
M1/N8/E10c/T12a_train03,12,1.352379,2.372962,0.466205,0.405569,2.387791,0.479532,0.398806,2.391236,0.44152,0.400351
M1/N8/E10c/T12a_train03,13,1.305064,2.304739,0.463544,0.431442,2.323196,0.477583,0.422955,2.325496,0.44152,0.425254
M1/N8/E10c/T12a_train03,14,1.254852,2.239829,0.465673,0.454541,2.262248,0.475634,0.444362,2.263191,0.442495,0.447254
M1/N8/E10c/T12a_train03,15,1.213213,2.178395,0.475253,0.474597,2.205168,0.481481,0.462787,2.204529,0.444444,0.4661
M1/N8/E10c/T12a_train03,16,1.162775,2.120543,0.492283,0.49185,2.151719,0.495127,0.478598,2.14961,0.451267,0.482071
M1/N8/E10c/T12a_train03,17,1.136304,2.066139,0.504524,0.506889,2.101824,0.510721,0.492349,2.098272,0.465887,0.495792
M1/N8/E10c/T12a_train03,18,1.098801,2.01335,0.519425,0.520677,2.05355,0.545809,0.505024,2.048705,0.486355,0.508235
M1/N8/E10c/T12a_train03,19,1.049886,1.963389,0.534327,0.533408,2.008129,0.559454,0.516754,2.001958,0.498051,0.519674
M1/N8/E10c/T12a_train03,20,1.033872,1.914141,0.546567,0.54605,1.963319,0.565302,0.52853,1.956195,0.510721,0.530959
M1/N8/E10c/T12a_train03,21,0.987482,1.865684,0.581692,0.558721,1.919158,0.604288,0.540445,1.911447,0.538012,0.542218
M1/N8/E10c/T12a_train03,22,0.963476,1.817975,0.597126,0.571645,1.875781,0.619883,0.552608,1.867574,0.559454,0.553703
M1/N8/E10c/T12a_train03,23,0.932948,1.769398,0.608302,0.585165,1.831407,0.631579,0.565436,1.823204,0.575049,0.565674
M1/N8/E10c/T12a_train03,24,0.900531,1.720255,0.623736,0.599345,1.78593,0.639376,0.579126,1.778523,0.583821,0.578252
M1/N8/E10c/T12a_train03,25,0.868655,1.671275,0.650346,0.613863,1.740272,0.653021,0.593251,1.734249,0.601365,0.591107
M1/N8/E10c/T12a_train03,26,0.83586,1.621575,0.669505,0.62865,1.693441,0.662768,0.607811,1.689588,0.615984,0.604134
M1/N8/E10c/T12a_train03,27,0.829725,1.571262,0.692922,0.643736,1.645369,0.690058,0.622883,1.644482,0.636452,0.617406
M1/N8/E10c/T12a_train03,28,0.788905,1.519965,0.721128,0.659154,1.595999,0.709552,0.638395,1.598555,0.661793,0.630963
M1/N8/E10c/T12a_train03,29,0.771524,1.467941,0.739755,0.674928,1.545344,0.734893,0.65443,1.551892,0.684211,0.644944
M1/N8/E10c/T12a_train03,30,0.737805,1.414922,0.761575,0.690746,1.493347,0.758285,0.670623,1.504546,0.708577,0.65893
M1/N8/E10c/T12a_train03,31,0.735922,1.359992,0.771687,0.706845,1.438748,0.769981,0.687347,1.455356,0.727096,0.673337
M1/N8/E10c/T12a_train03,32,0.700508,1.306063,0.786056,0.722546,1.385176,0.781676,0.703537,1.40706,0.738791,0.687546
M1/N8/E10c/T12a_train03,33,0.670817,1.251677,0.794039,0.737849,1.331483,0.789474,0.719124,1.35836,0.750487,0.701535
M1/N8/E10c/T12a_train03,34,0.655151,1.196566,0.803087,0.752918,1.276965,0.793372,0.734474,1.308847,0.759259,0.715551
M1/N8/E10c/T12a_train03,35,0.621015,1.141683,0.807877,0.767347,1.222975,0.797271,0.749019,1.259438,0.770955,0.729161
M1/N8/E10c/T12a_train03,36,0.616106,1.086476,0.816924,0.781191,1.168689,0.80117,0.762924,1.209783,0.778752,0.74231
M1/N8/E10c/T12a_train03,37,0.578228,1.032255,0.821714,0.79417,1.115688,0.807018,0.775809,1.160797,0.78655,0.754786
M1/N8/E10c/T12a_train03,38,0.565947,0.978134,0.830229,0.806667,1.063003,0.816764,0.788101,1.111973,0.798246,0.766771
M1/N8/E10c/T12a_train03,39,0.548024,0.924197,0.838212,0.818769,1.010237,0.826511,0.799915,1.063421,0.803119,0.778282
M1/N8/E10c/T12a_train03,40,0.516127,0.870293,0.849388,0.830574,0.957574,0.836257,0.811296,1.015037,0.809942,0.789403
M1/N8/E10c/T12a_train03,41,0.518002,0.817193,0.855774,0.841748,0.905952,0.836257,0.821899,0.967755,0.812865,0.79967
M1/N8/E10c/T12a_train03,42,0.497978,0.764934,0.860564,0.852311,0.855227,0.840156,0.831766,0.921306,0.820663,0.809229
M1/N8/E10c/T12a_train03,43,0.474765,0.714388,0.869079,0.862178,0.806118,0.840156,0.840814,0.876559,0.821637,0.817943
M1/N8/E10c/T12a_train03,44,0.467231,0.665085,0.872805,0.871365,0.757964,0.842105,0.849153,0.832795,0.822612,0.825943
M1/N8/E10c/T12a_train03,45,0.44847,0.618958,0.875466,0.879545,0.712836,0.847953,0.856475,0.791956,0.826511,0.832955
M1/N8/E10c/T12a_train03,46,0.42534,0.575493,0.879191,0.886965,0.670951,0.851852,0.862963,0.753499,0.827485,0.839243
M1/N8/E10c/T12a_train03,47,0.40515,0.536209,0.882916,0.893496,0.633963,0.861598,0.868461,0.719072,0.827485,0.844584
M1/N8/E10c/T12a_train03,48,0.402071,0.500012,0.884513,0.899495,0.600263,0.859649,0.87345,0.687144,0.829435,0.849524
M1/N8/E10c/T12a_train03,49,0.383584,0.466354,0.888238,0.905095,0.568997,0.859649,0.878199,0.657112,0.830409,0.854236
M1/N8/E10c/T12a_train03,50,0.377654,0.435215,0.894093,0.910318,0.540058,0.861598,0.882773,0.628913,0.831384,0.858737
M1/N8/E10c/T12a_train03,51,0.354086,0.407141,0.897286,0.91512,0.514425,0.863548,0.886953,0.603277,0.833333,0.862968
M1/N8/E10c/T12a_train03,52,0.354952,0.38134,0.899415,0.919637,0.491149,0.865497,0.890817,0.579373,0.835283,0.867112
M1/N8/E10c/T12a_train03,53,0.337416,0.357598,0.903672,0.923896,0.470269,0.867446,0.894344,0.55729,0.837232,0.871085
M1/N8/E10c/T12a_train03,54,0.324031,0.335907,0.910059,0.928032,0.451575,0.869396,0.897629,0.537139,0.849903,0.874943
M1/N8/E10c/T12a_train03,55,0.311681,0.316129,0.915913,0.932128,0.435375,0.881092,0.900605,0.51924,0.85575,0.87865
M1/N8/E10c/T12a_train03,56,0.305274,0.297499,0.918574,0.936133,0.42048,0.88499,0.903405,0.502255,0.860624,0.88226
M1/N8/E10c/T12a_train03,57,0.300923,0.280344,0.922831,0.940005,0.40719,0.88694,0.906027,0.486902,0.864522,0.885674
M1/N8/E10c/T12a_train03,58,0.284705,0.264643,0.92975,0.943764,0.395705,0.894737,0.908603,0.473635,0.869396,0.88874
M1/N8/E10c/T12a_train03,59,0.281004,0.249992,0.940926,0.947383,0.384791,0.896686,0.911156,0.461634,0.873294,0.89154
M1/N8/E10c/T12a_train03,60,0.265537,0.236011,0.947845,0.950823,0.374311,0.906433,0.913692,0.450677,0.877193,0.894046
M1/N8/E10c/T12a_train03,61,0.249851,0.22293,0.95157,0.953981,0.364552,0.910331,0.916104,0.441012,0.882066,0.896114
M1/N8/E10c/T12a_train03,62,0.245423,0.210661,0.952634,0.956919,0.355453,0.912281,0.918355,0.432159,0.887914,0.897986
M1/N8/E10c/T12a_train03,63,0.242241,0.198848,0.954231,0.959605,0.346825,0.908382,0.920481,0.423913,0.888889,0.899622
M1/N8/E10c/T12a_train03,64,0.227762,0.187779,0.957956,0.962073,0.338835,0.910331,0.922536,0.416364,0.888889,0.901095
M1/N8/E10c/T12a_train03,65,0.22342,0.177189,0.960085,0.964336,0.331664,0.912281,0.924148,0.408932,0.888889,0.902525
M1/N8/E10c/T12a_train03,66,0.215521,0.167083,0.964343,0.966426,0.325175,0.912281,0.92541,0.401947,0.888889,0.903822
M1/N8/E10c/T12a_train03,67,0.197962,0.157722,0.965939,0.968351,0.319964,0.912281,0.926198,0.395632,0.891813,0.904973
M1/N8/E10c/T12a_train03,68,0.209927,0.149,0.967004,0.970034,0.315452,0.912281,0.926717,0.389614,0.890838,0.90603
M1/N8/E10c/T12a_train03,69,0.188694,0.140977,0.968068,0.971661,0.311655,0.912281,0.927131,0.38418,0.891813,0.906924
M1/N8/E10c/T12a_train03,70,0.183858,0.133473,0.971794,0.973275,0.308423,0.912281,0.927514,0.379469,0.891813,0.907775
M1/N8/E10c/T12a_train03,71,0.188477,0.126494,0.972858,0.974793,0.305176,0.91423,0.927825,0.374947,0.893762,0.908562
M1/N8/E10c/T12a_train03,72,0.174174,0.120128,0.97339,0.976112,0.302119,0.916179,0.928186,0.370734,0.894737,0.909298
M1/N8/E10c/T12a_train03,73,0.17533,0.114215,0.976051,0.977304,0.29961,0.91423,0.928487,0.36727,0.896686,0.909876
M1/N8/E10c/T12a_train03,74,0.160231,0.108597,0.976583,0.97851,0.297899,0.91423,0.928643,0.363683,0.895712,0.910688
M1/N8/E10c/T12a_train03,75,0.167497,0.103234,0.980841,0.979646,0.296271,0.916179,0.928976,0.360819,0.895712,0.911286
M1/N8/E10c/T12a_train03,76,0.156164,0.09797,0.982437,0.980757,0.295083,0.916179,0.929252,0.358006,0.897661,0.911976
M1/N8/E10c/T12a_train03,77,0.144892,0.093093,0.986163,0.981811,0.294054,0.916179,0.929612,0.355645,0.898635,0.912506
M1/N8/E10c/T12a_train03,78,0.143868,0.088439,0.987227,0.982768,0.293211,0.916179,0.930116,0.353849,0.900585,0.912867
M1/N8/E10c/T12a_train03,79,0.139784,0.084075,0.987227,0.983624,0.292193,0.916179,0.930733,0.351981,0.900585,0.913249
M1/N8/E10c/T12a_train03,80,0.127948,0.079941,0.986163,0.98441,0.291223,0.922027,0.931158,0.350496,0.897661,0.913503
M1/N8/E10c/T12a_train03,81,0.119649,0.076128,0.987227,0.985111,0.289945,0.922027,0.931484,0.348789,0.898635,0.913699
M1/N8/E10c/T12a_train03,82,0.129858,0.072496,0.987227,0.985764,0.288331,0.923977,0.931756,0.346751,0.897661,0.913897
M1/N8/E10c/T12a_train03,83,0.122036,0.068912,0.989356,0.986455,0.286406,0.923977,0.932081,0.344327,0.902534,0.914274
M1/N8/E10c/T12a_train03,84,0.123037,0.065398,0.990953,0.987263,0.284542,0.923977,0.932406,0.342682,0.903509,0.914511
M1/N8/E10c/T12a_train03,85,0.116479,0.061817,0.992017,0.98819,0.282882,0.925926,0.932761,0.340839,0.906433,0.914956
M1/N8/E10c/T12a_train03,86,0.106901,0.058315,0.993081,0.989094,0.281684,0.922027,0.932894,0.339129,0.905458,0.915392
M1/N8/E10c/T12a_train03,87,0.107142,0.054971,0.993081,0.989985,0.280731,0.923977,0.932929,0.33787,0.905458,0.915761
M1/N8/E10c/T12a_train03,88,0.100288,0.051842,0.993614,0.990819,0.280703,0.922027,0.932847,0.336904,0.906433,0.916127
M1/N8/E10c/T12a_train03,89,0.090661,0.048758,0.993614,0.991588,0.28044,0.923977,0.932899,0.335578,0.905458,0.916602
M1/N8/E10c/T12a_train03,90,0.095788,0.045804,0.993614,0.992288,0.279872,0.923977,0.933187,0.334359,0.904483,0.917018
M1/N8/E10c/T12a_train03,91,0.090086,0.042897,0.994678,0.992975,0.279412,0.923977,0.933382,0.333123,0.905458,0.917478
M1/N8/E10c/T12a_train03,92,0.095408,0.040115,0.995742,0.993591,0.278159,0.923977,0.933766,0.332306,0.905458,0.917742
M1/N8/E10c/T12a_train03,93,0.088744,0.037471,0.995742,0.994135,0.277221,0.923977,0.934003,0.331573,0.904483,0.917982
M1/N8/E10c/T12a_train03,94,0.082071,0.035043,0.996275,0.994607,0.276387,0.925926,0.934436,0.33196,0.902534,0.917886
M1/N8/E10c/T12a_train03,95,0.08122,0.032762,0.996807,0.99503,0.275838,0.927875,0.934635,0.332026,0.902534,0.917877
M1/N8/E10c/T12a_train03,96,0.077237,0.030663,0.996807,0.99538,0.275327,0.925926,0.93489,0.332373,0.900585,0.917829
M1/N8/E10c/T12a_train03,97,0.072747,0.028755,0.996275,0.995654,0.275568,0.923977,0.93471,0.332869,0.900585,0.917804
M1/N8/E10c/T12a_train03,98,0.071089,0.026983,0.996275,0.995907,0.27593,0.927875,0.934603,0.333757,0.903509,0.917662
M1/N8/E10c/T12a_train03,99,0.069433,0.025339,0.996275,0.996153,0.27651,0.925926,0.934406,0.334296,0.903509,0.917596
M1/N8/E10c/T12a_train03,100,0.066754,0.023715,0.996275,0.99645,0.275893,0.925926,0.934745,0.334427,0.903509,0.917627
