experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E10c/T12b_train07,1,2.930249,2.875535,0.008352,0.239184,2.874482,0.012245,0.239429,2.876031,0.008163,0.239061
M1/N8/E10c/T12b_train07,2,2.696618,2.857861,0.248886,0.243537,2.856987,0.269388,0.243736,2.859183,0.242857,0.243206
M1/N8/E10c/T12b_train07,3,2.488319,2.830293,0.332405,0.250592,2.829624,0.336735,0.250734,2.833071,0.307143,0.249883
M1/N8/E10c/T12b_train07,4,2.311422,2.791585,0.332405,0.261061,2.791172,0.336735,0.26112,2.796399,0.307143,0.259787
M1/N8/E10c/T12b_train07,5,2.132149,2.742747,0.332405,0.275204,2.742757,0.336735,0.275123,2.750366,0.307143,0.273099
M1/N8/E10c/T12b_train07,6,1.963553,2.684396,0.332405,0.293507,2.685092,0.336735,0.293186,2.695548,0.307143,0.290265
M1/N8/E10c/T12b_train07,7,1.84194,2.617998,0.332405,0.316092,2.619457,0.336735,0.315474,2.63324,0.307143,0.311403
M1/N8/E10c/T12b_train07,8,1.715911,2.545661,0.332405,0.342523,2.548247,0.336735,0.341468,2.565568,0.307143,0.336046
M1/N8/E10c/T12b_train07,9,1.616529,2.469144,0.335746,0.371767,2.473069,0.338776,0.370192,2.49389,0.311224,0.363314
M1/N8/E10c/T12b_train07,10,1.534129,2.391611,0.351336,0.40145,2.397037,0.359184,0.399317,2.421119,0.322449,0.391034
M1/N8/E10c/T12b_train07,11,1.478126,2.315233,0.392539,0.429582,2.322462,0.410204,0.426842,2.349255,0.384694,0.417403
M1/N8/E10c/T12b_train07,12,1.402223,2.240422,0.429287,0.455482,2.249746,0.428571,0.45211,2.278621,0.421429,0.441848
M1/N8/E10c/T12b_train07,13,1.35014,2.169153,0.474388,0.478586,2.18094,0.45102,0.474501,2.210979,0.466327,0.463875
M1/N8/E10c/T12b_train07,14,1.310117,2.10137,0.504454,0.499338,2.115966,0.487755,0.494454,2.146418,0.493878,0.483834
