experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E11a/T12e_train04,1,2.891332,2.888933,0.047674,0.236036,2.892183,0.029474,0.235273,2.889324,0.038947,0.235935
M1/N8/E11a/T12e_train04,2,2.88792,2.883256,0.047674,0.237369,2.885921,0.029474,0.236742,2.883368,0.038947,0.237332
M1/N8/E11a/T12e_train04,3,2.877588,2.877833,0.047674,0.238652,2.879944,0.029474,0.238155,2.87768,0.038947,0.238676
M1/N8/E11a/T12e_train04,4,2.858159,2.872627,0.047674,0.239892,2.874182,0.029474,0.239528,2.872215,0.038947,0.239978
M1/N8/E11a/T12e_train04,5,2.828212,2.867712,0.226307,0.241071,2.868731,0.24,0.240835,2.867053,0.237895,0.241216
M1/N8/E11a/T12e_train04,6,2.782373,2.863032,0.226307,0.2422,2.863536,0.24,0.242089,2.862152,0.237895,0.242398
M1/N8/E11a/T12e_train04,7,2.740868,2.858473,0.226307,0.243306,2.858467,0.24,0.243319,2.857386,0.237895,0.243554
M1/N8/E11a/T12e_train04,8,2.68641,2.854017,0.226307,0.244392,2.853501,0.24,0.24453,2.852731,0.237895,0.244689
M1/N8/E11a/T12e_train04,9,2.621894,2.849648,0.226307,0.24546,2.848632,0.24,0.245722,2.848171,0.237895,0.245805
M1/N8/E11a/T12e_train04,10,2.573719,2.84521,0.226307,0.24655,2.843687,0.24,0.246937,2.843547,0.237895,0.246942
M1/N8/E11a/T12e_train04,11,2.511121,2.840481,0.226307,0.247716,2.838414,0.24,0.248237,2.838632,0.237895,0.248155
M1/N8/E11a/T12e_train04,12,2.491686,2.835811,0.226307,0.248867,2.833186,0.24,0.249527,2.8338,0.237895,0.249348
M1/N8/E11a/T12e_train04,13,2.47076,2.831568,0.226307,0.249913,2.828415,0.24,0.250703,2.829445,0.237895,0.250424
M1/N8/E11a/T12e_train04,14,2.479734,2.82797,0.226307,0.250796,2.824363,0.24,0.251697,2.825799,0.237895,0.251321
M1/N8/E11a/T12e_train04,15,2.483614,2.825038,0.226307,0.25151,2.821068,0.24,0.252499,2.822873,0.237895,0.252036
M1/N8/E11a/T12e_train04,16,2.485472,2.822829,0.226307,0.252038,2.818598,0.24,0.25309,2.820719,0.237895,0.252553
M1/N8/E11a/T12e_train04,17,2.494736,2.821274,0.226307,0.252399,2.816872,0.24,0.25349,2.819261,0.237895,0.252892
