experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train08,1,2.404659,2.399047,0.019455,0.301002,2.403272,0.028369,0.299737,2.398879,0.024911,0.301094
M1/N7/E10b/T12e_train08,2,2.40042,2.392931,0.019455,0.302862,2.397536,0.028369,0.301475,2.393794,0.024911,0.302641
M1/N7/E10b/T12e_train08,3,2.391619,2.387065,0.233463,0.304661,2.39205,0.191489,0.30315,2.388937,0.202847,0.304131
M1/N7/E10b/T12e_train08,4,2.370312,2.381549,0.233463,0.306363,2.386882,0.191489,0.304738,2.384371,0.202847,0.305542
M1/N7/E10b/T12e_train08,5,2.32652,2.376257,0.233463,0.308007,2.381966,0.191489,0.30626,2.38002,0.202847,0.306896
M1/N7/E10b/T12e_train08,6,2.27846,2.371248,0.233463,0.309574,2.377344,0.191489,0.307699,2.375927,0.202847,0.308178
M1/N7/E10b/T12e_train08,7,2.216051,2.366436,0.233463,0.311087,2.372888,0.191489,0.309094,2.372003,0.202847,0.309415
M1/N7/E10b/T12e_train08,8,2.147918,2.361761,0.233463,0.312565,2.368552,0.191489,0.310458,2.368197,0.202847,0.31062
M1/N7/E10b/T12e_train08,9,2.055172,2.357055,0.233463,0.314059,2.36418,0.191489,0.31184,2.364354,0.202847,0.311843
M1/N7/E10b/T12e_train08,10,2.005476,2.352311,0.233463,0.315573,2.359752,0.191489,0.313246,2.360488,0.202847,0.31308
M1/N7/E10b/T12e_train08,11,1.970961,2.347641,0.233463,0.317068,2.355377,0.191489,0.314639,2.35668,0.202847,0.314302
M1/N7/E10b/T12e_train08,12,1.932483,2.343253,0.233463,0.318476,2.351228,0.191489,0.315965,2.353091,0.202847,0.315458
M1/N7/E10b/T12e_train08,13,1.926852,2.339214,0.233463,0.319776,2.347359,0.191489,0.317204,2.349776,0.202847,0.316528
M1/N7/E10b/T12e_train08,14,1.947309,2.336026,0.233463,0.320801,2.344246,0.191489,0.318201,2.347144,0.202847,0.317377
