experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10c/T12e_train05,1,2.365949,2.360276,0.383268,0.313091,2.361052,0.368794,0.31284,2.362501,0.358156,0.3124
M1/N7/E10c/T12e_train05,2,2.360503,2.354412,0.383268,0.31499,2.355613,0.368794,0.314603,2.35727,0.358156,0.314092
M1/N7/E10c/T12e_train05,3,2.341475,2.34872,0.383268,0.316849,2.350349,0.368794,0.316324,2.3522,0.358156,0.315746
M1/N7/E10c/T12e_train05,4,2.305016,2.34321,0.383268,0.318662,2.345254,0.368794,0.318003,2.347289,0.358156,0.317359
M1/N7/E10c/T12e_train05,5,2.257381,2.337887,0.383268,0.320427,2.340338,0.368794,0.319636,2.342554,0.358156,0.318928
M1/N7/E10c/T12e_train05,6,2.194789,2.332665,0.383268,0.322171,2.335521,0.368794,0.321248,2.337925,0.358156,0.320472
M1/N7/E10c/T12e_train05,7,2.14569,2.327513,0.383268,0.323902,2.330784,0.368794,0.322844,2.333373,0.358156,0.322001
M1/N7/E10c/T12e_train05,8,2.075172,2.322487,0.383268,0.3256,2.326183,0.368794,0.324405,2.328948,0.358156,0.323496
M1/N7/E10c/T12e_train05,9,2.005568,2.317637,0.383268,0.327246,2.321769,0.368794,0.32591,2.324699,0.358156,0.324938
M1/N7/E10c/T12e_train05,10,1.977996,2.313161,0.383268,0.328767,2.317755,0.368794,0.327283,2.320807,0.358156,0.326263
M1/N7/E10c/T12e_train05,11,1.958788,2.309302,0.383268,0.330076,2.314339,0.368794,0.328453,2.317477,0.358156,0.327394
M1/N7/E10c/T12e_train05,12,1.984522,2.306408,0.383268,0.331048,2.311841,0.368794,0.329304,2.315009,0.358156,0.328225
M1/N7/E10c/T12e_train05,13,2.017319,2.304683,0.383268,0.331611,2.310442,0.368794,0.32977,2.31359,0.358156,0.328691
M1/N7/E10c/T12e_train05,14,1.976886,2.303887,0.383268,0.33185,2.309924,0.368794,0.329928,2.312998,0.358156,0.328867
M1/N7/E10c/T12e_train05,15,2.00816,2.303685,0.383268,0.331883,2.30997,0.368794,0.32989,2.312936,0.358156,0.328861
M1/N7/E10c/T12e_train05,16,1.998043,2.303835,0.383268,0.331796,2.310347,0.368794,0.329736,2.313186,0.358156,0.328748
M1/N7/E10c/T12e_train05,17,2.014908,2.304262,0.383268,0.331617,2.310953,0.368794,0.329506,2.313666,0.358156,0.328558
M1/N7/E10c/T12e_train05,18,1.990885,2.304814,0.383268,0.331397,2.311662,0.368794,0.329241,2.314243,0.358156,0.328337
M1/N7/E10c/T12e_train05,19,1.978099,2.305098,0.383268,0.331271,2.312131,0.368794,0.32906,2.314584,0.358156,0.328199
M1/N7/E10c/T12e_train05,20,1.962248,2.305113,0.383268,0.33124,2.312349,0.368794,0.328968,2.314675,0.358156,0.328148
M1/N7/E10c/T12e_train05,21,1.953123,2.304792,0.383268,0.331325,2.312229,0.368794,0.328993,2.314459,0.358156,0.328204
M1/N7/E10c/T12e_train05,22,1.965434,2.304219,0.383268,0.3315,2.311855,0.368794,0.329107,2.31401,0.358156,0.328342
M1/N7/E10c/T12e_train05,23,1.957397,2.303237,0.383268,0.331816,2.311092,0.368794,0.329357,2.313195,0.358156,0.328608
M1/N7/E10c/T12e_train05,24,1.962833,2.301979,0.383268,0.332233,2.310065,0.368794,0.329702,2.312123,0.358156,0.328966
M1/N7/E10c/T12e_train05,25,1.969345,2.300476,0.383268,0.332736,2.308812,0.368794,0.330127,2.310823,0.358156,0.329405
M1/N7/E10c/T12e_train05,26,1.962373,2.298462,0.383268,0.333418,2.307082,0.368794,0.330718,2.309075,0.358156,0.329999
M1/N7/E10c/T12e_train05,27,1.965519,2.295875,0.383268,0.334298,2.304824,0.368794,0.331495,2.306819,0.358156,0.33077
M1/N7/E10c/T12e_train05,28,1.978958,2.29278,0.383268,0.335359,2.302079,0.368794,0.332445,2.304117,0.358156,0.331701
M1/N7/E10c/T12e_train05,29,1.967526,2.289207,0.383268,0.336589,2.298912,0.368794,0.333545,2.301015,0.358156,0.332774
M1/N7/E10c/T12e_train05,30,1.95983,2.284803,0.383268,0.338112,2.295017,0.368794,0.334904,2.29721,0.358156,0.334096
M1/N7/E10c/T12e_train05,31,1.956383,2.279874,0.383268,0.339825,2.290649,0.368794,0.336436,2.292954,0.358156,0.335582
M1/N7/E10c/T12e_train05,32,1.929873,2.274402,0.383268,0.341733,2.28582,0.368794,0.338135,2.288244,0.358156,0.337233
M1/N7/E10c/T12e_train05,33,1.970717,2.268669,0.383268,0.343741,2.280754,0.368794,0.339926,2.28331,0.358156,0.338969
M1/N7/E10c/T12e_train05,34,1.939068,2.262688,0.383268,0.345847,2.275481,0.368794,0.3418,2.278181,0.358156,0.340784
M1/N7/E10c/T12e_train05,35,1.939436,2.25657,0.383268,0.348011,2.270068,0.368794,0.343734,2.272925,0.358156,0.342652
M1/N7/E10c/T12e_train05,36,1.943958,2.250329,0.383268,0.350226,2.264584,0.368794,0.345701,2.267597,0.358156,0.344554
M1/N7/E10c/T12e_train05,37,1.951803,2.243815,0.383268,0.352548,2.258906,0.368794,0.347751,2.262047,0.358156,0.346543
M1/N7/E10c/T12e_train05,38,1.967331,2.237356,0.383268,0.354852,2.253286,0.368794,0.349784,2.256548,0.358156,0.348514
M1/N7/E10c/T12e_train05,39,1.936261,2.230931,0.383268,0.35714,2.247683,0.368794,0.35181,2.251085,0.358156,0.350469
M1/N7/E10c/T12e_train05,40,1.975699,2.224653,0.383268,0.359376,2.242276,0.368794,0.353772,2.245756,0.358156,0.352377
M1/N7/E10c/T12e_train05,41,1.946697,2.218663,0.383268,0.361509,2.237162,0.368794,0.355633,2.240686,0.358156,0.354192
M1/N7/E10c/T12e_train05,42,1.942873,2.212788,0.383268,0.363598,2.232191,0.368794,0.357445,2.235731,0.358156,0.355964
M1/N7/E10c/T12e_train05,43,1.940292,2.206781,0.383268,0.365737,2.227205,0.368794,0.359273,2.230698,0.358156,0.357768
M1/N7/E10c/T12e_train05,44,1.924649,2.200437,0.383268,0.367999,2.221988,0.368794,0.361195,2.225381,0.358156,0.359677
M1/N7/E10c/T12e_train05,45,1.936002,2.1938,0.383268,0.370367,2.216607,0.368794,0.36319,2.219855,0.358156,0.361665
M1/N7/E10c/T12e_train05,46,1.951826,2.186267,0.383268,0.373052,2.210545,0.368794,0.365439,2.213593,0.358156,0.363918
