experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12b_train02,1,2.492397,2.423503,0.048356,0.293686,2.423585,0.035461,0.293651,2.417153,0.060071,0.295635
M1/N7/E11a/T12b_train02,2,2.306184,2.412664,0.048356,0.296845,2.41231,0.035461,0.296938,2.40778,0.060071,0.298363
M1/N7/E11a/T12b_train02,3,2.124476,2.396906,0.048356,0.301536,2.396358,0.035461,0.301684,2.394332,0.060071,0.302361
M1/N7/E11a/T12b_train02,4,2.010302,2.37607,0.052224,0.307932,2.375535,0.035461,0.308062,2.376724,0.067138,0.30774
M1/N7/E11a/T12b_train02,5,1.885854,2.347861,0.4294,0.316929,2.347719,0.390071,0.316895,2.353361,0.378092,0.31513
M1/N7/E11a/T12b_train02,6,1.793825,2.311371,0.40619,0.329112,2.311732,0.375887,0.328816,2.323267,0.349823,0.325037
M1/N7/E11a/T12b_train02,7,1.695989,2.268443,0.40619,0.344187,2.269349,0.375887,0.343516,2.2879,0.349823,0.3372
M1/N7/E11a/T12b_train02,8,1.609522,2.220419,0.40619,0.361953,2.221793,0.375887,0.360812,2.248497,0.349823,0.351373
M1/N7/E11a/T12b_train02,9,1.607713,2.170609,0.40619,0.381208,2.17233,0.375887,0.379514,2.208092,0.349823,0.366442
M1/N7/E11a/T12b_train02,10,1.508183,2.121955,0.40619,0.400562,2.124084,0.375887,0.398213,2.169174,0.349823,0.381262
M1/N7/E11a/T12b_train02,11,1.500035,2.074723,0.40619,0.419481,2.076925,0.375887,0.41658,2.13161,0.349823,0.395559
M1/N7/E11a/T12b_train02,12,1.45965,2.031029,0.40619,0.43674,2.032768,0.375887,0.433524,2.096942,0.349823,0.408517
M1/N7/E11a/T12b_train02,13,1.396511,1.991162,0.40619,0.452104,1.992384,0.375887,0.448701,2.065628,0.349823,0.419921
M1/N7/E11a/T12b_train02,14,1.333087,1.954812,0.40619,0.465634,1.955612,0.375887,0.462105,2.037065,0.349823,0.429991
M1/N7/E11a/T12b_train02,15,1.297649,1.921888,0.408124,0.477386,1.922079,0.382979,0.473902,2.010974,0.349823,0.438852
M1/N7/E11a/T12b_train02,16,1.234633,1.89101,0.417795,0.488089,1.89072,0.390071,0.484693,1.986493,0.353357,0.446989
M1/N7/E11a/T12b_train02,17,1.199786,1.862586,0.425532,0.49767,1.862135,0.404255,0.494297,1.963805,0.353357,0.454376
M1/N7/E11a/T12b_train02,18,1.157374,1.835342,0.4294,0.506758,1.835327,0.404255,0.503229,1.94215,0.353357,0.461401
M1/N7/E11a/T12b_train02,19,1.093609,1.808745,0.441006,0.51574,1.809868,0.41844,0.511818,1.921357,0.360424,0.468218
M1/N7/E11a/T12b_train02,20,1.08787,1.783149,0.448743,0.524716,1.786104,0.41844,0.520193,1.901704,0.363958,0.474906
M1/N7/E11a/T12b_train02,21,1.058629,1.757795,0.452611,0.53381,1.763523,0.425532,0.528299,1.882511,0.381625,0.481587
M1/N7/E11a/T12b_train02,22,1.018891,1.731336,0.475822,0.54345,1.740902,0.432624,0.536525,1.863154,0.399293,0.488412
M1/N7/E11a/T12b_train02,23,0.968028,1.703488,0.489362,0.553742,1.718373,0.468085,0.544819,1.843195,0.420495,0.495553
M1/N7/E11a/T12b_train02,24,0.937205,1.674219,0.510638,0.564762,1.695348,0.489362,0.55351,1.822948,0.420495,0.50295
M1/N7/E11a/T12b_train02,25,0.916931,1.642726,0.545455,0.576751,1.670891,0.503546,0.562923,1.801513,0.424028,0.510896
M1/N7/E11a/T12b_train02,26,0.875066,1.609154,0.560928,0.589779,1.645025,0.524823,0.573192,1.778838,0.431095,0.519529
M1/N7/E11a/T12b_train02,27,0.831637,1.572705,0.566731,0.603938,1.617384,0.553191,0.584233,1.754497,0.45583,0.528789
M1/N7/E11a/T12b_train02,28,0.790683,1.532885,0.597679,0.619193,1.587099,0.588652,0.596142,1.727328,0.459364,0.538947
M1/N7/E11a/T12b_train02,29,0.777458,1.490441,0.630561,0.63543,1.55457,0.624113,0.60899,1.698008,0.473498,0.549956
M1/N7/E11a/T12b_train02,30,0.760547,1.444696,0.636364,0.652863,1.519298,0.631206,0.622921,1.665887,0.5053,0.562034
M1/N7/E11a/T12b_train02,31,0.686957,1.397341,0.659574,0.670828,1.483022,0.652482,0.637215,1.632533,0.519435,0.574607
M1/N7/E11a/T12b_train02,32,0.668638,1.349009,0.690522,0.689109,1.445749,0.680851,0.651826,1.597675,0.558304,0.587837
M1/N7/E11a/T12b_train02,33,0.652502,1.299244,0.746615,0.707842,1.407082,0.687943,0.666945,1.561145,0.59364,0.601768
M1/N7/E11a/T12b_train02,34,0.656293,1.247087,0.77176,0.726929,1.366003,0.723404,0.682567,1.522924,0.611307,0.615974
M1/N7/E11a/T12b_train02,35,0.585237,1.197045,0.794971,0.745164,1.32738,0.737589,0.697256,1.487229,0.625442,0.629247
M1/N7/E11a/T12b_train02,36,0.568915,1.14516,0.818182,0.763018,1.28777,0.765957,0.711545,1.450509,0.650177,0.642222
M1/N7/E11a/T12b_train02,37,0.542017,1.094165,0.833656,0.779826,1.251104,0.780142,0.724356,1.415156,0.660777,0.654186
M1/N7/E11a/T12b_train02,38,0.528338,1.041832,0.847195,0.796143,1.214107,0.780142,0.736625,1.379507,0.678445,0.665532
M1/N7/E11a/T12b_train02,39,0.508564,0.987069,0.858801,0.811988,1.175743,0.780142,0.748211,1.342297,0.685512,0.676427
M1/N7/E11a/T12b_train02,40,0.479827,0.932061,0.862669,0.827055,1.136761,0.780142,0.759226,1.306462,0.69258,0.686346
M1/N7/E11a/T12b_train02,41,0.492887,0.877441,0.874275,0.84131,1.099175,0.794326,0.769191,1.271519,0.69258,0.695658
M1/N7/E11a/T12b_train02,42,0.417713,0.823488,0.883946,0.854296,1.062571,0.801418,0.777956,1.237449,0.685512,0.703896
M1/N7/E11a/T12b_train02,43,0.432823,0.77035,0.891683,0.866348,1.028296,0.808511,0.785364,1.204219,0.69258,0.711211
M1/N7/E11a/T12b_train02,44,0.43059,0.717992,0.901354,0.877532,0.994371,0.808511,0.792118,1.171751,0.69258,0.717705
M1/N7/E11a/T12b_train02,45,0.397913,0.66821,0.924565,0.887792,0.963939,0.836879,0.797713,1.142667,0.699647,0.723189
M1/N7/E11a/T12b_train02,46,0.377227,0.621051,0.934236,0.896975,0.934446,0.829787,0.802736,1.114151,0.710247,0.728647
M1/N7/E11a/T12b_train02,47,0.359082,0.575925,0.93617,0.905321,0.90602,0.822695,0.807315,1.087835,0.713781,0.733445
M1/N7/E11a/T12b_train02,48,0.369903,0.531181,0.938104,0.913039,0.876767,0.815603,0.811583,1.061739,0.720848,0.737851
M1/N7/E11a/T12b_train02,49,0.325672,0.490484,0.941973,0.919855,0.850319,0.815603,0.815086,1.03867,0.734982,0.741625
M1/N7/E11a/T12b_train02,50,0.347568,0.449111,0.943907,0.926194,0.821083,0.815603,0.81866,1.014628,0.738516,0.745418
M1/N7/E11a/T12b_train02,51,0.311007,0.409773,0.947776,0.932186,0.793992,0.815603,0.821988,0.992738,0.742049,0.748912
M1/N7/E11a/T12b_train02,52,0.282479,0.375246,0.94971,0.937283,0.770416,0.815603,0.82521,0.975475,0.742049,0.75188
M1/N7/E11a/T12b_train02,53,0.274041,0.342348,0.94971,0.942044,0.749253,0.815603,0.827722,0.961463,0.749117,0.754114
M1/N7/E11a/T12b_train02,54,0.266471,0.312224,0.953578,0.946613,0.731596,0.822695,0.830093,0.950309,0.742049,0.755773
M1/N7/E11a/T12b_train02,55,0.259787,0.285085,0.953578,0.950377,0.71679,0.822695,0.832198,0.941265,0.742049,0.757997
M1/N7/E11a/T12b_train02,56,0.233699,0.261072,0.953578,0.953561,0.705121,0.829787,0.833657,0.934223,0.745583,0.760539
M1/N7/E11a/T12b_train02,57,0.249728,0.239648,0.953578,0.956023,0.697469,0.822695,0.83413,0.931324,0.75265,0.762596
M1/N7/E11a/T12b_train02,58,0.223154,0.221341,0.955513,0.958543,0.694817,0.822695,0.833758,0.932328,0.75265,0.763924
M1/N7/E11a/T12b_train02,59,0.204717,0.204023,0.96325,0.961267,0.695063,0.815603,0.833213,0.937936,0.756184,0.764419
M1/N7/E11a/T12b_train02,60,0.177523,0.188587,0.965184,0.963816,0.696646,0.815603,0.832719,0.945047,0.75265,0.764617
M1/N7/E11a/T12b_train02,61,0.204136,0.173074,0.967118,0.966641,0.698665,0.815603,0.832846,0.95437,0.745583,0.763886
M1/N7/E11a/T12b_train02,62,0.183475,0.158608,0.967118,0.969188,0.700182,0.822695,0.833813,0.964348,0.738516,0.763369
M1/N7/E11a/T12b_train02,63,0.192495,0.145509,0.972921,0.972057,0.702899,0.822695,0.833959,0.974009,0.738516,0.763031
M1/N7/E11a/T12b_train02,64,0.180882,0.135133,0.976789,0.974115,0.708258,0.822695,0.833437,0.984355,0.738516,0.762445
M1/N7/E11a/T12b_train02,65,0.175043,0.127001,0.976789,0.975378,0.717807,0.815603,0.830735,0.995652,0.742049,0.762681
M1/N7/E11a/T12b_train02,66,0.167827,0.118162,0.978723,0.976692,0.724625,0.815603,0.829017,1.007805,0.742049,0.762321
M1/N7/E11a/T12b_train02,67,0.171246,0.108566,0.978723,0.978076,0.725535,0.815603,0.829089,1.017174,0.742049,0.76173
M1/N7/E11a/T12b_train02,68,0.142364,0.100027,0.978723,0.979365,0.727727,0.808511,0.828426,1.023805,0.742049,0.762999
M1/N7/E11a/T12b_train02,69,0.150708,0.094874,0.978723,0.979643,0.733878,0.801418,0.82773,1.037393,0.742049,0.76276
M1/N7/E11a/T12b_train02,70,0.157443,0.092795,0.978723,0.979484,0.740889,0.801418,0.825873,1.052289,0.742049,0.762776
M1/N7/E11a/T12b_train02,71,0.133336,0.089404,0.978723,0.979936,0.746346,0.794326,0.824577,1.066638,0.745583,0.763414
M1/N7/E11a/T12b_train02,72,0.136269,0.086003,0.978723,0.98034,0.755045,0.780142,0.82116,1.081395,0.745583,0.76412
M1/N7/E11a/T12b_train02,73,0.12774,0.081004,0.984526,0.98112,0.761821,0.77305,0.818609,1.094178,0.745583,0.764537
M1/N7/E11a/T12b_train02,74,0.128059,0.07448,0.984526,0.982682,0.763091,0.77305,0.818632,1.102691,0.738516,0.764776
