experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11b/T12b_train08,1,2.489798,2.399536,0.038911,0.300841,2.401006,0.028369,0.300397,2.398266,0.035587,0.301255
M1/N7/E11b/T12b_train08,2,2.303604,2.387728,0.038911,0.304456,2.389925,0.028369,0.303796,2.387894,0.035587,0.304428
M1/N7/E11b/T12b_train08,3,2.189961,2.367347,0.383268,0.310853,2.371034,0.375887,0.309747,2.370327,0.352313,0.309938
M1/N7/E11b/T12b_train08,4,2.045891,2.339117,0.383268,0.320058,2.344553,0.375887,0.318403,2.34639,0.352313,0.31775
M1/N7/E11b/T12b_train08,5,1.933115,2.30537,0.383268,0.331484,2.313026,0.375887,0.3291,2.318189,0.352313,0.327323
M1/N7/E11b/T12b_train08,6,1.879242,2.271239,0.383268,0.343372,2.281284,0.375887,0.340168,2.289935,0.352313,0.337193
M1/N7/E11b/T12b_train08,7,1.753101,2.230237,0.383268,0.358105,2.243968,0.375887,0.353622,2.256426,0.352313,0.349283
M1/N7/E11b/T12b_train08,8,1.661216,2.18442,0.383268,0.375056,2.201936,0.375887,0.369184,2.219206,0.352313,0.363116
M1/N7/E11b/T12b_train08,9,1.626906,2.140088,0.383268,0.391401,2.162185,0.375887,0.383796,2.183976,0.352313,0.376141
M1/N7/E11b/T12b_train08,10,1.562639,2.096277,0.383268,0.407612,2.12289,0.375887,0.39825,2.149359,0.352313,0.388985
M1/N7/E11b/T12b_train08,11,1.528965,2.054244,0.383268,0.422805,2.085687,0.375887,0.411534,2.117037,0.352313,0.400624
M1/N7/E11b/T12b_train08,12,1.463236,2.01903,0.383268,0.435129,2.055532,0.375887,0.421749,2.090899,0.352313,0.409573
M1/N7/E11b/T12b_train08,13,1.454211,1.987034,0.383268,0.446052,2.028505,0.375887,0.430546,2.067797,0.352313,0.417237
M1/N7/E11b/T12b_train08,14,1.367498,1.961918,0.383268,0.454679,2.00749,0.375887,0.43724,2.050424,0.352313,0.422906
M1/N7/E11b/T12b_train08,15,1.341879,1.930585,0.414397,0.465658,1.981433,0.411348,0.445817,2.02851,0.362989,0.430236
M1/N7/E11b/T12b_train08,16,1.294349,1.90641,0.468872,0.474372,1.961579,0.41844,0.452344,2.012238,0.395018,0.435757
M1/N7/E11b/T12b_train08,17,1.256424,1.88353,0.503891,0.483077,1.943342,0.41844,0.458583,1.99692,0.41637,0.441111
M1/N7/E11b/T12b_train08,18,1.204532,1.859467,0.521401,0.49231,1.923655,0.439716,0.465538,1.980619,0.412811,0.446976
