experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E11b/T12a_train01,1,2.524411,2.369738,0.40393,0.310049,2.368375,0.408,0.310454,2.369235,0.38,0.310186
M1/N8/E11b/T12a_train01,2,2.375945,2.359387,0.40393,0.313321,2.358169,0.408,0.313678,2.359249,0.38,0.313334
M1/N8/E11b/T12a_train01,3,2.248075,2.341255,0.40393,0.319215,2.339853,0.408,0.319627,2.341804,0.38,0.318981
M1/N8/E11b/T12a_train01,4,2.128429,2.317924,0.40393,0.327054,2.316613,0.408,0.32744,2.319807,0.38,0.326349
M1/N8/E11b/T12a_train01,5,2.05721,2.2876,0.40393,0.337663,2.28665,0.408,0.33794,2.29122,0.38,0.336312
M1/N8/E11b/T12a_train01,6,1.974526,2.256739,0.40393,0.349044,2.256019,0.408,0.349245,2.262487,0.38,0.346862
M1/N8/E11b/T12a_train01,7,1.931216,2.222201,0.40393,0.362189,2.221521,0.408,0.362364,2.230105,0.38,0.359097
M1/N8/E11b/T12a_train01,8,1.896963,2.183594,0.40393,0.377511,2.183635,0.408,0.377461,2.194304,0.38,0.37319
M1/N8/E11b/T12a_train01,9,1.848149,2.142415,0.40393,0.394137,2.143231,0.408,0.393871,2.156056,0.38,0.388443
M1/N8/E11b/T12a_train01,10,1.808961,2.109022,0.40393,0.407466,2.110605,0.408,0.406975,2.12498,0.38,0.400667
M1/N8/E11b/T12a_train01,11,1.780961,2.077494,0.40393,0.420032,2.080174,0.408,0.419233,2.095987,0.38,0.412005
M1/N8/E11b/T12a_train01,12,1.773004,2.05029,0.40393,0.430267,2.054417,0.408,0.429087,2.071222,0.38,0.421194
M1/N8/E11b/T12a_train01,13,1.764152,2.032261,0.40393,0.436601,2.037473,0.408,0.435103,2.054983,0.38,0.426852
M1/N8/E11b/T12a_train01,14,1.718268,2.018809,0.40393,0.441142,2.025402,0.408,0.439176,2.042891,0.38,0.430928
M1/N8/E11b/T12a_train01,15,1.712573,2.004902,0.40393,0.445593,2.013231,0.408,0.443094,2.03069,0.38,0.434901
M1/N8/E11b/T12a_train01,16,1.698039,1.992299,0.40393,0.449575,2.002162,0.408,0.446615,2.019334,0.38,0.438527
M1/N8/E11b/T12a_train01,17,1.660982,1.980214,0.40393,0.453433,1.99165,0.408,0.449956,2.008749,0.38,0.441926
M1/N8/E11b/T12a_train01,18,1.635691,1.970381,0.40393,0.456509,1.983963,0.408,0.452249,2.000584,0.38,0.444527
M1/N8/E11b/T12a_train01,19,1.59931,1.964046,0.40393,0.458511,1.979606,0.408,0.453357,1.995304,0.38,0.446205
M1/N8/E11b/T12a_train01,20,1.57349,1.954301,0.40393,0.461873,1.972242,0.408,0.455731,1.987464,0.38,0.448844
M1/N8/E11b/T12a_train01,21,1.560002,1.94424,0.40393,0.465329,1.963928,0.408,0.458511,1.979712,0.38,0.451388
M1/N8/E11b/T12a_train01,22,1.547182,1.935673,0.40393,0.468331,1.957416,0.408,0.460672,1.97375,0.38,0.453437
M1/N8/E11b/T12a_train01,23,1.527644,1.924192,0.40393,0.472224,1.948351,0.408,0.463679,1.96524,0.38,0.456157
M1/N8/E11b/T12a_train01,24,1.509075,1.913791,0.40393,0.475729,1.940123,0.408,0.466444,1.958203,0.38,0.45828
M1/N8/E11b/T12a_train01,25,1.46737,1.900816,0.40393,0.479793,1.929875,0.408,0.469682,1.949582,0.38,0.460746
M1/N8/E11b/T12a_train01,26,1.432273,1.88757,0.40393,0.483694,1.919572,0.408,0.472766,1.941406,0.38,0.462832
M1/N8/E11b/T12a_train01,27,1.401596,1.877607,0.40393,0.486777,1.913658,0.408,0.474466,1.935773,0.38,0.46434
M1/N8/E11b/T12a_train01,28,1.424031,1.867825,0.40393,0.489938,1.908769,0.408,0.475897,1.930658,0.38,0.465919
M1/N8/E11b/T12a_train01,29,1.413285,1.854307,0.40393,0.494011,1.901293,0.408,0.478007,1.923143,0.38,0.467972
M1/N8/E11b/T12a_train01,30,1.337654,1.841912,0.40393,0.497966,1.895403,0.408,0.479744,1.916447,0.38,0.470035
M1/N8/E11b/T12a_train01,31,1.315275,1.828647,0.40393,0.502086,1.888605,0.408,0.481691,1.908783,0.38,0.47225
M1/N8/E11b/T12a_train01,32,1.308174,1.814466,0.40393,0.506551,1.882553,0.408,0.483416,1.901725,0.38,0.474284
M1/N8/E11b/T12a_train01,33,1.265904,1.799433,0.406114,0.51162,1.87748,0.408,0.485021,1.893723,0.38,0.4767
M1/N8/E11b/T12a_train01,34,1.270373,1.78072,0.41048,0.517011,1.86839,0.408,0.487492,1.884126,0.384,0.47914
M1/N8/E11b/T12a_train01,35,1.223023,1.762806,0.412664,0.521461,1.860695,0.408,0.489226,1.876439,0.392,0.4805
M1/N8/E11b/T12a_train01,36,1.203392,1.740405,0.414847,0.5271,1.851524,0.416,0.491372,1.866667,0.396,0.482452
M1/N8/E11b/T12a_train01,37,1.178158,1.720926,0.421397,0.533452,1.84437,0.424,0.493697,1.859052,0.4,0.484895
M1/N8/E11b/T12a_train01,38,1.144332,1.698305,0.434498,0.542033,1.835328,0.432,0.497089,1.848224,0.408,0.488919
M1/N8/E11b/T12a_train01,39,1.147801,1.673323,0.445415,0.550811,1.826215,0.432,0.50024,1.83896,0.408,0.492188
M1/N8/E11b/T12a_train01,40,1.109772,1.647143,0.460699,0.561141,1.816332,0.432,0.504,1.82817,0.416,0.496533
M1/N8/E11b/T12a_train01,41,1.06423,1.620281,0.471616,0.569907,1.807535,0.44,0.506788,1.81981,0.416,0.499177
M1/N8/E11b/T12a_train01,42,1.049387,1.591293,0.495633,0.58081,1.798741,0.44,0.51,1.809872,0.432,0.502946
M1/N8/E11b/T12a_train01,43,1.023243,1.558213,0.50655,0.5908,1.787659,0.44,0.51292,1.799043,0.432,0.505768
M1/N8/E11b/T12a_train01,44,1.001818,1.527519,0.524017,0.602451,1.779469,0.448,0.515816,1.789768,0.436,0.509298
M1/N8/E11b/T12a_train01,45,0.988323,1.49531,0.534934,0.614363,1.771747,0.456,0.518471,1.78126,0.444,0.512214
M1/N8/E11b/T12a_train01,46,0.969105,1.462133,0.550218,0.627353,1.765736,0.464,0.520676,1.772696,0.452,0.515258
M1/N8/E11b/T12a_train01,47,0.955088,1.428239,0.561135,0.636131,1.761057,0.464,0.521018,1.768462,0.448,0.515292
