experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12a_train03,1,2.415893,2.299736,0.081818,0.316831,2.304934,0.06,0.315276,2.306326,0.08,0.31477
M1/N7/E10b/T12a_train03,2,2.210352,2.288443,0.081818,0.320395,2.294534,0.06,0.31856,2.295106,0.083333,0.318305
M1/N7/E10b/T12a_train03,3,2.027715,2.271815,0.098182,0.325768,2.279307,0.06,0.323484,2.278671,0.08,0.323613
M1/N7/E10b/T12a_train03,4,1.851892,2.246361,0.585455,0.334223,2.255648,0.56,0.331327,2.25351,0.543333,0.331961
M1/N7/E10b/T12a_train03,5,1.696659,2.211396,0.603636,0.346279,2.222496,0.553333,0.342695,2.21857,0.596667,0.343982
M1/N7/E10b/T12a_train03,6,1.565455,2.164874,0.58,0.363046,2.177764,0.533333,0.358655,2.171766,0.58,0.360787
M1/N7/E10b/T12a_train03,7,1.428732,2.107373,0.58,0.38488,2.122516,0.533333,0.379338,2.113811,0.58,0.382676
M1/N7/E10b/T12a_train03,8,1.298935,2.039934,0.58,0.411952,2.058032,0.533333,0.40475,2.045992,0.58,0.40971
M1/N7/E10b/T12a_train03,9,1.209125,1.963641,0.58,0.444091,1.985132,0.533333,0.434754,1.969412,0.58,0.441685
M1/N7/E10b/T12a_train03,10,1.128661,1.879375,0.58,0.480722,1.904612,0.533333,0.468791,1.884839,0.58,0.478065
M1/N7/E10b/T12a_train03,11,1.051958,1.790477,0.58,0.519227,1.819546,0.533333,0.504435,1.795607,0.58,0.516279
M1/N7/E10b/T12a_train03,12,1.010436,1.700728,0.58,0.556069,1.733554,0.533333,0.53842,1.705395,0.58,0.552936
M1/N7/E10b/T12a_train03,13,0.96895,1.615691,0.58,0.587317,1.651898,0.533333,0.567235,1.619978,0.58,0.584106
M1/N7/E10b/T12a_train03,14,0.93687,1.537802,0.58,0.611684,1.577122,0.533333,0.589696,1.542,0.58,0.60848
M1/N7/E10b/T12a_train03,15,0.901335,1.470875,0.58,0.629014,1.512569,0.533333,0.605832,1.475269,0.58,0.625888
M1/N7/E10b/T12a_train03,16,0.851188,1.41099,0.58,0.641744,1.45443,0.533333,0.617844,1.415591,0.58,0.638791
M1/N7/E10b/T12a_train03,17,0.824097,1.362309,0.58,0.65059,1.406832,0.533333,0.626417,1.367338,0.58,0.647795
M1/N7/E10b/T12a_train03,18,0.794389,1.323019,0.58,0.657191,1.368324,0.533333,0.633001,1.328693,0.58,0.654527
M1/N7/E10b/T12a_train03,19,0.76151,1.289401,0.58,0.662966,1.335491,0.533333,0.638897,1.296225,0.58,0.660321
M1/N7/E10b/T12a_train03,20,0.722692,1.260041,0.58,0.668387,1.307113,0.533333,0.644472,1.268368,0.58,0.665687
M1/N7/E10b/T12a_train03,21,0.717114,1.2341,0.58,0.673883,1.282458,0.533333,0.650113,1.244521,0.58,0.670966
M1/N7/E10b/T12a_train03,22,0.699475,1.211328,0.58,0.679747,1.261248,0.533333,0.656117,1.224633,0.58,0.676375
M1/N7/E10b/T12a_train03,23,0.670226,1.18993,0.581818,0.686068,1.241836,0.54,0.662461,1.206826,0.58,0.682018
M1/N7/E10b/T12a_train03,24,0.63626,1.169559,0.589091,0.693029,1.224093,0.54,0.669221,1.190922,0.593333,0.687979
M1/N7/E10b/T12a_train03,25,0.605326,1.147801,0.594545,0.700492,1.206046,0.54,0.676079,1.174558,0.61,0.694119
M1/N7/E10b/T12a_train03,26,0.593967,1.12611,0.609091,0.70874,1.188956,0.56,0.683382,1.159582,0.62,0.700521
M1/N7/E10b/T12a_train03,27,0.589502,1.102766,0.62,0.717706,1.171088,0.58,0.691018,1.143986,0.63,0.707198
M1/N7/E10b/T12a_train03,28,0.549011,1.079388,0.641818,0.726868,1.15413,0.593333,0.698452,1.129403,0.65,0.713616
M1/N7/E10b/T12a_train03,29,0.525629,1.055911,0.667273,0.736526,1.138083,0.593333,0.706001,1.115727,0.66,0.720102
M1/N7/E10b/T12a_train03,30,0.504862,1.030125,0.694545,0.746513,1.120532,0.653333,0.713559,1.100631,0.673333,0.72661
M1/N7/E10b/T12a_train03,31,0.497228,1.002549,0.72,0.756767,1.102291,0.673333,0.720948,1.084815,0.693333,0.732954
M1/N7/E10b/T12a_train03,32,0.471438,0.974495,0.749091,0.767071,1.085001,0.706667,0.727961,1.069805,0.706667,0.7389
M1/N7/E10b/T12a_train03,33,0.460471,0.942697,0.765455,0.777598,1.064971,0.713333,0.734988,1.051617,0.713333,0.744915
M1/N7/E10b/T12a_train03,34,0.438477,0.909635,0.787273,0.788413,1.044626,0.726667,0.742104,1.032975,0.726667,0.75093
M1/N7/E10b/T12a_train03,35,0.424013,0.87347,0.805455,0.799332,1.022544,0.726667,0.749025,1.011858,0.75,0.756924
M1/N7/E10b/T12a_train03,36,0.4082,0.837087,0.827273,0.81028,1.001861,0.753333,0.755608,0.991725,0.773333,0.762582
M1/N7/E10b/T12a_train03,37,0.382691,0.801463,0.845455,0.820621,0.983534,0.76,0.76119,0.972705,0.773333,0.767591
M1/N7/E10b/T12a_train03,38,0.385818,0.764943,0.867273,0.831103,0.965324,0.76,0.766739,0.953826,0.786667,0.772436
