experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12b_train02,1,2.417045,2.401271,0.138182,0.300203,2.403194,0.12,0.299582,2.406117,0.113333,0.29871
M1/N7/E10b/T12b_train02,2,2.204796,2.383944,0.138182,0.305397,2.385839,0.106667,0.304791,2.389594,0.116667,0.303664
M1/N7/E10b/T12b_train02,3,2.011693,2.356055,0.138182,0.313968,2.357762,0.106667,0.313435,2.362833,0.116667,0.311889
M1/N7/E10b/T12b_train02,4,1.820926,2.316288,0.469091,0.326658,2.31762,0.466667,0.326287,2.32464,0.416667,0.324085
M1/N7/E10b/T12b_train02,5,1.628167,2.264612,0.621818,0.344022,2.265504,0.66,0.34389,2.274649,0.626667,0.340897
M1/N7/E10b/T12b_train02,6,1.506219,2.202171,0.561818,0.366239,2.202747,0.593333,0.366386,2.214232,0.566667,0.36242
M1/N7/E10b/T12b_train02,7,1.338695,2.129961,0.561818,0.393465,2.130243,0.593333,0.393998,2.144703,0.566667,0.388676
M1/N7/E10b/T12b_train02,8,1.230163,2.048861,0.561818,0.425667,2.048999,0.593333,0.42668,2.066734,0.566667,0.419698
M1/N7/E10b/T12b_train02,9,1.142555,1.961807,0.561818,0.461415,1.96227,0.593333,0.462919,1.983365,0.566667,0.454053
M1/N7/E10b/T12b_train02,10,1.058221,1.871162,0.561818,0.498843,1.872445,0.593333,0.500869,1.896948,0.566667,0.489967
M1/N7/E10b/T12b_train02,11,1.007543,1.77907,0.561818,0.535617,1.78156,0.593333,0.538279,1.80947,0.566667,0.525314
M1/N7/E10b/T12b_train02,12,0.963488,1.689824,0.561818,0.568567,1.694182,0.593333,0.571851,1.725335,0.566667,0.556998
M1/N7/E10b/T12b_train02,13,0.887428,1.606892,0.561818,0.595723,1.613795,0.593333,0.599528,1.647783,0.566667,0.583146
M1/N7/E10b/T12b_train02,14,0.874696,1.530059,0.561818,0.61761,1.540102,0.593333,0.621789,1.576605,0.566667,0.604213
M1/N7/E10b/T12b_train02,15,0.809597,1.461177,0.561818,0.634723,1.474822,0.593333,0.639041,1.513695,0.566667,0.620526
M1/N7/E10b/T12b_train02,16,0.799018,1.398127,0.561818,0.648698,1.415932,0.593333,0.652854,1.456862,0.566667,0.633671
M1/N7/E10b/T12b_train02,17,0.761667,1.343325,0.565455,0.660086,1.365656,0.593333,0.663706,1.408261,0.566667,0.644089
M1/N7/E10b/T12b_train02,18,0.732931,1.294573,0.570909,0.670189,1.321952,0.613333,0.672858,1.365988,0.57,0.652957
M1/N7/E10b/T12b_train02,19,0.72639,1.249886,0.58,0.679564,1.282636,0.613333,0.681029,1.327872,0.59,0.660963
M1/N7/E10b/T12b_train02,20,0.681415,1.209653,0.587273,0.688357,1.248155,0.613333,0.688316,1.294472,0.606667,0.668128
M1/N7/E10b/T12b_train02,21,0.65808,1.173461,0.6,0.696885,1.218116,0.62,0.695043,1.265455,0.61,0.674744
M1/N7/E10b/T12b_train02,22,0.624181,1.140199,0.605455,0.705773,1.191676,0.62,0.701679,1.240107,0.616667,0.68122
M1/N7/E10b/T12b_train02,23,0.600197,1.109024,0.636364,0.714766,1.167788,0.646667,0.708112,1.217454,0.623333,0.687437
M1/N7/E10b/T12b_train02,24,0.581767,1.079044,0.652727,0.723633,1.145435,0.653333,0.714243,1.196541,0.626667,0.693288
M1/N7/E10b/T12b_train02,25,0.588684,1.049162,0.667273,0.732537,1.123682,0.66,0.720274,1.17625,0.64,0.698998
M1/N7/E10b/T12b_train02,26,0.547421,1.020759,0.68,0.741377,1.10397,0.673333,0.725947,1.157995,0.656667,0.704374
M1/N7/E10b/T12b_train02,27,0.533751,0.992279,0.690909,0.750217,1.084755,0.68,0.731365,1.140342,0.663333,0.70952
M1/N7/E10b/T12b_train02,28,0.499367,0.964543,0.705455,0.759342,1.06725,0.693333,0.736585,1.12421,0.68,0.714539
M1/N7/E10b/T12b_train02,29,0.452168,0.936214,0.72,0.768626,1.049889,0.7,0.741691,1.108205,0.69,0.719495
M1/N7/E10b/T12b_train02,30,0.452868,0.906906,0.736364,0.777992,1.031965,0.706667,0.746748,1.091773,0.703333,0.724356
M1/N7/E10b/T12b_train02,31,0.437267,0.87645,0.749091,0.787379,1.013252,0.72,0.751787,1.074712,0.706667,0.729146
M1/N7/E10b/T12b_train02,32,0.435463,0.844749,0.765455,0.797169,0.99381,0.72,0.757017,1.057188,0.71,0.734044
M1/N7/E10b/T12b_train02,33,0.4177,0.810482,0.785455,0.807226,0.972457,0.72,0.7624,1.037831,0.71,0.739072
M1/N7/E10b/T12b_train02,34,0.385699,0.776654,0.789091,0.817116,0.951696,0.733333,0.767595,1.018949,0.73,0.743942
M1/N7/E10b/T12b_train02,35,0.385168,0.741318,0.805455,0.827411,0.93004,0.746667,0.772847,0.999556,0.733333,0.748869
M1/N7/E10b/T12b_train02,36,0.360575,0.706608,0.825455,0.838624,0.910032,0.746667,0.778327,0.982154,0.733333,0.753797
M1/N7/E10b/T12b_train02,37,0.353795,0.671492,0.850909,0.849929,0.890471,0.753333,0.78351,0.965697,0.733333,0.758312
M1/N7/E10b/T12b_train02,38,0.320153,0.636269,0.881818,0.861763,0.872011,0.753333,0.788674,0.950757,0.726667,0.762483
M1/N7/E10b/T12b_train02,39,0.314123,0.59907,0.903636,0.873933,0.852559,0.753333,0.793931,0.935654,0.726667,0.766407
M1/N7/E10b/T12b_train02,40,0.277095,0.563752,0.92,0.885622,0.835835,0.766667,0.79856,0.923506,0.736667,0.769503
M1/N7/E10b/T12b_train02,41,0.2754,0.529058,0.927273,0.896573,0.820384,0.78,0.802591,0.912806,0.743333,0.771898
M1/N7/E10b/T12b_train02,42,0.259841,0.495513,0.932727,0.906417,0.806469,0.786667,0.805812,0.903641,0.733333,0.773534
M1/N7/E10b/T12b_train02,43,0.273058,0.462568,0.936364,0.915113,0.792746,0.786667,0.80853,0.894702,0.74,0.774882
M1/N7/E10b/T12b_train02,44,0.248057,0.429654,0.941818,0.923377,0.780153,0.786667,0.810912,0.8869,0.746667,0.775773
M1/N7/E10b/T12b_train02,45,0.251968,0.398567,0.943636,0.930411,0.768876,0.773333,0.81273,0.880352,0.75,0.776275
M1/N7/E10b/T12b_train02,46,0.22389,0.369822,0.947273,0.936339,0.760359,0.786667,0.81372,0.876398,0.753333,0.776079
M1/N7/E10b/T12b_train02,47,0.210958,0.343446,0.949091,0.941401,0.753261,0.793333,0.814549,0.874088,0.746667,0.775563
M1/N7/E10b/T12b_train02,48,0.223807,0.318273,0.949091,0.945767,0.745679,0.793333,0.815443,0.872393,0.75,0.774839
M1/N7/E10b/T12b_train02,49,0.203192,0.295181,0.949091,0.949473,0.738607,0.793333,0.816326,0.86997,0.746667,0.774471
M1/N7/E10b/T12b_train02,50,0.187836,0.27347,0.949091,0.95284,0.732703,0.8,0.816967,0.869781,0.743333,0.773764
M1/N7/E10b/T12b_train02,51,0.192164,0.25395,0.949091,0.955735,0.728978,0.8,0.817096,0.870892,0.733333,0.772848
M1/N7/E10b/T12b_train02,52,0.184393,0.235949,0.952727,0.958256,0.724727,0.8,0.817544,0.870849,0.733333,0.77248
M1/N7/E10b/T12b_train02,53,0.169827,0.219302,0.952727,0.960407,0.721593,0.8,0.817796,0.871827,0.73,0.771861
M1/N7/E10b/T12b_train02,54,0.162641,0.203796,0.952727,0.9623,0.718249,0.8,0.818205,0.873316,0.73,0.771343
M1/N7/E10b/T12b_train02,55,0.156649,0.190082,0.952727,0.963894,0.717293,0.8,0.818212,0.876889,0.723333,0.770458
M1/N7/E10b/T12b_train02,56,0.161211,0.177691,0.954545,0.965259,0.717734,0.806667,0.81804,0.881461,0.726667,0.769481
