experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10c/T12a_train09,1,2.519969,2.453609,0.570909,0.298084,2.457263,0.493333,0.297002,2.451941,0.576667,0.298569
M1/N7/E10c/T12a_train09,2,2.341642,2.43856,0.570909,0.302648,2.443376,0.493333,0.301194,2.437105,0.576667,0.303081
M1/N7/E10c/T12a_train09,3,2.172191,2.418167,0.570909,0.308927,2.424713,0.493333,0.306912,2.417113,0.576667,0.309251
M1/N7/E10c/T12a_train09,4,2.01599,2.389863,0.570909,0.317862,2.398974,0.493333,0.314986,2.38919,0.576667,0.318083
M1/N7/E10c/T12a_train09,5,1.839754,2.352733,0.570909,0.329983,2.365623,0.493333,0.325785,2.35251,0.576667,0.330076
M1/N7/E10c/T12a_train09,6,1.703406,2.307708,0.570909,0.345257,2.325639,0.493333,0.339195,2.308016,0.576667,0.345183
M1/N7/E10c/T12a_train09,7,1.556078,2.254648,0.570909,0.36399,2.278585,0.493333,0.355559,2.25566,0.576667,0.363678
M1/N7/E10c/T12a_train09,8,1.408724,2.192064,0.570909,0.386987,2.223025,0.493333,0.375585,2.193978,0.576667,0.386347
M1/N7/E10c/T12a_train09,9,1.334618,2.121682,0.570909,0.413875,2.160902,0.493333,0.398744,2.124801,0.576667,0.412761
M1/N7/E10c/T12a_train09,10,1.173918,2.044463,0.570909,0.444174,2.092989,0.493333,0.424594,2.049067,0.576667,0.44243
M1/N7/E10c/T12a_train09,11,1.096958,1.96316,0.570909,0.476372,2.021778,0.493333,0.451783,1.969605,0.576667,0.473802
M1/N7/E10c/T12a_train09,12,1.020759,1.881622,0.570909,0.508257,1.950646,0.493333,0.478431,1.890144,0.576667,0.504708
M1/N7/E10c/T12a_train09,13,0.953223,1.798877,0.570909,0.53952,1.878791,0.493333,0.504312,1.809759,0.576667,0.534854
M1/N7/E10c/T12a_train09,14,0.914912,1.717892,0.570909,0.568514,1.808971,0.493333,0.528028,1.731361,0.576667,0.562637
M1/N7/E10c/T12a_train09,15,0.888409,1.641233,0.570909,0.594054,1.743303,0.493333,0.548711,1.657568,0.576667,0.586884
M1/N7/E10c/T12a_train09,16,0.821516,1.569109,0.570909,0.616359,1.682066,0.493333,0.566581,1.588641,0.576667,0.607771
M1/N7/E10c/T12a_train09,17,0.778881,1.501858,0.576364,0.635801,1.625548,0.493333,0.582011,1.524747,0.576667,0.625749
M1/N7/E10c/T12a_train09,18,0.748203,1.442286,0.581818,0.652386,1.575907,0.493333,0.595156,1.468879,0.583333,0.640724
M1/N7/E10c/T12a_train09,19,0.72463,1.389301,0.596364,0.667005,1.532149,0.506667,0.606809,1.419932,0.596667,0.653602
M1/N7/E10c/T12a_train09,20,0.70587,1.340364,0.618182,0.680385,1.492127,0.513333,0.617504,1.375307,0.61,0.6652
M1/N7/E10c/T12a_train09,21,0.65105,1.29538,0.658182,0.692846,1.456096,0.526667,0.627407,1.335158,0.62,0.67575
M1/N7/E10c/T12a_train09,22,0.644669,1.254328,0.665455,0.704515,1.423994,0.553333,0.636591,1.299544,0.636667,0.685335
M1/N7/E10c/T12a_train09,23,0.591682,1.217486,0.678182,0.715384,1.396225,0.566667,0.644998,1.268847,0.646667,0.693951
M1/N7/E10c/T12a_train09,24,0.589438,1.182408,0.687273,0.725697,1.370897,0.566667,0.65276,1.240585,0.656667,0.701929
M1/N7/E10c/T12a_train09,25,0.577581,1.149869,0.696364,0.735602,1.348424,0.58,0.660014,1.215851,0.67,0.709189
M1/N7/E10c/T12a_train09,26,0.553405,1.119377,0.721818,0.74498,1.328361,0.586667,0.666653,1.19385,0.676667,0.71579
M1/N7/E10c/T12a_train09,27,0.523472,1.089051,0.738182,0.75413,1.308836,0.6,0.673033,1.17287,0.68,0.721982
M1/N7/E10c/T12a_train09,28,0.507631,1.059535,0.750909,0.762912,1.290692,0.633333,0.678967,1.153516,0.69,0.727617
M1/N7/E10c/T12a_train09,29,0.507722,1.030119,0.772727,0.771306,1.273579,0.666667,0.684318,1.134909,0.71,0.732789
M1/N7/E10c/T12a_train09,30,0.488679,1.004191,0.787273,0.778965,1.26021,0.673333,0.688789,1.120693,0.723333,0.737031
M1/N7/E10c/T12a_train09,31,0.477251,0.978919,0.801818,0.786433,1.247925,0.693333,0.692877,1.107787,0.736667,0.740869
M1/N7/E10c/T12a_train09,32,0.444224,0.953495,0.809091,0.793787,1.236127,0.706667,0.696675,1.095597,0.75,0.744358
M1/N7/E10c/T12a_train09,33,0.43085,0.925825,0.812727,0.801425,1.223195,0.706667,0.700422,1.082238,0.75,0.747765
M1/N7/E10c/T12a_train09,34,0.417533,0.898927,0.830909,0.808789,1.211491,0.713333,0.703725,1.070232,0.746667,0.750724
M1/N7/E10c/T12a_train09,35,0.409941,0.87159,0.84,0.816265,1.200207,0.72,0.706793,1.058704,0.75,0.75342
M1/N7/E10c/T12a_train09,36,0.400012,0.843381,0.850909,0.824063,1.188659,0.72,0.709874,1.047424,0.753333,0.755942
M1/N7/E10c/T12a_train09,37,0.392677,0.815331,0.86,0.831823,1.177728,0.726667,0.712651,1.037155,0.756667,0.758164
M1/N7/E10c/T12a_train09,38,0.35666,0.787769,0.870909,0.839696,1.16734,0.726667,0.715362,1.027997,0.76,0.760202
M1/N7/E10c/T12a_train09,39,0.356145,0.760091,0.885455,0.847956,1.157243,0.74,0.718133,1.019717,0.76,0.76215
M1/N7/E10c/T12a_train09,40,0.358597,0.729322,0.903636,0.85607,1.143678,0.753333,0.721205,1.007651,0.776667,0.764396
M1/N7/E10c/T12a_train09,41,0.341612,0.698625,0.910909,0.864514,1.130674,0.76,0.72432,0.996676,0.773333,0.766493
M1/N7/E10c/T12a_train09,42,0.328782,0.664608,0.918182,0.872972,1.114296,0.773333,0.727761,0.98195,0.773333,0.768981
M1/N7/E10c/T12a_train09,43,0.320333,0.631454,0.929091,0.881411,1.098468,0.773333,0.731167,0.968504,0.776667,0.771331
M1/N7/E10c/T12a_train09,44,0.297356,0.597939,0.932727,0.889483,1.082195,0.766667,0.734295,0.954216,0.783333,0.773632
M1/N7/E10c/T12a_train09,45,0.294193,0.565395,0.934545,0.897134,1.067136,0.76,0.736889,0.941226,0.78,0.775491
M1/N7/E10c/T12a_train09,46,0.273869,0.534603,0.934545,0.904221,1.053716,0.746667,0.738888,0.929744,0.783333,0.776918
M1/N7/E10c/T12a_train09,47,0.269459,0.502079,0.938182,0.910955,1.036867,0.746667,0.741257,0.914837,0.783333,0.778835
M1/N7/E10c/T12a_train09,48,0.265251,0.470159,0.938182,0.917298,1.019811,0.74,0.743518,0.900195,0.776667,0.780509
M1/N7/E10c/T12a_train09,49,0.259953,0.439079,0.938182,0.923146,1.00271,0.733333,0.745663,0.885686,0.77,0.782149
M1/N7/E10c/T12a_train09,50,0.234711,0.40877,0.938182,0.928539,0.985645,0.726667,0.747599,0.871958,0.763333,0.78353
M1/N7/E10c/T12a_train09,51,0.22857,0.380511,0.938182,0.933275,0.970051,0.726667,0.74912,0.859495,0.763333,0.784712
M1/N7/E10c/T12a_train09,52,0.235073,0.353376,0.94,0.93764,0.954922,0.726667,0.750511,0.848426,0.763333,0.785677
M1/N7/E10c/T12a_train09,53,0.218845,0.328004,0.94,0.941497,0.940318,0.726667,0.751931,0.838369,0.766667,0.786515
M1/N7/E10c/T12a_train09,54,0.214162,0.304468,0.94,0.944904,0.927409,0.72,0.752896,0.830522,0.766667,0.78681
M1/N7/E10c/T12a_train09,55,0.217751,0.282256,0.941818,0.947998,0.914707,0.713333,0.754148,0.824087,0.763333,0.787079
M1/N7/E10c/T12a_train09,56,0.198246,0.262052,0.941818,0.950646,0.903325,0.713333,0.755206,0.819748,0.77,0.786937
M1/N7/E10c/T12a_train09,57,0.197789,0.243556,0.941818,0.952951,0.893315,0.72,0.755971,0.817236,0.763333,0.786594
M1/N7/E10c/T12a_train09,58,0.208712,0.227096,0.941818,0.954943,0.884797,0.713333,0.756491,0.81682,0.76,0.786049
M1/N7/E10c/T12a_train09,59,0.191079,0.212562,0.941818,0.95663,0.877401,0.706667,0.756922,0.817705,0.756667,0.785696
M1/N7/E10c/T12a_train09,60,0.185772,0.199491,0.941818,0.958058,0.87219,0.7,0.756669,0.820316,0.753333,0.785156
M1/N7/E10c/T12a_train09,61,0.179058,0.188263,0.943636,0.959276,0.868878,0.693333,0.756036,0.824884,0.75,0.784368
M1/N7/E10c/T12a_train09,62,0.172116,0.17831,0.943636,0.960298,0.866529,0.693333,0.755338,0.83059,0.75,0.783526
M1/N7/E10c/T12a_train09,63,0.177429,0.169671,0.943636,0.961166,0.866028,0.693333,0.754319,0.837058,0.75,0.782801
M1/N7/E10c/T12a_train09,64,0.155968,0.162072,0.943636,0.961929,0.867086,0.693333,0.753109,0.844828,0.753333,0.782109
M1/N7/E10c/T12a_train09,65,0.176495,0.155301,0.943636,0.962617,0.869569,0.686667,0.75181,0.853979,0.75,0.781435
M1/N7/E10c/T12a_train09,66,0.16127,0.149401,0.943636,0.963287,0.872291,0.686667,0.750749,0.863021,0.75,0.780941
M1/N7/E10c/T12a_train09,67,0.157582,0.144212,0.943636,0.963924,0.876738,0.686667,0.749731,0.873182,0.753333,0.780351
M1/N7/E10c/T12a_train09,68,0.157456,0.13963,0.943636,0.964569,0.881282,0.693333,0.749205,0.8837,0.753333,0.779872
M1/N7/E10c/T12a_train09,69,0.152509,0.135518,0.947273,0.96523,0.88732,0.7,0.748493,0.894884,0.756667,0.779247
M1/N7/E10c/T12a_train09,70,0.149659,0.13164,0.954545,0.965921,0.894619,0.7,0.747489,0.906513,0.76,0.778601
M1/N7/E10c/T12a_train09,71,0.153542,0.127947,0.956364,0.966663,0.903419,0.706667,0.746246,0.91854,0.76,0.77777
M1/N7/E10c/T12a_train09,72,0.14227,0.124479,0.958182,0.967434,0.913318,0.706667,0.744833,0.930958,0.76,0.776846
M1/N7/E10c/T12a_train09,73,0.1489,0.121227,0.961818,0.96823,0.922945,0.7,0.743501,0.94204,0.76,0.775966
M1/N7/E10c/T12a_train09,74,0.138166,0.118028,0.970909,0.96911,0.930144,0.706667,0.743281,0.95139,0.76,0.775698
