experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10c/T12e_train04,1,2.178547,2.175277,0.129091,0.340341,2.173094,0.12,0.341048,2.176821,0.113333,0.339802
M1/N7/E10c/T12e_train04,2,2.177892,2.166484,0.129091,0.343309,2.16407,0.12,0.344094,2.168257,0.113333,0.342692
M1/N7/E10c/T12e_train04,3,2.161504,2.158018,0.129091,0.346194,2.155363,0.12,0.347059,2.16,0.113333,0.345504
M1/N7/E10c/T12e_train04,4,2.133254,2.150131,0.129091,0.348905,2.147244,0.12,0.349849,2.152319,0.113333,0.348143
M1/N7/E10c/T12e_train04,5,2.085322,2.142867,0.129091,0.351422,2.139776,0.12,0.352434,2.145241,0.113333,0.350593
M1/N7/E10c/T12e_train04,6,2.013037,2.136027,0.129091,0.353808,2.132763,0.12,0.354878,2.138584,0.113333,0.352912
M1/N7/E10c/T12e_train04,7,1.92508,2.129209,0.129091,0.356201,2.125794,0.12,0.357321,2.131956,0.113333,0.355234
M1/N7/E10c/T12e_train04,8,1.809573,2.12216,0.129091,0.35869,2.118604,0.12,0.359857,2.125103,0.113333,0.357649
M1/N7/E10c/T12e_train04,9,1.698066,2.115054,0.129091,0.361216,2.111368,0.12,0.362425,2.118179,0.113333,0.360103
M1/N7/E10c/T12e_train04,10,1.602456,2.107915,0.607273,0.363768,2.10412,0.606667,0.365013,2.111194,0.583333,0.362592
M1/N7/E10c/T12e_train04,11,1.499714,2.100473,0.607273,0.366444,2.096581,0.606667,0.367721,2.103883,0.583333,0.36521
M1/N7/E10c/T12e_train04,12,1.435524,2.092687,0.607273,0.369255,2.088708,0.606667,0.37056,2.09618,0.583333,0.367975
M1/N7/E10c/T12e_train04,13,1.402596,2.084913,0.607273,0.372064,2.080869,0.606667,0.37339,2.088408,0.583333,0.370764
M1/N7/E10c/T12e_train04,14,1.387598,2.077745,0.607273,0.374645,2.073636,0.606667,0.375993,2.081147,0.583333,0.373355
M1/N7/E10c/T12e_train04,15,1.401954,2.070916,0.607273,0.377087,2.066725,0.606667,0.378461,2.074116,0.583333,0.375843
M1/N7/E10c/T12e_train04,16,1.389707,2.064806,0.607273,0.379252,2.060511,0.606667,0.380662,2.067716,0.583333,0.378084
M1/N7/E10c/T12e_train04,17,1.425783,2.059674,0.607273,0.381037,2.055225,0.606667,0.382503,2.062202,0.583333,0.379981
M1/N7/E10c/T12e_train04,18,1.399814,2.055455,0.607273,0.38247,2.05082,0.606667,0.384006,2.057552,0.583333,0.381547
M1/N7/E10c/T12e_train04,19,1.397987,2.051666,0.607273,0.38373,2.046855,0.606667,0.385333,2.053315,0.583333,0.382946
M1/N7/E10c/T12e_train04,20,1.394703,2.048403,0.607273,0.384779,2.043424,0.606667,0.386449,2.04958,0.583333,0.384147
M1/N7/E10c/T12e_train04,21,1.381898,2.045448,0.534545,0.385703,2.040284,0.52,0.387449,2.046136,0.496667,0.385231
M1/N7/E10c/T12e_train04,22,1.349388,2.042202,0.534545,0.386728,2.036885,0.52,0.388539,2.042402,0.496667,0.386414
