experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12b_train03,1,2.235334,2.295702,0.021818,0.318108,2.294724,0.013333,0.318378,2.297562,0.023333,0.317498
M1/N7/E11a/T12b_train03,2,2.077868,2.281468,0.021818,0.322709,2.280907,0.013333,0.322838,2.282959,0.023333,0.322212
M1/N7/E11a/T12b_train03,3,1.898177,2.261472,0.58,0.329327,2.261518,0.533333,0.329234,2.262512,0.58,0.328971
M1/N7/E11a/T12b_train03,4,1.739229,2.230872,0.58,0.339807,2.232535,0.533333,0.339126,2.231571,0.58,0.339554
M1/N7/E11a/T12b_train03,5,1.591906,2.188298,0.58,0.355052,2.192284,0.533333,0.353459,2.188567,0.58,0.354921
M1/N7/E11a/T12b_train03,6,1.44641,2.136935,0.58,0.374468,2.143807,0.533333,0.371628,2.136749,0.58,0.374447
M1/N7/E11a/T12b_train03,7,1.353481,2.074973,0.58,0.399282,2.085405,0.533333,0.394745,2.074322,0.58,0.39934
M1/N7/E11a/T12b_train03,8,1.234584,2.006894,0.58,0.427931,2.021106,0.533333,0.421373,2.005905,0.58,0.427966
M1/N7/E11a/T12b_train03,9,1.160843,1.934688,0.58,0.459254,1.952459,0.533333,0.450529,1.933478,0.58,0.459161
M1/N7/E11a/T12b_train03,10,1.096426,1.863091,0.58,0.490508,1.884061,0.533333,0.479604,1.861727,0.58,0.490209
M1/N7/E11a/T12b_train03,11,1.071054,1.794713,0.58,0.519727,1.818599,0.533333,0.506748,1.793581,0.58,0.519049
M1/N7/E11a/T12b_train03,12,1.02273,1.729548,0.58,0.546308,1.75593,0.533333,0.531491,1.729017,0.58,0.545105
M1/N7/E11a/T12b_train03,13,0.976759,1.670826,0.58,0.568697,1.699188,0.533333,0.552444,1.671373,0.58,0.566815
M1/N7/E11a/T12b_train03,14,0.940317,1.617104,0.58,0.587735,1.647137,0.533333,0.570343,1.619103,0.58,0.585067
M1/N7/E11a/T12b_train03,15,0.887057,1.570501,0.58,0.603067,1.601953,0.533333,0.584841,1.574369,0.58,0.599474
