experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12e_train08,1,2.371823,2.368708,0.561818,0.310639,2.361824,0.6,0.312746,2.371261,0.533333,0.309839
M1/N7/E11a/T12e_train08,2,2.365499,2.358365,0.561818,0.313972,2.351201,0.6,0.316184,2.36116,0.533333,0.313083
M1/N7/E11a/T12e_train08,3,2.350224,2.348307,0.561818,0.31725,2.340856,0.6,0.31957,2.351353,0.533333,0.316267
M1/N7/E11a/T12e_train08,4,2.320678,2.338904,0.561818,0.32034,2.331218,0.6,0.322754,2.342176,0.533333,0.31927
M1/N7/E11a/T12e_train08,5,2.275069,2.330087,0.561818,0.323258,2.322236,0.6,0.325746,2.33357,0.533333,0.322106
M1/N7/E11a/T12e_train08,6,2.215082,2.321735,0.561818,0.326037,2.313779,0.6,0.328582,2.325403,0.533333,0.32481
M1/N7/E11a/T12e_train08,7,2.121789,2.313648,0.561818,0.328744,2.305606,0.6,0.33134,2.317489,0.533333,0.327445
M1/N7/E11a/T12e_train08,8,2.018026,2.305775,0.561818,0.331393,2.297671,0.6,0.334034,2.309774,0.533333,0.330027
M1/N7/E11a/T12e_train08,9,1.90408,2.297723,0.561818,0.334116,2.289587,0.6,0.336794,2.301878,0.533333,0.332681
M1/N7/E11a/T12e_train08,10,1.803852,2.289285,0.561818,0.336983,2.281141,0.6,0.339694,2.29359,0.533333,0.335479
M1/N7/E11a/T12e_train08,11,1.714376,2.28018,0.561818,0.340094,2.27205,0.6,0.342834,2.284647,0.533333,0.338514
M1/N7/E11a/T12e_train08,12,1.622389,2.271012,0.561818,0.343242,2.262921,0.6,0.346006,2.275638,0.533333,0.341585
M1/N7/E11a/T12e_train08,13,1.582264,2.262006,0.561818,0.346331,2.254038,0.6,0.349093,2.26675,0.533333,0.344609
M1/N7/E11a/T12e_train08,14,1.5454,2.253558,0.561818,0.349218,2.245805,0.6,0.351948,2.25837,0.533333,0.34745
M1/N7/E11a/T12e_train08,15,1.528649,2.245677,0.561818,0.351902,2.238206,0.6,0.354575,2.250523,0.533333,0.350099
M1/N7/E11a/T12e_train08,16,1.549103,2.238955,0.561818,0.354156,2.231879,0.6,0.35673,2.243759,0.533333,0.352347
M1/N7/E11a/T12e_train08,17,1.501797,2.233638,0.561818,0.355891,2.227051,0.6,0.358328,2.238331,0.533333,0.354104
M1/N7/E11a/T12e_train08,18,1.503897,2.229168,0.561818,0.35731,2.223131,0.6,0.359585,2.233707,0.533333,0.355564
M1/N7/E11a/T12e_train08,19,1.506176,2.224922,0.561818,0.358635,2.219474,0.6,0.360732,2.229279,0.533333,0.356939
M1/N7/E11a/T12e_train08,20,1.526965,2.221101,0.561818,0.359789,2.216279,0.6,0.361693,2.225232,0.533333,0.35816
M1/N7/E11a/T12e_train08,21,1.463367,2.216716,0.561818,0.361137,2.212522,0.6,0.362848,2.220635,0.533333,0.359569
M1/N7/E11a/T12e_train08,22,1.451792,2.212182,0.561818,0.362538,2.208591,0.6,0.364063,2.215905,0.533333,0.361025
M1/N7/E11a/T12e_train08,23,1.449323,2.207578,0.561818,0.363974,2.204525,0.6,0.365334,2.211134,0.533333,0.362507
M1/N7/E11a/T12e_train08,24,1.46262,2.202989,0.561818,0.365417,2.200409,0.6,0.366634,2.206408,0.533333,0.363987
M1/N7/E11a/T12e_train08,25,1.455092,2.197717,0.561818,0.367122,2.195519,0.6,0.368229,2.201064,0.533333,0.365705
M1/N7/E11a/T12e_train08,26,1.45926,2.192302,0.561818,0.368919,2.190336,0.6,0.369969,2.195654,0.533333,0.367487
M1/N7/E11a/T12e_train08,27,1.471434,2.186303,0.561818,0.370949,2.184474,0.6,0.371979,2.189725,0.533333,0.369479
M1/N7/E11a/T12e_train08,28,1.447373,2.180292,0.561818,0.373015,2.178515,0.6,0.374054,2.183832,0.533333,0.371489
M1/N7/E11a/T12e_train08,29,1.4135,2.173966,0.561818,0.37522,2.172179,0.6,0.376293,2.177672,0.533333,0.373621
M1/N7/E11a/T12e_train08,30,1.426495,2.167112,0.561818,0.377637,2.165257,0.6,0.378768,2.171025,0.533333,0.375948
M1/N7/E11a/T12e_train08,31,1.434881,2.159801,0.561818,0.380248,2.157819,0.6,0.381461,2.163961,0.533333,0.378452
M1/N7/E11a/T12e_train08,32,1.425969,2.151922,0.561818,0.383079,2.149796,0.6,0.384384,2.15636,0.533333,0.381161
M1/N7/E11a/T12e_train08,33,1.423637,2.143845,0.561818,0.386,2.141559,0.6,0.387407,2.148577,0.533333,0.383954
M1/N7/E11a/T12e_train08,34,1.409813,2.134904,0.561818,0.389234,2.132488,0.6,0.39074,2.139943,0.533333,0.387052
M1/N7/E11a/T12e_train08,35,1.42301,2.126185,0.561818,0.392393,2.123658,0.6,0.393992,2.131514,0.533333,0.390079
M1/N7/E11a/T12e_train08,36,1.420592,2.116675,0.561818,0.395825,2.114086,0.6,0.397507,2.122292,0.533333,0.393377
M1/N7/E11a/T12e_train08,37,1.421612,2.106306,0.561818,0.399532,2.103743,0.6,0.401273,2.11218,0.533333,0.396954
