experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12a_train00,1,2.815098,2.742473,0.255682,0.257557,2.745253,0.2,0.256853,2.743885,0.249135,0.257227
M1/N7/E10b/T12a_train00,2,2.657934,2.727084,0.407197,0.2616,2.729747,0.372414,0.260924,2.72889,0.380623,0.261175
M1/N7/E10b/T12a_train00,3,2.530777,2.706526,0.445076,0.267106,2.708878,0.372414,0.266504,2.708744,0.397924,0.266582
M1/N7/E10b/T12a_train00,4,2.405509,2.679985,0.471591,0.274411,2.682173,0.386207,0.273838,2.682622,0.401384,0.273786
M1/N7/E10b/T12a_train00,5,2.300466,2.647344,0.458333,0.283695,2.649232,0.406897,0.283171,2.65045,0.411765,0.282966
M1/N7/E10b/T12a_train00,6,2.164552,2.607891,0.460227,0.295363,2.609346,0.393103,0.294892,2.611432,0.422145,0.294549
M1/N7/E10b/T12a_train00,7,2.098451,2.561042,0.465909,0.309822,2.562019,0.413793,0.309381,2.56518,0.422145,0.30889
M1/N7/E10b/T12a_train00,8,1.981289,2.508072,0.462121,0.326886,2.508731,0.413793,0.326369,2.512923,0.422145,0.325813
M1/N7/E10b/T12a_train00,9,1.910951,2.450948,0.465909,0.345971,2.451554,0.42069,0.34523,2.456743,0.425606,0.344711
M1/N7/E10b/T12a_train00,10,1.869396,2.391589,0.467803,0.366268,2.392618,0.42069,0.365099,2.39875,0.418685,0.364722
M1/N7/E10b/T12a_train00,11,1.809316,2.332464,0.479167,0.386575,2.334398,0.427586,0.384797,2.341459,0.425606,0.384622
M1/N7/E10b/T12a_train00,12,1.77106,2.277005,0.484848,0.405289,2.280445,0.42069,0.402711,2.288392,0.415225,0.40276
M1/N7/E10b/T12a_train00,13,1.757898,2.226756,0.467803,0.421636,2.232282,0.462069,0.418129,2.241199,0.435986,0.418316
M1/N7/E10b/T12a_train00,14,1.695474,2.18276,0.479167,0.435226,2.190993,0.441379,0.43068,2.201101,0.422145,0.430808
M1/N7/E10b/T12a_train00,15,1.676019,2.145919,0.471591,0.446044,2.157408,0.441379,0.440336,2.168864,0.411765,0.440245
M1/N7/E10b/T12a_train00,16,1.658046,2.115514,0.452652,0.45463,2.130918,0.427586,0.447587,2.14377,0.397924,0.447158
M1/N7/E10b/T12a_train00,17,1.621099,2.090128,0.44697,0.461653,2.109819,0.413793,0.453149,2.124169,0.373702,0.452299
