experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10c/T12a_train04,1,2.856181,2.760968,0.404453,0.253362,2.747712,0.489796,0.256746,2.762799,0.40339,0.252912
M1/N7/E10c/T12a_train04,2,2.696047,2.747196,0.404453,0.256919,2.732116,0.489796,0.260807,2.749201,0.40339,0.256427
M1/N7/E10c/T12a_train04,3,2.555004,2.729643,0.404453,0.261528,2.712039,0.489796,0.266111,2.731715,0.40339,0.261011
M1/N7/E10c/T12a_train04,4,2.438715,2.706428,0.404453,0.267797,2.685297,0.489796,0.273373,2.708723,0.40339,0.267222
M1/N7/E10c/T12a_train04,5,2.316739,2.675713,0.404453,0.276378,2.649961,0.489796,0.283315,2.678061,0.40339,0.27579
M1/N7/E10c/T12a_train04,6,2.194914,2.636882,0.404453,0.287637,2.605619,0.489796,0.296274,2.639097,0.40339,0.287083
M1/N7/E10c/T12a_train04,7,2.088872,2.591171,0.404453,0.30149,2.553393,0.489796,0.312247,2.592906,0.40339,0.301067
M1/N7/E10c/T12a_train04,8,1.989668,2.537978,0.404453,0.318355,2.49284,0.489796,0.331656,2.539209,0.40339,0.318065
M1/N7/E10c/T12a_train04,9,1.906413,2.477421,0.404453,0.338413,2.423824,0.489796,0.354795,2.478056,0.40339,0.338276
M1/N7/E10c/T12a_train04,10,1.808559,2.41249,0.404453,0.360686,2.349811,0.489796,0.380539,2.412431,0.40339,0.360711
M1/N7/E10c/T12a_train04,11,1.794453,2.344382,0.404453,0.384455,2.272226,0.489796,0.408042,2.343524,0.40339,0.384633
M1/N7/E10c/T12a_train04,12,1.718611,2.276377,0.404453,0.408033,2.195016,0.489796,0.435259,2.274955,0.40339,0.408222
M1/N7/E10c/T12a_train04,13,1.747723,2.213973,0.404453,0.428972,2.124713,0.489796,0.459218,2.212363,0.40339,0.428953
M1/N7/E10c/T12a_train04,14,1.704015,2.157402,0.404453,0.446942,2.061586,0.489796,0.479517,2.15595,0.40339,0.446506
M1/N7/E10c/T12a_train04,15,1.687819,2.108732,0.430427,0.461339,2.008603,0.503401,0.495202,2.108039,0.40678,0.460191
M1/N7/E10c/T12a_train04,16,1.659251,2.068453,0.493506,0.472445,1.966116,0.530612,0.506699,2.069143,0.430508,0.470313
M1/N7/E10c/T12a_train04,17,1.560899,2.036274,0.543599,0.480862,1.933742,0.557823,0.514752,2.039059,0.420339,0.477488
M1/N7/E10c/T12a_train04,18,1.579343,2.010875,0.560297,0.487388,1.910077,0.55102,0.520259,2.016449,0.447458,0.482507
M1/N7/E10c/T12a_train04,19,1.546381,1.990671,0.552876,0.492629,1.893366,0.503401,0.523863,1.999859,0.447458,0.485949
M1/N7/E10c/T12a_train04,20,1.464853,1.97492,0.543599,0.497017,1.882512,0.482993,0.526203,1.988363,0.454237,0.488302
M1/N7/E10c/T12a_train04,21,1.447334,1.962824,0.525046,0.50078,1.876831,0.496599,0.527392,1.981382,0.440678,0.489681
M1/N7/E10c/T12a_train04,22,1.447997,1.956295,0.526902,0.50365,1.878232,0.482993,0.527283,1.980597,0.433898,0.489893
M1/N7/E10c/T12a_train04,23,1.398817,1.951592,0.536178,0.506463,1.882132,0.47619,0.526889,1.982314,0.433898,0.489733
M1/N7/E10c/T12a_train04,24,1.330242,1.948022,0.538033,0.509259,1.888111,0.47619,0.526047,1.98611,0.430508,0.489139
M1/N7/E10c/T12a_train04,25,1.323409,1.944568,0.54731,0.512465,1.89503,0.482993,0.525262,1.990988,0.430508,0.488481
M1/N7/E10c/T12a_train04,26,1.299095,1.94027,0.554731,0.516082,1.901914,0.489796,0.524448,1.996094,0.430508,0.487759
M1/N7/E10c/T12a_train04,27,1.27993,1.935361,0.554731,0.520099,1.909243,0.496599,0.523537,2.001929,0.447458,0.486856
M1/N7/E10c/T12a_train04,28,1.210926,1.92669,0.560297,0.52546,1.913494,0.510204,0.523613,2.005593,0.447458,0.486544
M1/N7/E10c/T12a_train04,29,1.200058,1.917689,0.573284,0.531077,1.918369,0.52381,0.52352,2.010153,0.461017,0.485947
M1/N7/E10c/T12a_train04,30,1.173985,1.906654,0.586271,0.537248,1.922344,0.530612,0.523387,2.014076,0.457627,0.48531
M1/N7/E10c/T12a_train04,31,1.131021,1.89418,0.601113,0.543896,1.925996,0.530612,0.523272,2.01793,0.457627,0.484623
M1/N7/E10c/T12a_train04,32,1.135339,1.879313,0.602968,0.551104,1.928152,0.52381,0.523409,2.020459,0.461017,0.48419
M1/N7/E10c/T12a_train04,33,1.10375,1.858897,0.608534,0.56018,1.926259,0.52381,0.524847,2.019947,0.461017,0.484575
M1/N7/E10c/T12a_train04,34,1.08881,1.835055,0.625232,0.570156,1.922195,0.530612,0.526764,2.01775,0.457627,0.485312
M1/N7/E10c/T12a_train04,35,1.019889,1.807959,0.634508,0.581045,1.916919,0.530612,0.528916,2.014602,0.457627,0.486237
M1/N7/E10c/T12a_train04,36,1.031705,1.77369,0.651206,0.594383,1.907359,0.55102,0.532473,2.007955,0.447458,0.488255
M1/N7/E10c/T12a_train04,37,1.010538,1.738449,0.667904,0.607552,1.897937,0.530612,0.535658,2.001303,0.437288,0.490096
M1/N7/E10c/T12a_train04,38,0.952281,1.698406,0.679035,0.622044,1.886453,0.55102,0.539349,1.992371,0.440678,0.492524
M1/N7/E10c/T12a_train04,39,0.940255,1.659658,0.682746,0.635757,1.878123,0.557823,0.541831,1.986077,0.437288,0.494069
M1/N7/E10c/T12a_train04,40,0.931338,1.615859,0.697588,0.650282,1.866806,0.557823,0.54482,1.977085,0.440678,0.496143
M1/N7/E10c/T12a_train04,41,0.877609,1.570824,0.706865,0.664803,1.855404,0.564626,0.547855,1.968077,0.447458,0.498173
M1/N7/E10c/T12a_train04,42,0.888722,1.525579,0.714286,0.678763,1.845175,0.544218,0.550246,1.959685,0.457627,0.499933
M1/N7/E10c/T12a_train04,43,0.833507,1.478019,0.716141,0.69293,1.833509,0.544218,0.552993,1.950197,0.467797,0.501844
