experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E10b/T12e_train01,1,2.804224,2.799689,0.020716,0.243423,2.806714,0.013793,0.241698,2.800355,0.037801,0.243284
M1/N9/E10b/T12e_train01,2,2.799073,2.791695,0.020716,0.245351,2.799644,0.013793,0.243383,2.793016,0.037801,0.245041
M1/N9/E10b/T12e_train01,3,2.779698,2.783894,0.020716,0.247252,2.79277,0.013793,0.245037,2.785857,0.037801,0.246772
M1/N9/E10b/T12e_train01,4,2.745958,2.776552,0.020716,0.24906,2.786326,0.013793,0.246605,2.779138,0.037801,0.248414
M1/N9/E10b/T12e_train01,5,2.691826,2.769599,0.020716,0.250788,2.780197,0.013793,0.24811,2.772774,0.037801,0.249984
M1/N9/E10b/T12e_train01,6,2.616183,2.762836,0.020716,0.252484,2.77426,0.013793,0.249582,2.766588,0.037801,0.251524
M1/N9/E10b/T12e_train01,7,2.524479,2.756173,0.327684,0.254171,2.768428,0.227586,0.25104,2.760505,0.257732,0.253052
M1/N9/E10b/T12e_train01,8,2.420848,2.749474,0.327684,0.255882,2.762594,0.227586,0.252512,2.754411,0.257732,0.254597
M1/N9/E10b/T12e_train01,9,2.299237,2.742491,0.327684,0.257682,2.756555,0.227586,0.254051,2.748103,0.257732,0.256212
M1/N9/E10b/T12e_train01,10,2.211559,2.7352,0.327684,0.259578,2.750215,0.227586,0.25568,2.741529,0.257732,0.257909
M1/N9/E10b/T12e_train01,11,2.153714,2.727386,0.327684,0.261629,2.743394,0.227586,0.25745,2.734476,0.257732,0.259747
M1/N9/E10b/T12e_train01,12,2.080223,2.719356,0.327684,0.263759,2.736388,0.227586,0.259285,2.727242,0.257732,0.261652
M1/N9/E10b/T12e_train01,13,2.061624,2.711027,0.327684,0.265991,2.729089,0.227586,0.261216,2.719707,0.257732,0.263655
M1/N9/E10b/T12e_train01,14,2.02607,2.70289,0.327684,0.268194,2.722008,0.227586,0.263108,2.712363,0.257732,0.265626
M1/N9/E10b/T12e_train01,15,2.026079,2.695643,0.327684,0.270176,2.715738,0.227586,0.264799,2.705822,0.257732,0.267398
M1/N9/E10b/T12e_train01,16,2.009275,2.689297,0.327684,0.271926,2.71032,0.227586,0.266272,2.700084,0.257732,0.268962
M1/N9/E10b/T12e_train01,17,2.034238,2.684112,0.327684,0.273366,2.705943,0.227586,0.267469,2.695437,0.257732,0.270236
M1/N9/E10b/T12e_train01,18,2.024713,2.680039,0.327684,0.274502,2.702523,0.227586,0.268406,2.691778,0.257732,0.271242
M1/N9/E10b/T12e_train01,19,2.046247,2.676928,0.327684,0.275371,2.699933,0.227586,0.269116,2.688969,0.257732,0.272012
M1/N9/E10b/T12e_train01,20,2.000821,2.674644,0.327684,0.276004,2.697976,0.227586,0.269647,2.686877,0.257732,0.272579
M1/N9/E10b/T12e_train01,21,1.991524,2.673236,0.327684,0.276388,2.696712,0.227586,0.269985,2.685549,0.257732,0.272932
M1/N9/E10b/T12e_train01,22,2.031578,2.672359,0.327684,0.27662,2.695854,0.227586,0.270209,2.684657,0.257732,0.273161
M1/N9/E10b/T12e_train01,23,2.010786,2.67164,0.327684,0.276801,2.695068,0.227586,0.270409,2.683874,0.257732,0.273355
M1/N9/E10b/T12e_train01,24,1.95033,2.670831,0.327684,0.277003,2.694157,0.227586,0.27064,2.682955,0.257732,0.273584
M1/N9/E10b/T12e_train01,25,1.985684,2.669755,0.327684,0.277277,2.692983,0.227586,0.270943,2.681799,0.257732,0.273877
M1/N9/E10b/T12e_train01,26,1.943816,2.668117,0.327684,0.277707,2.691309,0.227586,0.271381,2.680156,0.257732,0.274304
M1/N9/E10b/T12e_train01,27,1.92542,2.665888,0.327684,0.278302,2.689123,0.227586,0.271961,2.677997,0.257732,0.274875
M1/N9/E10b/T12e_train01,28,1.933539,2.662787,0.327684,0.279144,2.686212,0.227586,0.272743,2.67509,0.257732,0.275657
M1/N9/E10b/T12e_train01,29,1.984686,2.659263,0.327684,0.280105,2.682929,0.227586,0.27363,2.671773,0.257732,0.276554
M1/N9/E10b/T12e_train01,30,1.944091,2.654737,0.327684,0.281356,2.678833,0.227586,0.274748,2.667609,0.257732,0.277694
M1/N9/E10b/T12e_train01,31,1.940307,2.648914,0.327684,0.282983,2.673658,0.227586,0.276175,2.662283,0.257732,0.279169
M1/N9/E10b/T12e_train01,32,1.970194,2.641991,0.327684,0.284937,2.667586,0.227586,0.277865,2.656027,0.257732,0.280918
M1/N9/E10b/T12e_train01,33,1.965169,2.63359,0.327684,0.287332,2.660297,0.227586,0.279914,2.648507,0.257732,0.283043
M1/N9/E10b/T12e_train01,34,1.976707,2.624094,0.327684,0.290068,2.652168,0.227586,0.282222,2.640043,0.257732,0.28546
M1/N9/E10b/T12e_train01,35,1.934783,2.613254,0.327684,0.293227,2.643007,0.227586,0.28485,2.630424,0.257732,0.288237
M1/N9/E10b/T12e_train01,36,1.951896,2.601359,0.327684,0.296733,2.633031,0.227586,0.287742,2.619889,0.257732,0.291314
M1/N9/E10b/T12e_train01,37,1.952506,2.588422,0.327684,0.30059,2.622232,0.227586,0.290906,2.608405,0.257732,0.294704
M1/N9/E10b/T12e_train01,38,1.949652,2.574486,0.327684,0.304794,2.610659,0.227586,0.294331,2.59608,0.257732,0.298385
M1/N9/E10b/T12e_train01,39,1.959006,2.559039,0.327684,0.309512,2.59794,0.227586,0.298137,2.582503,0.257732,0.30249
M1/N9/E10b/T12e_train01,40,1.919939,2.541974,0.327684,0.314784,2.583968,0.227586,0.30236,2.567501,0.257732,0.307076
M1/N9/E10b/T12e_train01,41,1.945791,2.523751,0.327684,0.320482,2.569056,0.227586,0.306915,2.551586,0.257732,0.311999
M1/N9/E10b/T12e_train01,42,1.938473,2.504607,0.327684,0.326537,2.553457,0.227586,0.311724,2.535022,0.257732,0.317184
M1/N9/E10b/T12e_train01,43,1.944823,2.485629,0.327684,0.332599,2.538006,0.227586,0.31652,2.518656,0.257732,0.322356
M1/N9/E10b/T12e_train01,44,1.95765,2.466195,0.327684,0.338853,2.522152,0.227586,0.321473,2.501864,0.257732,0.327701
M1/N9/E10b/T12e_train01,45,1.952893,2.446243,0.327684,0.345317,2.505881,0.227586,0.32658,2.484789,0.257732,0.333172
M1/N9/E10b/T12e_train01,46,1.996119,2.427183,0.327684,0.351518,2.49048,0.227586,0.331426,2.468678,0.257732,0.338361
M1/N9/E10b/T12e_train01,47,1.922492,2.408204,0.327684,0.357698,2.47516,0.227586,0.336258,2.452704,0.257732,0.343517
M1/N9/E10b/T12e_train01,48,1.925829,2.388769,0.327684,0.364003,2.45933,0.227586,0.341261,2.436349,0.257732,0.348783
M1/N9/E10b/T12e_train01,49,1.931606,2.369022,0.327684,0.37038,2.443297,0.227586,0.346323,2.419922,0.257732,0.35406
M1/N9/E10b/T12e_train01,50,1.943132,2.348209,0.327684,0.377036,2.426267,0.227586,0.35168,2.402706,0.257732,0.359545
M1/N9/E10b/T12e_train01,51,1.952062,2.326421,0.327684,0.383958,2.408449,0.227586,0.357275,2.38468,0.257732,0.36526
M1/N9/E10b/T12e_train01,52,1.923003,2.304445,0.327684,0.390857,2.390345,0.227586,0.362931,2.366341,0.257732,0.37102
M1/N9/E10b/T12e_train01,53,1.908951,2.280331,0.327684,0.398334,2.370694,0.227586,0.369042,2.346252,0.257732,0.377275
M1/N9/E10b/T12e_train01,54,1.903675,2.253897,0.327684,0.40638,2.349352,0.227586,0.375597,2.324344,0.257732,0.384002
M1/N9/E10b/T12e_train01,55,1.917134,2.228518,0.327684,0.413935,2.328879,0.227586,0.381856,2.303377,0.257732,0.390343
M1/N9/E10b/T12e_train01,56,1.901163,2.205282,0.327684,0.420726,2.309888,0.227586,0.387668,2.283988,0.257732,0.396136
M1/N9/E10b/T12e_train01,57,1.899763,2.182292,0.327684,0.427268,2.291307,0.227586,0.393312,2.26496,0.257732,0.401719
M1/N9/E10b/T12e_train01,58,1.934135,2.160608,0.327684,0.433344,2.273926,0.227586,0.398571,2.246785,0.257732,0.407019
M1/N9/E10b/T12e_train01,59,1.924427,2.137599,0.327684,0.439681,2.255876,0.227586,0.403959,2.227474,0.257732,0.412583
M1/N9/E10b/T12e_train01,60,1.930872,2.112375,0.327684,0.446391,2.236617,0.227586,0.409601,2.206525,0.257732,0.418497
M1/N9/E10b/T12e_train01,61,1.912495,2.08489,0.327684,0.453577,2.216006,0.227586,0.415516,2.183302,0.257732,0.424985
M1/N9/E10b/T12e_train01,62,1.933674,2.058297,0.327684,0.460304,2.196617,0.227586,0.420916,2.160808,0.257732,0.431167
M1/N9/E10b/T12e_train01,63,1.926511,2.032078,0.327684,0.466562,2.178237,0.227586,0.425957,2.139223,0.257732,0.436916
M1/N9/E10b/T12e_train01,64,1.914166,2.006677,0.372881,0.472286,2.161685,0.310345,0.430361,2.118703,0.402062,0.442206
M1/N9/E10b/T12e_train01,65,1.887088,1.980542,0.372881,0.477859,2.145855,0.310345,0.434471,2.097986,0.402062,0.447356
M1/N9/E10b/T12e_train01,66,1.908971,1.956456,0.372881,0.482632,2.13223,0.310345,0.437984,2.079494,0.402062,0.451788
