experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E11a/T12a_train01,1,2.717693,2.748188,0.022599,0.256025,2.7433,0.027586,0.257312,2.74614,0.017182,0.256574
M1/N9/E11a/T12a_train01,2,2.539708,2.733168,0.022599,0.259898,2.730073,0.027586,0.260748,2.732704,0.017182,0.260061
M1/N9/E11a/T12a_train01,3,2.448951,2.711024,0.359699,0.265722,2.710803,0.37931,0.265851,2.713099,0.371134,0.265249
M1/N9/E11a/T12a_train01,4,2.306286,2.681056,0.359699,0.273846,2.684956,0.386207,0.272897,2.686495,0.371134,0.2725
M1/N9/E11a/T12a_train01,5,2.169554,2.642076,0.359699,0.284837,2.651606,0.386207,0.282335,2.652045,0.371134,0.282256
M1/N9/E11a/T12a_train01,6,2.051583,2.593533,0.359699,0.29918,2.610029,0.386207,0.294646,2.609019,0.371134,0.295008
M1/N9/E11a/T12a_train01,7,1.965771,2.537563,0.359699,0.316557,2.562283,0.386207,0.309473,2.559528,0.371134,0.310393
M1/N9/E11a/T12a_train01,8,1.890885,2.475366,0.359699,0.336805,2.509417,0.386207,0.326649,2.504822,0.371134,0.328206
M1/N9/E11a/T12a_train01,9,1.825876,2.40894,0.359699,0.359261,2.453149,0.386207,0.345608,2.446465,0.371134,0.347915
M1/N9/E11a/T12a_train01,10,1.782137,2.341813,0.359699,0.382432,2.396478,0.386207,0.365116,2.387653,0.371134,0.368196
M1/N9/E11a/T12a_train01,11,1.772356,2.278324,0.359699,0.404308,2.342981,0.386207,0.383593,2.332124,0.371134,0.387359
M1/N9/E11a/T12a_train01,12,1.740781,2.220529,0.359699,0.423694,2.294344,0.386207,0.40007,2.281606,0.371134,0.404406
M1/N9/E11a/T12a_train01,13,1.70673,2.169686,0.359699,0.439955,2.251877,0.386207,0.414003,2.237306,0.371134,0.418752
M1/N9/E11a/T12a_train01,14,1.725042,2.128367,0.359699,0.452402,2.21785,0.386207,0.42467,2.201402,0.371134,0.429767
M1/N9/E11a/T12a_train01,15,1.642837,2.094115,0.359699,0.462141,2.190457,0.386207,0.432774,2.172145,0.371134,0.438207
M1/N9/E11a/T12a_train01,16,1.621692,2.066294,0.359699,0.469727,2.169165,0.386207,0.438752,2.148907,0.371134,0.444545
M1/N9/E11a/T12a_train01,17,1.588095,2.044205,0.359699,0.475704,2.153424,0.386207,0.44293,2.131146,0.371134,0.449165
M1/N9/E11a/T12a_train01,18,1.547994,2.029068,0.361582,0.480051,2.143916,0.386207,0.445396,2.11968,0.371134,0.452132
M1/N9/E11a/T12a_train01,19,1.504731,2.018075,0.363465,0.483582,2.138354,0.386207,0.446825,2.112112,0.371134,0.454148
M1/N9/E11a/T12a_train01,20,1.468185,2.009127,0.376648,0.486745,2.134734,0.393103,0.447754,2.106543,0.371134,0.455692
M1/N9/E11a/T12a_train01,21,1.426961,2.005259,0.389831,0.488795,2.13512,0.393103,0.447756,2.105458,0.38488,0.456181
M1/N9/E11a/T12a_train01,22,1.430531,2.004466,0.412429,0.490155,2.138022,0.372414,0.447113,2.107266,0.388316,0.455924
M1/N9/E11a/T12a_train01,23,1.404024,2.006651,0.438795,0.490751,2.143535,0.37931,0.445749,2.111887,0.391753,0.454903
M1/N9/E11a/T12a_train01,24,1.368549,2.011313,0.45951,0.490637,2.15074,0.393103,0.443979,2.11868,0.402062,0.453316
M1/N9/E11a/T12a_train01,25,1.355649,2.015296,0.47081,0.490674,2.157396,0.393103,0.442348,2.125178,0.402062,0.451788
M1/N9/E11a/T12a_train01,26,1.31801,2.017592,0.485876,0.491278,2.16389,0.406897,0.440599,2.131166,0.405498,0.450379
M1/N9/E11a/T12a_train01,27,1.289894,2.016954,0.489642,0.492834,2.168811,0.413793,0.439261,2.135381,0.419244,0.44949
M1/N9/E11a/T12a_train01,28,1.263159,2.015832,0.504708,0.494579,2.173887,0.413793,0.437833,2.139616,0.426117,0.448593
M1/N9/E11a/T12a_train01,29,1.246408,2.011683,0.514124,0.49737,2.177305,0.413793,0.436936,2.142346,0.426117,0.448156
M1/N9/E11a/T12a_train01,30,1.198253,2.003504,0.52354,0.501507,2.178252,0.406897,0.436768,2.142487,0.426117,0.448544
M1/N9/E11a/T12a_train01,31,1.201565,1.99176,0.54049,0.50705,2.178498,0.413793,0.436718,2.141296,0.436426,0.449356
M1/N9/E11a/T12a_train01,32,1.156227,1.97446,0.542373,0.514439,2.175268,0.406897,0.437727,2.136681,0.443299,0.451202
M1/N9/E11a/T12a_train01,33,1.151163,1.954843,0.553672,0.522662,2.170837,0.406897,0.439127,2.131413,0.446735,0.453237
M1/N9/E11a/T12a_train01,34,1.091523,1.931332,0.570621,0.532426,2.165003,0.393103,0.440898,2.124753,0.446735,0.455639
M1/N9/E11a/T12a_train01,35,1.075245,1.90504,0.587571,0.543126,2.157425,0.4,0.443277,2.117058,0.439863,0.458301
M1/N9/E11a/T12a_train01,36,1.0494,1.876863,0.619586,0.55446,2.148814,0.42069,0.446038,2.108867,0.457045,0.461053
M1/N9/E11a/T12a_train01,37,1.007425,1.844102,0.649718,0.567433,2.139008,0.4,0.44909,2.099079,0.474227,0.464243
M1/N9/E11a/T12a_train01,38,0.993455,1.810677,0.672316,0.580617,2.129787,0.406897,0.451876,2.089893,0.47079,0.467127
M1/N9/E11a/T12a_train01,39,0.99804,1.770899,0.679849,0.595799,2.117667,0.42069,0.455321,2.07726,0.484536,0.471005
M1/N9/E11a/T12a_train01,40,0.93445,1.731187,0.691149,0.610689,2.107353,0.434483,0.458056,2.065655,0.4811,0.474562
M1/N9/E11a/T12a_train01,41,0.914836,1.689314,0.708098,0.626111,2.098145,0.42069,0.460093,2.053731,0.487973,0.478235
M1/N9/E11a/T12a_train01,42,0.902309,1.646108,0.721281,0.641473,2.089984,0.42069,0.461696,2.042208,0.494845,0.481728
M1/N9/E11a/T12a_train01,43,0.875703,1.601043,0.734463,0.656866,2.082251,0.406897,0.46287,2.030787,0.487973,0.484995
M1/N9/E11a/T12a_train01,44,0.856521,1.556777,0.740113,0.671277,2.075558,0.393103,0.463556,2.021086,0.474227,0.487408
M1/N9/E11a/T12a_train01,45,0.858429,1.508612,0.747646,0.68608,2.067385,0.4,0.464364,2.008898,0.47079,0.49024
M1/N9/E11a/T12a_train01,46,0.786042,1.458619,0.766478,0.700538,2.059,0.4,0.465068,1.995949,0.4811,0.493201
M1/N9/E11a/T12a_train01,47,0.763712,1.405734,0.777778,0.715291,2.049658,0.4,0.46596,1.9824,0.474227,0.496135
M1/N9/E11a/T12a_train01,48,0.769561,1.347019,0.781544,0.730897,2.035993,0.4,0.468176,1.965546,0.467354,0.499934
M1/N9/E11a/T12a_train01,49,0.767804,1.283316,0.794727,0.746857,2.018356,0.4,0.471477,1.944488,0.463918,0.504739
M1/N9/E11a/T12a_train01,50,0.745998,1.219424,0.798493,0.762133,2.001412,0.413793,0.474436,1.923286,0.484536,0.509336
M1/N9/E11a/T12a_train01,51,0.711513,1.156653,0.804143,0.776394,1.984601,0.406897,0.477421,1.903738,0.4811,0.513417
M1/N9/E11a/T12a_train01,52,0.693132,1.095377,0.813559,0.789989,1.970276,0.406897,0.479555,1.886796,0.484536,0.516659
M1/N9/E11a/T12a_train01,53,0.66665,1.035759,0.819209,0.802591,1.956266,0.406897,0.481821,1.871294,0.484536,0.519668
M1/N9/E11a/T12a_train01,54,0.679302,0.976103,0.826742,0.814468,1.942529,0.406897,0.483997,1.856473,0.477663,0.522385
M1/N9/E11a/T12a_train01,55,0.610962,0.922073,0.839925,0.824848,1.931257,0.413793,0.486162,1.845609,0.477663,0.524563
M1/N9/E11a/T12a_train01,56,0.656219,0.869634,0.854991,0.834624,1.921066,0.406897,0.488341,1.836066,0.4811,0.52652
M1/N9/E11a/T12a_train01,57,0.592897,0.817424,0.862524,0.843993,1.911427,0.427586,0.490804,1.825887,0.484536,0.529069
M1/N9/E11a/T12a_train01,58,0.582758,0.767752,0.86629,0.852699,1.902575,0.406897,0.493341,1.816844,0.491409,0.531735
M1/N9/E11a/T12a_train01,59,0.59512,0.720729,0.879473,0.860883,1.896184,0.413793,0.495443,1.808645,0.494845,0.534315
M1/N9/E11a/T12a_train01,60,0.5557,0.67895,0.888889,0.86841,1.894895,0.42069,0.4971,1.802179,0.487973,0.537295
M1/N9/E11a/T12a_train01,61,0.527768,0.637999,0.896422,0.875647,1.894881,0.434483,0.498755,1.796826,0.487973,0.539856
M1/N9/E11a/T12a_train01,62,0.576067,0.599515,0.903955,0.882505,1.895278,0.434483,0.50091,1.791891,0.491409,0.542237
M1/N9/E11a/T12a_train01,63,0.519919,0.561421,0.909605,0.889165,1.898869,0.455172,0.502102,1.788405,0.491409,0.543887
M1/N9/E11a/T12a_train01,64,0.519174,0.527192,0.913371,0.895282,1.901528,0.455172,0.503847,1.789207,0.491409,0.544844
M1/N9/E11a/T12a_train01,65,0.486763,0.496206,0.913371,0.900894,1.909929,0.448276,0.50449,1.791061,0.491409,0.545716
M1/N9/E11a/T12a_train01,66,0.463179,0.467842,0.913371,0.906103,1.919971,0.448276,0.504853,1.795653,0.491409,0.546054
M1/N9/E11a/T12a_train01,67,0.452032,0.440941,0.915254,0.910943,1.933143,0.448276,0.504266,1.800131,0.484536,0.546503
M1/N9/E11a/T12a_train01,68,0.460311,0.415528,0.917137,0.915489,1.952073,0.455172,0.503176,1.806277,0.4811,0.547127
M1/N9/E11a/T12a_train01,69,0.447164,0.391376,0.919021,0.919811,1.975901,0.448276,0.501702,1.814066,0.487973,0.547617
M1/N9/E11a/T12a_train01,70,0.411719,0.370042,0.920904,0.923843,1.99327,0.434483,0.501821,1.822807,0.491409,0.548187
M1/N9/E11a/T12a_train01,71,0.411728,0.349537,0.922787,0.927728,2.011967,0.441379,0.501871,1.830916,0.491409,0.5489
M1/N9/E11a/T12a_train01,72,0.405692,0.330882,0.922787,0.9315,2.031086,0.448276,0.501574,1.840138,0.491409,0.549176
M1/N9/E11a/T12a_train01,73,0.398151,0.312779,0.926554,0.935163,2.052158,0.448276,0.501922,1.849998,0.501718,0.550062
M1/N9/E11a/T12a_train01,74,0.360106,0.2963,0.928437,0.93869,2.069172,0.441379,0.502714,1.86527,0.498282,0.550262
M1/N9/E11a/T12a_train01,75,0.355487,0.280674,0.937853,0.942028,2.085871,0.441379,0.503703,1.879514,0.498282,0.550678
M1/N9/E11a/T12a_train01,76,0.360369,0.265911,0.943503,0.945246,2.105122,0.441379,0.503641,1.896634,0.498282,0.550006
M1/N9/E11a/T12a_train01,77,0.337586,0.251867,0.952919,0.94833,2.125742,0.427586,0.503414,1.910642,0.498282,0.549392
M1/N9/E11a/T12a_train01,78,0.329465,0.239394,0.956685,0.951243,2.136575,0.42069,0.504021,1.928899,0.498282,0.548214
