experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E11a/T12b_train00,1,2.867216,2.770851,0.034351,0.250514,2.766744,0.027972,0.251538,2.774369,0.020979,0.249596
M1/N9/E11a/T12b_train00,2,2.681483,2.760115,0.061069,0.253163,2.756631,0.055944,0.254043,2.764527,0.027972,0.252024
M1/N9/E11a/T12b_train00,3,2.560075,2.745071,0.091603,0.256931,2.742142,0.076923,0.257681,2.750527,0.073427,0.255528
M1/N9/E11a/T12b_train00,4,2.443831,2.726302,0.120229,0.261742,2.724104,0.097902,0.262311,2.732985,0.090909,0.260021
M1/N9/E11a/T12b_train00,5,2.318787,2.703078,0.206107,0.26787,2.701576,0.146853,0.268257,2.711008,0.132867,0.265813
M1/N9/E11a/T12b_train00,6,2.228505,2.674865,0.284351,0.275561,2.674273,0.314685,0.275693,2.684328,0.286713,0.273077
M1/N9/E11a/T12b_train00,7,2.148962,2.642026,0.274809,0.284841,2.642671,0.314685,0.284596,2.653389,0.27972,0.28181
M1/N9/E11a/T12b_train00,8,2.044695,2.603369,0.475191,0.296219,2.605273,0.433566,0.295548,2.617166,0.377622,0.292464
M1/N9/E11a/T12b_train00,9,1.984116,2.559699,0.433206,0.309636,2.562982,0.377622,0.308448,2.576373,0.388112,0.304992
M1/N9/E11a/T12b_train00,10,1.875484,2.512313,0.416031,0.324805,2.517376,0.363636,0.322919,2.532552,0.388112,0.31903
M1/N9/E11a/T12b_train00,11,1.832452,2.463063,0.402672,0.341146,2.470413,0.356643,0.338326,2.487438,0.377622,0.334023
M1/N9/E11a/T12b_train00,12,1.747262,2.413615,0.398855,0.357994,2.423679,0.34965,0.354025,2.442746,0.377622,0.349295
M1/N9/E11a/T12b_train00,13,1.753051,2.365566,0.396947,0.374627,2.378808,0.34965,0.36932,2.399936,0.377622,0.364167
M1/N9/E11a/T12b_train00,14,1.70812,2.320613,0.395038,0.390239,2.337498,0.34965,0.383416,2.360726,0.377622,0.377841
M1/N9/E11a/T12b_train00,15,1.682406,2.281541,0.396947,0.40373,2.302351,0.34965,0.395326,2.327622,0.377622,0.389309
M1/N9/E11a/T12b_train00,16,1.652263,2.246613,0.398855,0.415686,2.271936,0.34965,0.405506,2.299073,0.377622,0.399076
M1/N9/E11a/T12b_train00,17,1.641504,2.217046,0.410305,0.425733,2.247468,0.34965,0.413581,2.276301,0.381119,0.406768
M1/N9/E11a/T12b_train00,18,1.54038,2.192626,0.416031,0.434057,2.228663,0.34965,0.419755,2.25896,0.391608,0.412568
M1/N9/E11a/T12b_train00,19,1.529185,2.17229,0.433206,0.441143,2.214748,0.342657,0.42436,2.246096,0.384615,0.416872
M1/N9/E11a/T12b_train00,20,1.514847,2.155367,0.454198,0.447264,2.20503,0.342657,0.427674,2.237056,0.384615,0.419961
M1/N9/E11a/T12b_train00,21,1.440496,2.143025,0.477099,0.45205,2.200537,0.34965,0.429322,2.232924,0.381119,0.421458
M1/N9/E11a/T12b_train00,22,1.41231,2.131704,0.492366,0.456679,2.197701,0.363636,0.430481,2.230146,0.391608,0.422546
M1/N9/E11a/T12b_train00,23,1.434449,2.124582,0.51145,0.460038,2.199159,0.363636,0.430283,2.231494,0.388112,0.422278
M1/N9/E11a/T12b_train00,24,1.365564,2.118034,0.515267,0.463343,2.202219,0.370629,0.429554,2.234212,0.398601,0.421586
M1/N9/E11a/T12b_train00,25,1.335246,2.111705,0.532443,0.466628,2.205849,0.377622,0.428639,2.237286,0.405594,0.42075
M1/N9/E11a/T12b_train00,26,1.338389,2.106161,0.543893,0.469729,2.210631,0.384615,0.42738,2.241546,0.41958,0.419505
M1/N9/E11a/T12b_train00,27,1.258768,2.099979,0.561069,0.473056,2.215405,0.391608,0.426083,2.245918,0.423077,0.418186
M1/N9/E11a/T12b_train00,28,1.231021,2.092211,0.576336,0.477021,2.219413,0.405594,0.425043,2.249696,0.426573,0.417054
M1/N9/E11a/T12b_train00,29,1.208238,2.082858,0.599237,0.481526,2.222529,0.41958,0.42427,2.252952,0.437063,0.416041
M1/N9/E11a/T12b_train00,30,1.165335,2.071925,0.622137,0.486661,2.225305,0.398601,0.423628,2.255785,0.437063,0.415167
M1/N9/E11a/T12b_train00,31,1.135237,2.056954,0.646947,0.493315,2.22553,0.405594,0.423882,2.256064,0.437063,0.415193
M1/N9/E11a/T12b_train00,32,1.124571,2.039881,0.660305,0.50083,2.224735,0.426573,0.424561,2.255452,0.437063,0.415545
M1/N9/E11a/T12b_train00,33,1.078448,2.017813,0.671756,0.51024,2.221351,0.440559,0.426154,2.252132,0.465035,0.416832
M1/N9/E11a/T12b_train00,34,1.04424,1.99216,0.687023,0.520992,2.216822,0.447552,0.42812,2.246969,0.475524,0.41877
M1/N9/E11a/T12b_train00,35,1.009885,1.962,0.70229,0.533452,2.210358,0.454545,0.430761,2.239559,0.479021,0.421497
M1/N9/E11a/T12b_train00,36,1.022256,1.931011,0.709924,0.54626,2.204564,0.461538,0.433192,2.232466,0.482517,0.424117
M1/N9/E11a/T12b_train00,37,0.985163,1.894303,0.715649,0.561072,2.196013,0.482517,0.436546,2.222388,0.486014,0.427746
M1/N9/E11a/T12b_train00,38,0.93369,1.854015,0.744275,0.576932,2.186387,0.468531,0.440245,2.210849,0.486014,0.431852
M1/N9/E11a/T12b_train00,39,0.933062,1.810112,0.748092,0.593711,2.175861,0.482517,0.444181,2.198519,0.479021,0.436088
M1/N9/E11a/T12b_train00,40,0.917663,1.76542,0.759542,0.6103,2.165853,0.48951,0.447873,2.186657,0.482517,0.439989
M1/N9/E11a/T12b_train00,41,0.853023,1.719512,0.769084,0.62675,2.155765,0.503497,0.451533,2.174448,0.482517,0.443876
M1/N9/E11a/T12b_train00,42,0.857062,1.669302,0.772901,0.644009,2.143876,0.51049,0.45565,2.160519,0.48951,0.448121
M1/N9/E11a/T12b_train00,43,0.822716,1.615044,0.780534,0.662141,2.131058,0.517483,0.45986,2.145697,0.493007,0.452446
M1/N9/E11a/T12b_train00,44,0.822078,1.554183,0.793893,0.681732,2.116637,0.503497,0.464266,2.128409,0.486014,0.457292
M1/N9/E11a/T12b_train00,45,0.754029,1.49273,0.799618,0.7006,2.103063,0.496503,0.468207,2.111743,0.5,0.461664
M1/N9/E11a/T12b_train00,46,0.756644,1.428646,0.807252,0.719031,2.086768,0.496503,0.472962,2.092785,0.493007,0.466496
M1/N9/E11a/T12b_train00,47,0.738722,1.364348,0.811069,0.736467,2.071818,0.482517,0.476999,2.074858,0.48951,0.470741
M1/N9/E11a/T12b_train00,48,0.743024,1.299413,0.816794,0.753329,2.057934,0.461538,0.480495,2.057794,0.479021,0.474569
M1/N9/E11a/T12b_train00,49,0.687746,1.231017,0.833969,0.770116,2.041807,0.48951,0.484601,2.039237,0.468531,0.478799
M1/N9/E11a/T12b_train00,50,0.694271,1.165408,0.841603,0.785125,2.028183,0.482517,0.487751,2.02211,0.465035,0.482642
M1/N9/E11a/T12b_train00,51,0.656436,1.103863,0.839695,0.798354,2.016514,0.475524,0.490319,2.007627,0.458042,0.485812
M1/N9/E11a/T12b_train00,52,0.642812,1.037766,0.839695,0.811692,2.002097,0.468531,0.493554,1.990252,0.458042,0.489811
M1/N9/E11a/T12b_train00,53,0.62015,0.975382,0.841603,0.823451,1.988995,0.468531,0.496552,1.975284,0.461538,0.493276
M1/N9/E11a/T12b_train00,54,0.597786,0.915971,0.84542,0.834032,1.978032,0.461538,0.499058,1.961241,0.461538,0.49659
M1/N9/E11a/T12b_train00,55,0.588798,0.856757,0.847328,0.843851,1.967498,0.454545,0.501683,1.946574,0.454545,0.500215
M1/N9/E11a/T12b_train00,56,0.604488,0.799295,0.849237,0.852816,1.95732,0.447552,0.504451,1.93298,0.454545,0.503775
M1/N9/E11a/T12b_train00,57,0.56732,0.746738,0.854962,0.860721,1.948642,0.447552,0.50711,1.921689,0.454545,0.506858
M1/N9/E11a/T12b_train00,58,0.550818,0.699661,0.862595,0.867726,1.94241,0.447552,0.509229,1.912169,0.458042,0.509786
M1/N9/E11a/T12b_train00,59,0.546942,0.656357,0.864504,0.874064,1.93876,0.440559,0.510944,1.905373,0.451049,0.512074
M1/N9/E11a/T12b_train00,60,0.52496,0.617625,0.870229,0.879663,1.936987,0.440559,0.512055,1.901129,0.451049,0.514026
M1/N9/E11a/T12b_train00,61,0.533537,0.582905,0.875954,0.884663,1.938486,0.440559,0.512273,1.899752,0.447552,0.515229
M1/N9/E11a/T12b_train00,62,0.521439,0.552809,0.875954,0.888968,1.941398,0.433566,0.512449,1.900532,0.447552,0.515815
M1/N9/E11a/T12b_train00,63,0.521895,0.525595,0.881679,0.892699,1.945888,0.440559,0.51303,1.905118,0.447552,0.515408
M1/N9/E11a/T12b_train00,64,0.506676,0.501172,0.891221,0.895983,1.952777,0.447552,0.51339,1.912834,0.444056,0.514375
M1/N9/E11a/T12b_train00,65,0.486778,0.478401,0.896947,0.899022,1.962039,0.447552,0.513513,1.921317,0.444056,0.513655
M1/N9/E11a/T12b_train00,66,0.467881,0.457497,0.906489,0.901893,1.969015,0.447552,0.514351,1.928508,0.440559,0.513141
M1/N9/E11a/T12b_train00,67,0.477421,0.436325,0.906489,0.904837,1.980032,0.447552,0.514913,1.93951,0.440559,0.512567
M1/N9/E11a/T12b_train00,68,0.458298,0.416334,0.908397,0.907771,1.993623,0.447552,0.515201,1.953355,0.440559,0.512106
M1/N9/E11a/T12b_train00,69,0.441435,0.39787,0.916031,0.910661,2.00814,0.454545,0.516135,1.966644,0.440559,0.511968
M1/N9/E11a/T12b_train00,70,0.436388,0.380276,0.919847,0.913639,2.023241,0.454545,0.517833,1.979831,0.451049,0.512388
M1/N9/E11a/T12b_train00,71,0.420474,0.364655,0.923664,0.916695,2.036961,0.454545,0.519148,1.991488,0.458042,0.512371
M1/N9/E11a/T12b_train00,72,0.407204,0.348951,0.929389,0.920036,2.05471,0.454545,0.51929,2.004391,0.454545,0.513305
M1/N9/E11a/T12b_train00,73,0.39261,0.335048,0.931298,0.923469,2.07293,0.447552,0.519038,2.019076,0.461538,0.513876
M1/N9/E11a/T12b_train00,74,0.388451,0.321814,0.933206,0.926782,2.090449,0.447552,0.51992,2.033099,0.465035,0.514889
M1/N9/E11a/T12b_train00,75,0.375151,0.308926,0.935115,0.930128,2.103446,0.440559,0.521408,2.047564,0.468531,0.515838
M1/N9/E11a/T12b_train00,76,0.382285,0.296185,0.94084,0.933498,2.115359,0.447552,0.523382,2.062763,0.472028,0.517212
M1/N9/E11a/T12b_train00,77,0.365445,0.283646,0.944656,0.936893,2.127565,0.461538,0.525374,2.079251,0.465035,0.518148
M1/N9/E11a/T12b_train00,78,0.342161,0.271535,0.944656,0.940166,2.14006,0.461538,0.527373,2.09535,0.461538,0.519191
M1/N9/E11a/T12b_train00,79,0.351856,0.25974,0.946565,0.943233,2.156,0.461538,0.527784,2.110269,0.461538,0.520613
M1/N9/E11a/T12b_train00,80,0.33828,0.248097,0.944656,0.946164,2.175403,0.468531,0.528307,2.129427,0.461538,0.521585
M1/N9/E11a/T12b_train00,81,0.307377,0.237216,0.946565,0.948891,2.192776,0.475524,0.528499,2.146882,0.461538,0.522252
M1/N9/E11a/T12b_train00,82,0.315762,0.226708,0.946565,0.951503,2.211486,0.468531,0.528537,2.164713,0.458042,0.522776
M1/N9/E11a/T12b_train00,83,0.304529,0.216979,0.948473,0.953972,2.217917,0.468531,0.528979,2.171731,0.461538,0.524073
M1/N9/E11a/T12b_train00,84,0.288346,0.207839,0.948473,0.956259,2.216913,0.468531,0.529353,2.16914,0.454545,0.525707
M1/N9/E11a/T12b_train00,85,0.29048,0.198845,0.95229,0.958444,2.220039,0.475524,0.530256,2.170201,0.458042,0.527385
M1/N9/E11a/T12b_train00,86,0.282638,0.190436,0.958015,0.960498,2.223949,0.461538,0.530663,2.170851,0.458042,0.52865
M1/N9/E11a/T12b_train00,87,0.285927,0.18241,0.96374,0.962384,2.22237,0.468531,0.531638,2.166876,0.458042,0.529668
M1/N9/E11a/T12b_train00,88,0.260167,0.174952,0.965649,0.964163,2.224177,0.475524,0.532173,2.165509,0.472028,0.530378
M1/N9/E11a/T12b_train00,89,0.242511,0.167611,0.965649,0.965869,2.228251,0.482517,0.532559,2.170027,0.468531,0.529734
M1/N9/E11a/T12b_train00,90,0.250656,0.160056,0.965649,0.967492,2.23296,0.482517,0.533144,2.172713,0.468531,0.529997
M1/N9/E11a/T12b_train00,91,0.258276,0.152507,0.971374,0.96896,2.23739,0.482517,0.53471,2.182,0.472028,0.530199
M1/N9/E11a/T12b_train00,92,0.223348,0.145551,0.971374,0.970238,2.240958,0.482517,0.536991,2.19181,0.486014,0.530539
M1/N9/E11a/T12b_train00,93,0.212869,0.138706,0.971374,0.971452,2.253921,0.482517,0.538603,2.208059,0.48951,0.5303
M1/N9/E11a/T12b_train00,94,0.189671,0.132191,0.975191,0.97275,2.261652,0.482517,0.540074,2.221926,0.48951,0.52949
M1/N9/E11a/T12b_train00,95,0.178704,0.125979,0.975191,0.97399,2.269113,0.51049,0.541088,2.235461,0.482517,0.5285
M1/N9/E11a/T12b_train00,96,0.213351,0.119833,0.975191,0.975476,2.275613,0.524476,0.542261,2.248825,0.486014,0.526938
M1/N9/E11a/T12b_train00,97,0.189893,0.114208,0.975191,0.976754,2.279875,0.517483,0.543098,2.257838,0.482517,0.52633
M1/N9/E11a/T12b_train00,98,0.198153,0.109031,0.977099,0.97793,2.285721,0.51049,0.543103,2.269674,0.475524,0.524767
M1/N9/E11a/T12b_train00,99,0.185772,0.104331,0.977099,0.978957,2.290321,0.51049,0.542521,2.276661,0.465035,0.522968
M1/N9/E11a/T12b_train00,100,0.186638,0.100008,0.977099,0.979916,2.293191,0.51049,0.542106,2.283934,0.465035,0.520819
