experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train01,1,3.86219,3.858424,0.01845,0.144635,3.865929,0.033557,0.143543,3.865103,0.006734,0.143641
M1/N7/E10b/T12e_train01,2,3.857925,3.854918,0.01845,0.145139,3.862171,0.033557,0.144079,3.860905,0.006734,0.144243
M1/N7/E10b/T12e_train01,3,3.8483,3.851417,0.01845,0.145646,3.858365,0.033557,0.144625,3.856745,0.006734,0.144842
M1/N7/E10b/T12e_train01,4,3.834722,3.848005,0.01845,0.146142,3.854654,0.033557,0.145159,3.8527,0.006734,0.145427
M1/N7/E10b/T12e_train01,5,3.816374,3.844688,0.01845,0.146625,3.851059,0.033557,0.145678,3.848788,0.006734,0.145995
M1/N7/E10b/T12e_train01,6,3.790989,3.841417,0.027675,0.147103,3.847543,0.013423,0.146187,3.844939,0.016835,0.146556
M1/N7/E10b/T12e_train01,7,3.763162,3.838158,0.027675,0.147581,3.844024,0.006711,0.146698,3.841101,0.020202,0.147116
M1/N7/E10b/T12e_train01,8,3.707423,3.834882,0.027675,0.148063,3.840462,0.006711,0.147217,3.837248,0.020202,0.147681
M1/N7/E10b/T12e_train01,9,3.655897,3.83154,0.027675,0.148556,3.836829,0.006711,0.147748,3.833329,0.020202,0.148257
M1/N7/E10b/T12e_train01,10,3.61865,3.828073,0.035055,0.149069,3.833098,0.033557,0.148295,3.829294,0.020202,0.148853
M1/N7/E10b/T12e_train01,11,3.5986,3.82439,0.035055,0.149617,3.829145,0.033557,0.148877,3.825032,0.020202,0.149485
M1/N7/E10b/T12e_train01,12,3.528009,3.820169,0.0369,0.150247,3.824633,0.026846,0.149545,3.820161,0.016835,0.15021
M1/N7/E10b/T12e_train01,13,3.515751,3.815439,0.059041,0.150957,3.819616,0.040268,0.150292,3.814715,0.043771,0.151027
M1/N7/E10b/T12e_train01,14,3.481639,3.810378,0.059041,0.151721,3.814292,0.040268,0.151089,3.808919,0.043771,0.1519
M1/N7/E10b/T12e_train01,15,3.440057,3.805096,0.059041,0.152523,3.808796,0.040268,0.151916,3.802921,0.043771,0.15281
M1/N7/E10b/T12e_train01,16,3.400147,3.799487,0.059041,0.153379,3.803025,0.040268,0.152789,3.79664,0.043771,0.153769
M1/N7/E10b/T12e_train01,17,3.457478,3.794017,0.059041,0.154218,3.797509,0.040268,0.153626,3.790676,0.043771,0.154684
M1/N7/E10b/T12e_train01,18,3.443228,3.788758,0.059041,0.155026,3.792344,0.040268,0.154412,3.785058,0.043771,0.155549
M1/N7/E10b/T12e_train01,19,3.45821,3.783996,0.059041,0.155759,3.787739,0.040268,0.155112,3.780105,0.043771,0.156312
M1/N7/E10b/T12e_train01,20,3.413871,3.779836,0.059041,0.156397,3.783749,0.040268,0.155716,3.77589,0.043771,0.15696
M1/N7/E10b/T12e_train01,21,3.414553,3.776219,0.059041,0.156949,3.780301,0.040268,0.156234,3.772337,0.043771,0.157503
M1/N7/E10b/T12e_train01,22,3.404897,3.77296,0.059041,0.157442,3.77719,0.040268,0.156697,3.769207,0.043771,0.157977
M1/N7/E10b/T12e_train01,23,3.4133,3.770488,0.059041,0.15781,3.77485,0.040268,0.157039,3.766958,0.043771,0.158311
M1/N7/E10b/T12e_train01,24,3.39986,3.768709,0.059041,0.158066,3.77316,0.040268,0.157277,3.765441,0.043771,0.158528
M1/N7/E10b/T12e_train01,25,3.377724,3.767238,0.059041,0.158274,3.77169,0.040268,0.157481,3.764221,0.043771,0.158698
M1/N7/E10b/T12e_train01,26,3.409916,3.765757,0.059041,0.158483,3.770132,0.040268,0.157698,3.762933,0.043771,0.158879
M1/N7/E10b/T12e_train01,27,3.396229,3.764306,0.059041,0.158688,3.768507,0.040268,0.157927,3.761605,0.043771,0.159067
M1/N7/E10b/T12e_train01,28,3.368961,3.762735,0.145756,0.158914,3.766698,0.14094,0.158187,3.760039,0.158249,0.159294
M1/N7/E10b/T12e_train01,29,3.378976,3.761052,0.145756,0.159158,3.76471,0.14094,0.158475,3.758278,0.158249,0.159554
M1/N7/E10b/T12e_train01,30,3.387621,3.759083,0.145756,0.159449,3.762371,0.14094,0.15882,3.756145,0.158249,0.159874
M1/N7/E10b/T12e_train01,31,3.365993,3.756655,0.162362,0.159812,3.759495,0.161074,0.159249,3.753443,0.198653,0.160285
M1/N7/E10b/T12e_train01,32,3.367331,3.753717,0.162362,0.160258,3.756039,0.161074,0.159772,3.750132,0.198653,0.160797
M1/N7/E10b/T12e_train01,33,3.371122,3.750129,0.162362,0.160807,3.751938,0.161074,0.160397,3.746079,0.198653,0.161427
M1/N7/E10b/T12e_train01,34,3.409133,3.746229,0.162362,0.16141,3.7475,0.161074,0.16108,3.741625,0.198653,0.162126
M1/N7/E10b/T12e_train01,35,3.367182,3.741718,0.162362,0.162113,3.742419,0.161074,0.161869,3.736426,0.198653,0.162951
M1/N7/E10b/T12e_train01,36,3.371109,3.736686,0.162362,0.162902,3.736816,0.161074,0.162744,3.730604,0.198653,0.163881
M1/N7/E10b/T12e_train01,37,3.364793,3.730568,0.162362,0.163866,3.729999,0.161074,0.163814,3.723505,0.198653,0.165021
M1/N7/E10b/T12e_train01,38,3.364712,3.723597,0.162362,0.164969,3.722335,0.161074,0.165021,3.715377,0.198653,0.166333
M1/N7/E10b/T12e_train01,39,3.355548,3.715701,0.162362,0.166228,3.713612,0.161074,0.166406,3.706134,0.198653,0.167839
M1/N7/E10b/T12e_train01,40,3.384387,3.707138,0.162362,0.167601,3.704184,0.161074,0.167914,3.696126,0.198653,0.169483
M1/N7/E10b/T12e_train01,41,3.373158,3.698126,0.162362,0.169054,3.694277,0.161074,0.169507,3.685652,0.198653,0.171217
M1/N7/E10b/T12e_train01,42,3.359279,3.688769,0.162362,0.17057,3.684067,0.161074,0.171157,3.674852,0.198653,0.173018
M1/N7/E10b/T12e_train01,43,3.333246,3.678847,0.162362,0.172185,3.67323,0.161074,0.172918,3.663404,0.198653,0.17494
