experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12a_train01,1,3.936605,3.852313,0.009225,0.145538,3.843541,0.0,0.146752,3.844684,0.016835,0.14663
M1/N7/E11a/T12a_train01,2,3.863933,3.8463,0.001845,0.146435,3.83692,0.0,0.147743,3.83773,0.010101,0.147666
M1/N7/E11a/T12a_train01,3,3.774848,3.838955,0.160517,0.147543,3.828934,0.161074,0.148948,3.829356,0.198653,0.148929
M1/N7/E11a/T12a_train01,4,3.706846,3.829839,0.162362,0.148938,3.819429,0.161074,0.150402,3.819089,0.198653,0.150501
M1/N7/E11a/T12a_train01,5,3.618226,3.818957,0.162362,0.150633,3.808297,0.161074,0.152133,3.806914,0.198653,0.152397
M1/N7/E11a/T12a_train01,6,3.564297,3.806238,0.162362,0.15265,3.795536,0.161074,0.154154,3.79279,0.198653,0.15464
M1/N7/E11a/T12a_train01,7,3.496966,3.791609,0.162362,0.155025,3.780996,0.161074,0.156505,3.776631,0.198653,0.157269
M1/N7/E11a/T12a_train01,8,3.40586,3.774784,0.162362,0.157822,3.764513,0.161074,0.159232,3.758114,0.198653,0.160353
M1/N7/E11a/T12a_train01,9,3.32445,3.755458,0.162362,0.161122,3.745655,0.161074,0.162428,3.736889,0.198653,0.163983
M1/N7/E11a/T12a_train01,10,3.286213,3.733351,0.162362,0.165011,3.724131,0.161074,0.166168,3.712646,0.198653,0.168254
M1/N7/E11a/T12a_train01,11,3.178473,3.708691,0.162362,0.169484,3.700063,0.161074,0.170459,3.685567,0.198653,0.173168
M1/N7/E11a/T12a_train01,12,3.110687,3.681541,0.162362,0.174567,3.673671,0.161074,0.175293,3.656039,0.198653,0.178694
M1/N7/E11a/T12a_train01,13,3.051874,3.653254,0.162362,0.180029,3.64607,0.161074,0.180475,3.625333,0.198653,0.184601
M1/N7/E11a/T12a_train01,14,2.986985,3.62345,0.162362,0.185975,3.617,0.161074,0.186074,3.59321,0.198653,0.190965
M1/N7/E11a/T12a_train01,15,2.945887,3.59304,0.162362,0.192233,3.587553,0.161074,0.191881,3.560845,0.198653,0.19755
M1/N7/E11a/T12a_train01,16,2.876649,3.562495,0.162362,0.198646,3.557991,0.161074,0.197775,3.52887,0.198653,0.204152
M1/N7/E11a/T12a_train01,17,2.793827,3.532236,0.167897,0.205111,3.529077,0.167785,0.203594,3.497878,0.198653,0.210609
M1/N7/E11a/T12a_train01,18,2.823016,3.501882,0.169742,0.211701,3.500579,0.167785,0.209355,3.46764,0.198653,0.216936
M1/N7/E11a/T12a_train01,19,2.72184,3.472866,0.169742,0.218021,3.473886,0.167785,0.214683,3.439881,0.198653,0.222668
M1/N7/E11a/T12a_train01,20,2.65648,3.444024,0.197417,0.224391,3.447959,0.187919,0.219887,3.413183,0.212121,0.228185
M1/N7/E11a/T12a_train01,21,2.639283,3.414658,0.215867,0.231,3.422376,0.201342,0.225085,3.386998,0.228956,0.233632
M1/N7/E11a/T12a_train01,22,2.603402,3.385823,0.239852,0.237631,3.398178,0.194631,0.23007,3.362416,0.249158,0.238779
M1/N7/E11a/T12a_train01,23,2.507579,3.356975,0.289668,0.244351,3.374868,0.255034,0.234931,3.338969,0.276094,0.243717
M1/N7/E11a/T12a_train01,24,2.482456,3.328345,0.322878,0.251148,3.35265,0.308725,0.239649,3.316907,0.346801,0.248402
M1/N7/E11a/T12a_train01,25,2.41444,3.299383,0.352399,0.258193,3.331007,0.328859,0.244381,3.295508,0.367003,0.253087
M1/N7/E11a/T12a_train01,26,2.336205,3.268594,0.372694,0.265995,3.309003,0.342282,0.249421,3.273053,0.400673,0.258292
M1/N7/E11a/T12a_train01,27,2.377341,3.235294,0.389299,0.27472,3.286312,0.355705,0.2548,3.249517,0.424242,0.263991
M1/N7/E11a/T12a_train01,28,2.293972,3.201458,0.418819,0.283908,3.264493,0.38255,0.26022,3.226377,0.441077,0.269907
M1/N7/E11a/T12a_train01,29,2.238868,3.164152,0.444649,0.294429,3.240156,0.375839,0.266586,3.20026,0.451178,0.276972
M1/N7/E11a/T12a_train01,30,2.189101,3.125307,0.479705,0.305617,3.215526,0.389262,0.273234,3.173887,0.457912,0.284348
M1/N7/E11a/T12a_train01,31,2.115946,3.084667,0.498155,0.317562,3.190609,0.402685,0.280151,3.146811,0.474747,0.29213
M1/N7/E11a/T12a_train01,32,2.084925,3.040249,0.512915,0.33091,3.163073,0.442953,0.288037,3.116776,0.488215,0.301029
M1/N7/E11a/T12a_train01,33,2.064573,2.993828,0.52952,0.345051,3.134257,0.436242,0.296449,3.085562,0.505051,0.310465
M1/N7/E11a/T12a_train01,34,1.994385,2.944828,0.54428,0.360076,3.103711,0.449664,0.305479,3.052225,0.521886,0.320633
M1/N7/E11a/T12a_train01,35,1.977687,2.893184,0.560886,0.375906,3.071466,0.469799,0.315046,3.017098,0.52862,0.331371
M1/N7/E11a/T12a_train01,36,1.95277,2.838746,0.586716,0.392719,3.037944,0.47651,0.325103,2.980517,0.538721,0.342629
M1/N7/E11a/T12a_train01,37,1.906025,2.781341,0.597786,0.410337,3.002957,0.47651,0.335527,2.942333,0.552189,0.354293
M1/N7/E11a/T12a_train01,38,1.793383,2.719935,0.616236,0.429013,2.964576,0.483221,0.346898,2.90092,0.558923,0.366826
M1/N7/E11a/T12a_train01,39,1.81649,2.656143,0.636531,0.448229,2.925002,0.496644,0.358586,2.858574,0.565657,0.379562
M1/N7/E11a/T12a_train01,40,1.742756,2.588284,0.666052,0.468345,2.882555,0.510067,0.370958,2.81316,0.565657,0.39311
M1/N7/E11a/T12a_train01,41,1.741947,2.519427,0.677122,0.488497,2.839719,0.536913,0.383344,2.768435,0.558923,0.406243
M1/N7/E11a/T12a_train01,42,1.696211,2.447227,0.688192,0.509177,2.794375,0.536913,0.396172,2.72145,0.555556,0.419775
M1/N7/E11a/T12a_train01,43,1.655024,2.374754,0.701107,0.529607,2.74893,0.543624,0.40885,2.675307,0.558923,0.432831
M1/N7/E11a/T12a_train01,44,1.596802,2.3008,0.714022,0.549996,2.703458,0.543624,0.421265,2.629132,0.569024,0.445643
M1/N7/E11a/T12a_train01,45,1.550643,2.223856,0.719557,0.570803,2.65657,0.550336,0.433933,2.581879,0.56229,0.458543
M1/N7/E11a/T12a_train01,46,1.511158,2.144885,0.738007,0.591606,2.608094,0.550336,0.446948,2.533857,0.579125,0.4715
M1/N7/E11a/T12a_train01,47,1.486762,2.06315,0.745387,0.612488,2.557377,0.563758,0.46034,2.483199,0.582492,0.484931
M1/N7/E11a/T12a_train01,48,1.466958,1.980046,0.754613,0.633051,2.50608,0.577181,0.47362,2.432801,0.582492,0.497926
M1/N7/E11a/T12a_train01,49,1.414594,1.895259,0.761993,0.653247,2.453445,0.590604,0.48686,2.38159,0.589226,0.51091
M1/N7/E11a/T12a_train01,50,1.381363,1.811934,0.773063,0.672336,2.401453,0.590604,0.499631,2.33199,0.592593,0.523155
M1/N7/E11a/T12a_train01,51,1.342848,1.728664,0.780443,0.690515,2.349795,0.597315,0.511908,2.282999,0.59596,0.535036
M1/N7/E11a/T12a_train01,52,1.319604,1.644853,0.791513,0.707937,2.29829,0.604027,0.523524,2.234521,0.609428,0.546272
M1/N7/E11a/T12a_train01,53,1.276399,1.563983,0.791513,0.724225,2.249688,0.610738,0.534141,2.189964,0.609428,0.556284
M1/N7/E11a/T12a_train01,54,1.238304,1.485047,0.800738,0.739563,2.202935,0.604027,0.543985,2.146389,0.612795,0.565714
M1/N7/E11a/T12a_train01,55,1.212338,1.409241,0.808118,0.753836,2.159805,0.61745,0.552712,2.106129,0.609428,0.574176
M1/N7/E11a/T12a_train01,56,1.196304,1.335474,0.821033,0.767232,2.116964,0.624161,0.561176,2.066177,0.602694,0.582407
