experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E11b/T12a_train02,1,3.913477,3.835979,0.03719,0.147889,3.836864,0.015152,0.147732,3.833211,0.034091,0.148305
M1/N8/E11b/T12a_train02,2,3.821449,3.828898,0.03719,0.148944,3.829523,0.015152,0.148824,3.827001,0.034091,0.149227
M1/N8/E11b/T12a_train02,3,3.742218,3.817531,0.03719,0.150668,3.818618,0.015152,0.150473,3.817059,0.034091,0.150734
M1/N8/E11b/T12a_train02,4,3.70586,3.803204,0.202479,0.152887,3.804643,0.181818,0.15263,3.804694,0.174242,0.152648
M1/N8/E11b/T12a_train02,5,3.625641,3.78703,0.202479,0.155444,3.789341,0.181818,0.155036,3.791313,0.174242,0.154761
M1/N8/E11b/T12a_train02,6,3.551838,3.764537,0.202479,0.1591,3.768148,0.181818,0.158458,3.771955,0.174242,0.157894
M1/N8/E11b/T12a_train02,7,3.486604,3.73721,0.202479,0.163718,3.742434,0.181818,0.162765,3.748721,0.174242,0.161802
M1/N8/E11b/T12a_train02,8,3.413417,3.702989,0.202479,0.169793,3.710962,0.181818,0.168295,3.720042,0.174242,0.166879
M1/N8/E11b/T12a_train02,9,3.349297,3.662356,0.202479,0.177428,3.67277,0.181818,0.175358,3.686449,0.174242,0.173172
M1/N8/E11b/T12a_train02,10,3.257154,3.614418,0.202479,0.186956,3.628749,0.181818,0.183969,3.646534,0.174242,0.181048
M1/N8/E11b/T12a_train02,11,3.173482,3.559997,0.202479,0.198361,3.579027,0.181818,0.194192,3.602139,0.174242,0.190286
M1/N8/E11b/T12a_train02,12,3.123329,3.501792,0.202479,0.211208,3.525911,0.181818,0.20562,3.555449,0.174242,0.200543
M1/N8/E11b/T12a_train02,13,3.078241,3.451202,0.202479,0.222626,3.480224,0.181818,0.215623,3.515464,0.174242,0.209487
M1/N8/E11b/T12a_train02,14,3.004676,3.395714,0.202479,0.235041,3.431107,0.181818,0.226253,3.47214,0.174242,0.219017
M1/N8/E11b/T12a_train02,15,2.981488,3.337861,0.202479,0.247551,3.379648,0.181818,0.236924,3.428196,0.174242,0.228332
M1/N8/E11b/T12a_train02,16,2.955383,3.287124,0.202479,0.257319,3.335092,0.181818,0.245075,3.390484,0.174242,0.235321
M1/N8/E11b/T12a_train02,17,2.914058,3.241817,0.202479,0.265017,3.296602,0.181818,0.251174,3.358151,0.174242,0.240494
M1/N8/E11b/T12a_train02,18,2.846508,3.20452,0.202479,0.27042,3.266372,0.181818,0.255179,3.333736,0.174242,0.243731
M1/N8/E11b/T12a_train02,19,2.810395,3.176111,0.202479,0.273712,3.245125,0.181818,0.257427,3.315998,0.174242,0.245487
M1/N8/E11b/T12a_train02,20,2.775699,3.153252,0.202479,0.276319,3.229629,0.181818,0.258998,3.302372,0.174242,0.246805
M1/N8/E11b/T12a_train02,21,2.68873,3.134738,0.202479,0.278509,3.217225,0.181818,0.260454,3.291584,0.174242,0.247911
M1/N8/E11b/T12a_train02,22,2.71611,3.119262,0.202479,0.280511,3.206423,0.181818,0.262027,3.282961,0.174242,0.249034
M1/N8/E11b/T12a_train02,23,2.658036,3.105328,0.202479,0.28248,3.198461,0.181818,0.263348,3.273723,0.174242,0.250313
M1/N8/E11b/T12a_train02,24,2.654846,3.091594,0.202479,0.284628,3.191996,0.181818,0.2647,3.266005,0.174242,0.251528
M1/N8/E11b/T12a_train02,25,2.63252,3.078358,0.202479,0.287246,3.186083,0.181818,0.266312,3.256181,0.174242,0.253337
M1/N8/E11b/T12a_train02,26,2.557272,3.065296,0.202479,0.289828,3.181578,0.181818,0.26775,3.248436,0.174242,0.254934
M1/N8/E11b/T12a_train02,27,2.509403,3.052049,0.202479,0.292137,3.177544,0.181818,0.268682,3.240826,0.174242,0.256264
M1/N8/E11b/T12a_train02,28,2.50796,3.036478,0.202479,0.295424,3.171474,0.181818,0.270532,3.230957,0.174242,0.258288
M1/N8/E11b/T12a_train02,29,2.500179,3.020376,0.202479,0.298615,3.166455,0.181818,0.271832,3.221547,0.174242,0.26012
M1/N8/E11b/T12a_train02,30,2.392064,3.004195,0.202479,0.302121,3.161468,0.181818,0.273068,3.209999,0.174242,0.26222
M1/N8/E11b/T12a_train02,31,2.414059,2.988503,0.202479,0.304767,3.160098,0.181818,0.273123,3.201954,0.174242,0.263421
M1/N8/E11b/T12a_train02,32,2.36332,2.974434,0.202479,0.306121,3.160062,0.181818,0.272061,3.195041,0.174242,0.263599
M1/N8/E11b/T12a_train02,33,2.381107,2.960504,0.202479,0.308035,3.160208,0.181818,0.271489,3.188077,0.174242,0.264225
M1/N8/E11b/T12a_train02,34,2.292043,2.946722,0.202479,0.308476,3.162118,0.181818,0.269838,3.184792,0.174242,0.263473
M1/N8/E11b/T12a_train02,35,2.278276,2.932342,0.202479,0.309084,3.165496,0.181818,0.268083,3.180412,0.174242,0.262892
M1/N8/E11b/T12a_train02,36,2.247453,2.915778,0.204545,0.311135,3.167555,0.181818,0.267122,3.174482,0.174242,0.26319
M1/N8/E11b/T12a_train02,37,2.225087,2.893853,0.208678,0.315026,3.164715,0.181818,0.267363,3.163986,0.174242,0.26462
M1/N8/E11b/T12a_train02,38,2.204794,2.871496,0.21281,0.318107,3.164329,0.181818,0.267055,3.155962,0.17803,0.265288
M1/N8/E11b/T12a_train02,39,2.110889,2.846915,0.21281,0.321122,3.16359,0.181818,0.266418,3.147115,0.17803,0.26582
M1/N8/E11b/T12a_train02,40,2.165756,2.824302,0.21281,0.324758,3.164576,0.181818,0.266101,3.139059,0.17803,0.266769
M1/N8/E11b/T12a_train02,41,2.062731,2.793114,0.214876,0.330036,3.162028,0.181818,0.266426,3.12768,0.17803,0.268368
M1/N8/E11b/T12a_train02,42,2.010875,2.759973,0.216942,0.336073,3.15758,0.181818,0.267292,3.114499,0.17803,0.27055
M1/N8/E11b/T12a_train02,43,1.997005,2.721063,0.221074,0.344153,3.151262,0.181818,0.268738,3.098672,0.17803,0.273732
M1/N8/E11b/T12a_train02,44,1.952157,2.678631,0.241736,0.354342,3.140009,0.181818,0.271352,3.078813,0.181818,0.278334
M1/N8/E11b/T12a_train02,45,1.966846,2.626534,0.262397,0.368651,3.123253,0.181818,0.275826,3.051576,0.185606,0.285516
M1/N8/E11b/T12a_train02,46,1.938914,2.57534,0.266529,0.381627,3.11007,0.189394,0.279233,3.029915,0.193182,0.291293
M1/N8/E11b/T12a_train02,47,1.89299,2.524142,0.283058,0.394213,3.101444,0.189394,0.28163,3.009325,0.19697,0.296582
M1/N8/E11b/T12a_train02,48,1.833919,2.473776,0.301653,0.406898,3.093609,0.189394,0.284104,2.991389,0.208333,0.301823
M1/N8/E11b/T12a_train02,49,1.757287,2.417399,0.316116,0.421264,3.083734,0.189394,0.287124,2.971293,0.215909,0.307716
M1/N8/E11b/T12a_train02,50,1.782117,2.361004,0.338843,0.434888,3.07511,0.189394,0.289837,2.95345,0.223485,0.312934
M1/N8/E11b/T12a_train02,51,1.702023,2.303351,0.355372,0.449623,3.06655,0.19697,0.292617,2.935397,0.234848,0.318782
M1/N8/E11b/T12a_train02,52,1.708893,2.239778,0.382231,0.467165,3.050882,0.204545,0.297191,2.911334,0.25,0.326261
M1/N8/E11b/T12a_train02,53,1.669016,2.169791,0.407025,0.486877,3.033072,0.219697,0.302986,2.884727,0.257576,0.334629
M1/N8/E11b/T12a_train02,54,1.680293,2.100493,0.429752,0.506643,3.014694,0.234848,0.308347,2.859843,0.272727,0.342569
M1/N8/E11b/T12a_train02,55,1.62094,2.029889,0.464876,0.528307,2.995583,0.257576,0.314613,2.832595,0.291667,0.351229
M1/N8/E11b/T12a_train02,56,1.594101,1.959015,0.5,0.549473,2.973432,0.257576,0.320941,2.808033,0.310606,0.358815
M1/N8/E11b/T12a_train02,57,1.517378,1.887686,0.533058,0.570504,2.951566,0.265152,0.327258,2.783089,0.310606,0.366212
M1/N8/E11b/T12a_train02,58,1.554591,1.813218,0.553719,0.593634,2.927514,0.257576,0.334052,2.754545,0.32197,0.374528
M1/N8/E11b/T12a_train02,59,1.472206,1.738906,0.582645,0.616677,2.90186,0.265152,0.340806,2.725758,0.333333,0.382232
M1/N8/E11b/T12a_train02,60,1.436817,1.668812,0.609504,0.63706,2.879044,0.272727,0.346904,2.70138,0.337121,0.388403
M1/N8/E11b/T12a_train02,61,1.399533,1.602727,0.63843,0.655297,2.858649,0.272727,0.352198,2.681887,0.337121,0.393119
M1/N8/E11b/T12a_train02,62,1.477142,1.537693,0.650826,0.674309,2.836511,0.257576,0.35837,2.661283,0.340909,0.398035
M1/N8/E11b/T12a_train02,63,1.369542,1.474473,0.68595,0.691927,2.819363,0.272727,0.363764,2.643931,0.352273,0.40192
M1/N8/E11b/T12a_train02,64,1.386714,1.417049,0.700413,0.70744,2.810454,0.272727,0.367017,2.63214,0.348485,0.404578
M1/N8/E11b/T12a_train02,65,1.368959,1.361463,0.714876,0.721518,2.804538,0.280303,0.368266,2.624058,0.363636,0.4063
M1/N8/E11b/T12a_train02,66,1.296261,1.310476,0.735537,0.737146,2.798591,0.30303,0.37033,2.612684,0.356061,0.408212
M1/N8/E11b/T12a_train02,67,1.332677,1.263271,0.745868,0.748752,2.800446,0.287879,0.36951,2.60888,0.356061,0.408511
M1/N8/E11b/T12a_train02,68,1.267713,1.221431,0.752066,0.757607,2.80093,0.272727,0.368951,2.607829,0.359848,0.40817
M1/N8/E11b/T12a_train02,69,1.261259,1.178656,0.760331,0.765565,2.795233,0.280303,0.370372,2.60612,0.359848,0.408741
M1/N8/E11b/T12a_train02,70,1.193021,1.132098,0.762397,0.773751,2.785983,0.280303,0.372836,2.603418,0.371212,0.409693
M1/N8/E11b/T12a_train02,71,1.216117,1.086899,0.766529,0.780378,2.774898,0.287879,0.376294,2.604551,0.367424,0.410431
M1/N8/E11b/T12a_train02,72,1.16244,1.050308,0.770661,0.784308,2.785419,0.295455,0.374442,2.618404,0.375,0.409026
M1/N8/E11b/T12a_train02,73,1.1105,1.020438,0.768595,0.785654,2.810459,0.280303,0.369945,2.642163,0.367424,0.406492
M1/N8/E11b/T12a_train02,74,1.112489,0.986668,0.772727,0.790465,2.831702,0.280303,0.367109,2.655996,0.367424,0.406385
M1/N8/E11b/T12a_train02,75,1.10769,0.95477,0.791322,0.796754,2.849358,0.280303,0.364583,2.665341,0.367424,0.406089
M1/N8/E11b/T12a_train02,76,1.090679,0.919309,0.793388,0.804154,2.867662,0.272727,0.363199,2.674763,0.375,0.406429
M1/N8/E11b/T12a_train02,77,1.034556,0.88181,0.799587,0.812903,2.872129,0.280303,0.36255,2.675611,0.371212,0.406433
M1/N8/E11b/T12a_train02,78,1.045854,0.852114,0.805785,0.819795,2.887374,0.280303,0.360284,2.67998,0.375,0.406246
M1/N8/E11b/T12a_train02,79,1.044017,0.821674,0.818182,0.827315,2.893053,0.287879,0.360128,2.677236,0.378788,0.406302
M1/N8/E11b/T12a_train02,80,1.01406,0.791049,0.822314,0.834518,2.892391,0.280303,0.361932,2.674444,0.371212,0.407091
M1/N8/E11b/T12a_train02,81,1.016196,0.76608,0.826446,0.840532,2.883199,0.295455,0.365963,2.673716,0.371212,0.40744
M1/N8/E11b/T12a_train02,82,0.953154,0.740384,0.836777,0.847015,2.879027,0.280303,0.369436,2.672424,0.367424,0.408369
M1/N8/E11b/T12a_train02,83,0.969848,0.720962,0.842975,0.851085,2.890596,0.280303,0.367745,2.684727,0.371212,0.40838
M1/N8/E11b/T12a_train02,84,0.981536,0.701115,0.842975,0.855597,2.901807,0.272727,0.366506,2.694437,0.367424,0.408177
M1/N8/E11b/T12a_train02,85,0.934212,0.683186,0.845041,0.859243,2.914917,0.280303,0.366378,2.700938,0.363636,0.408858
M1/N8/E11b/T12a_train02,86,0.935665,0.664956,0.85124,0.863258,2.922157,0.295455,0.369318,2.695524,0.367424,0.410187
M1/N8/E11b/T12a_train02,87,0.892484,0.649079,0.857438,0.866376,2.938276,0.295455,0.370991,2.696438,0.363636,0.411072
M1/N8/E11b/T12a_train02,88,0.866006,0.632495,0.857438,0.869211,2.943321,0.310606,0.373897,2.699448,0.375,0.412826
M1/N8/E11b/T12a_train02,89,0.842643,0.61443,0.857438,0.87232,2.952395,0.310606,0.376484,2.705193,0.375,0.414046
M1/N8/E11b/T12a_train02,90,0.859188,0.597162,0.86157,0.874931,2.961167,0.30303,0.379832,2.714903,0.378788,0.415267
M1/N8/E11b/T12a_train02,91,0.874197,0.581112,0.863636,0.878288,2.967564,0.333333,0.384996,2.721463,0.371212,0.415624
M1/N8/E11b/T12a_train02,92,0.796694,0.564026,0.869835,0.8823,2.980711,0.348485,0.388782,2.726603,0.378788,0.416063
M1/N8/E11b/T12a_train02,93,0.781645,0.548903,0.871901,0.885845,2.98566,0.348485,0.39038,2.732166,0.378788,0.415802
M1/N8/E11b/T12a_train02,94,0.780211,0.533862,0.871901,0.889336,2.992859,0.348485,0.389781,2.735954,0.375,0.41493
M1/N8/E11b/T12a_train02,95,0.778997,0.521161,0.882231,0.892105,2.999308,0.356061,0.388787,2.741014,0.378788,0.414263
M1/N8/E11b/T12a_train02,96,0.745188,0.50846,0.882231,0.895055,3.012431,0.333333,0.385616,2.747298,0.356061,0.412738
M1/N8/E11b/T12a_train02,97,0.754787,0.498554,0.88843,0.897561,3.021054,0.318182,0.379412,2.756151,0.348485,0.409494
M1/N8/E11b/T12a_train02,98,0.700717,0.489507,0.890496,0.899801,3.037414,0.325758,0.372812,2.770262,0.352273,0.406056
M1/N8/E11b/T12a_train02,99,0.757796,0.480219,0.88843,0.90162,3.052985,0.310606,0.366859,2.781168,0.352273,0.40449
M1/N8/E11b/T12a_train02,100,0.781981,0.468501,0.892562,0.904241,3.066389,0.30303,0.362831,2.783988,0.352273,0.40347
