experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E10b/T12b_train01,1,3.893024,3.830375,0.174397,0.148846,3.830629,0.136054,0.148797,3.826029,0.187075,0.14949
M1/N9/E10b/T12b_train01,2,3.807425,3.824462,0.174397,0.149759,3.82496,0.136054,0.14967,3.819649,0.187075,0.150477
M1/N9/E10b/T12b_train01,3,3.718257,3.817132,0.174397,0.150899,3.818397,0.136054,0.150688,3.812067,0.187075,0.151661
M1/N9/E10b/T12b_train01,4,3.658277,3.807641,0.174397,0.152396,3.810315,0.136054,0.15196,3.802467,0.187075,0.153184
M1/N9/E10b/T12b_train01,5,3.564075,3.795964,0.174397,0.154277,3.800762,0.136054,0.153499,3.79052,0.187075,0.15512
M1/N9/E10b/T12b_train01,6,3.486006,3.781821,0.174397,0.156608,3.789332,0.136054,0.155376,3.776209,0.187075,0.157491
M1/N9/E10b/T12b_train01,7,3.429682,3.764481,0.174397,0.159546,3.775504,0.136054,0.157704,3.758725,0.187075,0.160467
M1/N9/E10b/T12b_train01,8,3.30132,3.743569,0.174397,0.163199,3.758724,0.136054,0.160604,3.737563,0.187075,0.164179
M1/N9/E10b/T12b_train01,9,3.254856,3.719176,0.174397,0.167616,3.739357,0.136054,0.164056,3.713114,0.187075,0.168628
M1/N9/E10b/T12b_train01,10,3.178566,3.691746,0.174397,0.172762,3.717861,0.136054,0.16801,3.685755,0.187075,0.173784
M1/N9/E10b/T12b_train01,11,3.104377,3.661193,0.174397,0.17871,3.694209,0.136054,0.172503,3.655406,0.187075,0.179716
M1/N9/E10b/T12b_train01,12,3.04694,3.62867,0.174397,0.18527,3.669414,0.136054,0.17736,3.623367,0.187075,0.1862
M1/N9/E10b/T12b_train01,13,2.989272,3.594532,0.174397,0.192358,3.643798,0.136054,0.182506,3.590165,0.187075,0.193116
M1/N9/E10b/T12b_train01,14,2.913965,3.559555,0.174397,0.199781,3.617805,0.136054,0.18781,3.556535,0.187075,0.200253
M1/N9/E10b/T12b_train01,15,2.858823,3.524936,0.174397,0.20722,3.592543,0.136054,0.193012,3.523888,0.187075,0.207242
M1/N9/E10b/T12b_train01,16,2.822052,3.491603,0.174397,0.214405,3.568277,0.136054,0.197977,3.492976,0.187075,0.213818
M1/N9/E10b/T12b_train01,17,2.764164,3.459695,0.174397,0.221228,3.545506,0.136054,0.202569,3.464029,0.187075,0.219862
M1/N9/E10b/T12b_train01,18,2.69741,3.429112,0.174397,0.22774,3.524215,0.136054,0.206803,3.436936,0.187075,0.225418
M1/N9/E10b/T12b_train01,19,2.659858,3.399671,0.174397,0.233949,3.504022,0.136054,0.210758,3.411635,0.187075,0.230482
M1/N9/E10b/T12b_train01,20,2.590383,3.371979,0.191095,0.239737,3.485262,0.136054,0.21436,3.388797,0.187075,0.234909
M1/N9/E10b/T12b_train01,21,2.528692,3.344611,0.25603,0.245528,3.466727,0.183673,0.217987,3.367056,0.217687,0.239108
M1/N9/E10b/T12b_train01,22,2.481825,3.31771,0.294991,0.251365,3.44873,0.238095,0.221602,3.346329,0.258503,0.243177
M1/N9/E10b/T12b_train01,23,2.447645,3.29184,0.315399,0.257126,3.431661,0.258503,0.225137,3.327322,0.29932,0.246945
M1/N9/E10b/T12b_train01,24,2.389185,3.265651,0.339518,0.26336,3.414317,0.251701,0.22901,3.308601,0.316327,0.250987
M1/N9/E10b/T12b_train01,25,2.320435,3.238158,0.35436,0.270283,3.39611,0.265306,0.233324,3.289245,0.319728,0.255492
M1/N9/E10b/T12b_train01,26,2.294486,3.210018,0.359926,0.277776,3.377845,0.272109,0.23794,3.270168,0.309524,0.260263
M1/N9/E10b/T12b_train01,27,2.296879,3.178946,0.361781,0.286557,3.357472,0.265306,0.243415,3.249121,0.309524,0.265984
M1/N9/E10b/T12b_train01,28,2.216205,3.146185,0.361781,0.296183,3.335624,0.265306,0.249559,3.227341,0.312925,0.272237
M1/N9/E10b/T12b_train01,29,2.169572,3.111055,0.365492,0.306852,3.312576,0.285714,0.256271,3.204376,0.316327,0.279104
M1/N9/E10b/T12b_train01,30,2.118928,3.072308,0.371058,0.318925,3.287682,0.306122,0.263733,3.179299,0.316327,0.286836
M1/N9/E10b/T12b_train01,31,2.090487,3.031814,0.393321,0.331726,3.262182,0.319728,0.271525,3.154036,0.323129,0.294823
M1/N9/E10b/T12b_train01,32,2.054905,2.988131,0.410019,0.345697,3.234431,0.319728,0.280065,3.126812,0.323129,0.303568
M1/N9/E10b/T12b_train01,33,1.936829,2.94023,0.430427,0.361001,3.204576,0.333333,0.289284,3.097389,0.343537,0.312979
