experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12b_train01,1,2.972096,2.909632,0.010909,0.231141,2.902671,0.006667,0.232757,2.910517,0.003333,0.230929
M1/N7/E10b/T12b_train01,2,2.881891,2.90188,0.016364,0.232943,2.896326,0.006667,0.234238,2.902824,0.006667,0.232719
M1/N7/E10b/T12b_train01,3,2.771834,2.892263,0.016364,0.235201,2.888077,0.006667,0.236178,2.893034,0.01,0.235019
M1/N7/E10b/T12b_train01,4,2.689236,2.879515,0.172727,0.238223,2.877136,0.16,0.238777,2.879972,0.176667,0.23812
M1/N7/E10b/T12b_train01,5,2.586151,2.86265,0.174545,0.24227,2.86296,0.173333,0.242179,2.86304,0.183333,0.242187
M1/N7/E10b/T12b_train01,6,2.498334,2.840932,0.174545,0.247577,2.845018,0.173333,0.246557,2.841348,0.183333,0.24749
M1/N7/E10b/T12b_train01,7,2.415928,2.815294,0.178182,0.253979,2.823728,0.173333,0.251854,2.815611,0.186667,0.253917
M1/N7/E10b/T12b_train01,8,2.319872,2.786325,0.18,0.26139,2.799696,0.18,0.257958,2.78662,0.193333,0.261324
M1/N7/E10b/T12b_train01,9,2.235981,2.754644,0.187273,0.269691,2.773534,0.18,0.264742,2.755049,0.203333,0.269574
M1/N7/E10b/T12b_train01,10,2.137342,2.72057,0.223636,0.278839,2.745507,0.193333,0.272158,2.721237,0.233333,0.278606
M1/N7/E10b/T12b_train01,11,2.047952,2.684529,0.256364,0.288746,2.715944,0.233333,0.280139,2.685681,0.276667,0.288305
M1/N7/E10b/T12b_train01,12,1.983871,2.647829,0.289091,0.299051,2.686086,0.266667,0.288348,2.649766,0.29,0.298278
M1/N7/E10b/T12b_train01,13,1.946883,2.611587,0.32,0.309476,2.656823,0.293333,0.296556,2.614796,0.333333,0.308176
M1/N7/E10b/T12b_train01,14,1.866423,2.576315,0.356364,0.319888,2.628417,0.313333,0.304726,2.581218,0.36,0.317876
M1/N7/E10b/T12b_train01,15,1.789224,2.54249,0.385455,0.330189,2.601262,0.326667,0.312787,2.549681,0.376667,0.327212
M1/N7/E10b/T12b_train01,16,1.778905,2.510423,0.407273,0.340291,2.575353,0.333333,0.320764,2.520575,0.393333,0.336088
M1/N7/E10b/T12b_train01,17,1.70567,2.479067,0.418182,0.350537,2.550379,0.333333,0.328735,2.49291,0.4,0.344817
M1/N7/E10b/T12b_train01,18,1.690843,2.449315,0.425455,0.360628,2.526591,0.346667,0.336629,2.467703,0.406667,0.353059
M1/N7/E10b/T12b_train01,19,1.600685,2.421345,0.436364,0.370387,2.504483,0.346667,0.344184,2.445031,0.406667,0.360681
M1/N7/E10b/T12b_train01,20,1.59603,2.394089,0.449091,0.380124,2.483088,0.346667,0.351688,2.423671,0.413333,0.368049
M1/N7/E10b/T12b_train01,21,1.505045,2.368309,0.472727,0.38955,2.463079,0.353333,0.358883,2.404394,0.43,0.374895
M1/N7/E10b/T12b_train01,22,1.500775,2.343906,0.492727,0.398603,2.444385,0.366667,0.365701,2.387094,0.44,0.381155
M1/N7/E10b/T12b_train01,23,1.467947,2.320952,0.516364,0.407166,2.427143,0.393333,0.372041,2.371976,0.46,0.386707
M1/N7/E10b/T12b_train01,24,1.424253,2.297176,0.527273,0.416036,2.409734,0.413333,0.378463,2.356665,0.496667,0.392367
M1/N7/E10b/T12b_train01,25,1.344297,2.273046,0.558182,0.425018,2.392831,0.44,0.384695,2.34181,0.523333,0.397889
M1/N7/E10b/T12b_train01,26,1.342224,2.248495,0.587273,0.434107,2.376244,0.44,0.390792,2.327182,0.53,0.403325
M1/N7/E10b/T12b_train01,27,1.340094,2.222144,0.607273,0.443811,2.359049,0.46,0.397047,2.311575,0.53,0.409095
M1/N7/E10b/T12b_train01,28,1.278037,2.195758,0.625455,0.45359,2.342113,0.473333,0.403214,2.296486,0.53,0.414739
