experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train01,1,2.887792,2.884227,0.056364,0.237136,2.883202,0.106667,0.237424,2.88336,0.07,0.237359
M1/N7/E10b/T12e_train01,2,2.880684,2.879173,0.056364,0.238319,2.878958,0.106667,0.23841,2.878169,0.07,0.238576
M1/N7/E10b/T12e_train01,3,2.871259,2.874157,0.056364,0.239497,2.874756,0.106667,0.23939,2.87301,0.07,0.23979
M1/N7/E10b/T12e_train01,4,2.840944,2.869349,0.078182,0.240634,2.870758,0.093333,0.240329,2.868063,0.093333,0.240961
M1/N7/E10b/T12e_train01,5,2.806756,2.864825,0.078182,0.241707,2.866974,0.093333,0.241221,2.863411,0.093333,0.242066
M1/N7/E10b/T12e_train01,6,2.773828,2.860445,0.078182,0.24275,2.863296,0.093333,0.242089,2.858906,0.093333,0.24314
M1/N7/E10b/T12e_train01,7,2.723879,2.856158,0.078182,0.243773,2.85967,0.093333,0.242949,2.854494,0.093333,0.244194
M1/N7/E10b/T12e_train01,8,2.677211,2.851978,0.192727,0.244775,2.856124,0.133333,0.243792,2.850182,0.19,0.245229
M1/N7/E10b/T12e_train01,9,2.643502,2.847746,0.192727,0.245794,2.85251,0.133333,0.244656,2.845823,0.19,0.24628
M1/N7/E10b/T12e_train01,10,2.5826,2.843426,0.192727,0.246838,2.848829,0.133333,0.245538,2.841385,0.186667,0.247354
M1/N7/E10b/T12e_train01,11,2.563469,2.839153,0.192727,0.247874,2.845189,0.133333,0.246412,2.837008,0.186667,0.248416
M1/N7/E10b/T12e_train01,12,2.522953,2.835101,0.192727,0.248858,2.841705,0.133333,0.24725,2.832852,0.186667,0.249427
M1/N7/E10b/T12e_train01,13,2.489651,2.831236,0.192727,0.249799,2.838367,0.133333,0.248053,2.828904,0.186667,0.250388
M1/N7/E10b/T12e_train01,14,2.480355,2.827545,0.192727,0.250699,2.835161,0.133333,0.248825,2.825131,0.186667,0.251309
M1/N7/E10b/T12e_train01,15,2.48554,2.824014,0.192727,0.25156,2.83211,0.133333,0.249559,2.821547,0.186667,0.252183
M1/N7/E10b/T12e_train01,16,2.505635,2.821074,0.192727,0.252274,2.829506,0.133333,0.250182,2.818569,0.186667,0.252908
M1/N7/E10b/T12e_train01,17,2.478237,2.818678,0.192727,0.25285,2.827313,0.133333,0.250704,2.816129,0.186667,0.253496
M1/N7/E10b/T12e_train01,18,2.472306,2.816868,0.192727,0.253281,2.825617,0.133333,0.251103,2.814292,0.186667,0.253934
M1/N7/E10b/T12e_train01,19,2.491791,2.815402,0.192727,0.253622,2.82417,0.133333,0.251439,2.812803,0.186667,0.254283
