experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11b/T12a_train02,1,2.87262,2.85199,0.229091,0.244887,2.85382,0.153333,0.244408,2.849558,0.233333,0.245465
M1/N7/E11b/T12a_train02,2,2.749435,2.843452,0.229091,0.246995,2.846397,0.153333,0.246238,2.841419,0.233333,0.24748
M1/N7/E11b/T12a_train02,3,2.600919,2.830353,0.229091,0.25027,2.834657,0.153333,0.249158,2.828853,0.233333,0.250629
M1/N7/E11b/T12a_train02,4,2.49647,2.810706,0.230909,0.255266,2.816958,0.153333,0.25365,2.809002,0.233333,0.255678
M1/N7/E11b/T12a_train02,5,2.390174,2.786247,0.232727,0.261598,2.796016,0.153333,0.259074,2.78492,0.24,0.261921
M1/N7/E11b/T12a_train02,6,2.282082,2.754366,0.236364,0.27011,2.768678,0.173333,0.266365,2.753723,0.243333,0.270272
M1/N7/E11b/T12a_train02,7,2.156814,2.716086,0.276364,0.280675,2.736237,0.233333,0.275333,2.716584,0.276667,0.280558
M1/N7/E11b/T12a_train02,8,2.069654,2.674461,0.343636,0.292518,2.70121,0.286667,0.285355,2.676429,0.33,0.292048
M1/N7/E11b/T12a_train02,9,2.000987,2.630657,0.378182,0.305357,2.664568,0.326667,0.296215,2.634133,0.363333,0.304504
M1/N7/E11b/T12a_train02,10,1.910724,2.58457,0.389091,0.319194,2.62676,0.333333,0.307761,2.589953,0.37,0.317817
M1/N7/E11b/T12a_train02,11,1.851522,2.54489,0.392727,0.331381,2.593797,0.353333,0.318328,2.552839,0.396667,0.329311
M1/N7/E11b/T12a_train02,12,1.772285,2.503978,0.438182,0.344105,2.559988,0.38,0.329529,2.514902,0.443333,0.341185
M1/N7/E11b/T12a_train02,13,1.709398,2.467519,0.492727,0.355767,2.530019,0.446667,0.340008,2.481646,0.49,0.351887
M1/N7/E11b/T12a_train02,14,1.647517,2.435488,0.536364,0.36657,2.504481,0.506667,0.349493,2.453703,0.526667,0.361379
M1/N7/E11b/T12a_train02,15,1.616313,2.401942,0.549091,0.378377,2.478093,0.52,0.359722,2.424822,0.546667,0.371605
M1/N7/E11b/T12a_train02,16,1.579872,2.374598,0.549091,0.388517,2.455569,0.526667,0.36902,2.401432,0.543333,0.380328
M1/N7/E11b/T12a_train02,17,1.535221,2.349252,0.54,0.398186,2.434737,0.533333,0.377877,2.381194,0.526667,0.388203
M1/N7/E11b/T12a_train02,18,1.484894,2.325753,0.54,0.407607,2.416061,0.533333,0.385975,2.363023,0.523333,0.395627
M1/N7/E11b/T12a_train02,19,1.41892,2.299817,0.541818,0.418142,2.39555,0.533333,0.394784,2.342225,0.526667,0.404193
M1/N7/E11b/T12a_train02,20,1.400105,2.276428,0.541818,0.427524,2.37767,0.526667,0.402442,2.324632,0.526667,0.411381
