experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train01,1,2.39091,2.385731,0.170923,0.305064,2.378385,0.214286,0.307284,2.382848,0.200717,0.305962
M1/N7/E10b/T12e_train01,2,2.388674,2.380641,0.170923,0.30662,2.373096,0.214286,0.3089,2.377932,0.200717,0.307467
M1/N7/E10b/T12e_train01,3,2.375704,2.375866,0.170923,0.308094,2.368163,0.214286,0.31042,2.373339,0.200717,0.308884
M1/N7/E10b/T12e_train01,4,2.357523,2.371469,0.170923,0.309463,2.363626,0.214286,0.311829,2.369115,0.200717,0.310199
M1/N7/E10b/T12e_train01,5,2.319406,2.367258,0.170923,0.310785,2.359273,0.214286,0.313192,2.365069,0.200717,0.311468
M1/N7/E10b/T12e_train01,6,2.279044,2.3632,0.170923,0.312068,2.355071,0.214286,0.314517,2.361162,0.200717,0.312702
M1/N7/E10b/T12e_train01,7,2.224638,2.359347,0.170923,0.313294,2.351067,0.214286,0.315789,2.357455,0.200717,0.313882
M1/N7/E10b/T12e_train01,8,2.164614,2.355626,0.170923,0.314486,2.347241,0.214286,0.317012,2.35388,0.200717,0.315026
M1/N7/E10b/T12e_train01,9,2.11603,2.351902,0.170923,0.315686,2.343505,0.214286,0.318215,2.350322,0.200717,0.316172
M1/N7/E10b/T12e_train01,10,2.085762,2.348217,0.170923,0.316879,2.339854,0.214286,0.319397,2.346811,0.200717,0.31731
M1/N7/E10b/T12e_train01,11,2.039101,2.344628,0.170923,0.318045,2.336358,0.214286,0.320537,2.343412,0.200717,0.318416
M1/N7/E10b/T12e_train01,12,2.03023,2.341463,0.170923,0.319073,2.333365,0.214286,0.321516,2.34044,0.200717,0.319387
M1/N7/E10b/T12e_train01,13,2.022661,2.338778,0.324165,0.319942,2.330958,0.292857,0.322307,2.337954,0.336918,0.320199
M1/N7/E10b/T12e_train01,14,2.034707,2.336793,0.324165,0.320578,2.329319,0.292857,0.322845,2.336178,0.336918,0.320776
