experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E11a/T12a_train00,1,2.451167,2.426208,0.023211,0.292907,2.420588,0.049296,0.294642,2.428515,0.031802,0.292248
M1/N7/E11a/T12a_train00,2,2.286178,2.416223,0.023211,0.295842,2.411896,0.049296,0.297198,2.417178,0.031802,0.295572
M1/N7/E11a/T12a_train00,3,2.18117,2.402893,0.023211,0.299827,2.400649,0.049296,0.300564,2.402146,0.031802,0.300058
M1/N7/E11a/T12a_train00,4,2.060646,2.386548,0.023211,0.304805,2.38706,0.049296,0.30471,2.383645,0.031802,0.305683
M1/N7/E11a/T12a_train00,5,1.974268,2.367017,0.077369,0.310889,2.370647,0.119718,0.30984,2.361456,0.084806,0.312583
M1/N7/E11a/T12a_train00,6,1.874946,2.3437,0.382979,0.31835,2.351078,0.380282,0.316139,2.334872,0.44523,0.321088
M1/N7/E11a/T12a_train00,7,1.761743,2.316796,0.357834,0.327224,2.328395,0.34507,0.323689,2.304013,0.427562,0.331282
M1/N7/E11a/T12a_train00,8,1.712034,2.286324,0.357834,0.33759,2.302861,0.34507,0.332492,2.269085,0.427562,0.343219
M1/N7/E11a/T12a_train00,9,1.655698,2.254228,0.357834,0.348802,2.276454,0.34507,0.34189,2.232775,0.427562,0.356011
M1/N7/E11a/T12a_train00,10,1.599304,2.221111,0.357834,0.360628,2.2495,0.34507,0.351748,2.195668,0.427562,0.369419
M1/N7/E11a/T12a_train00,11,1.565631,2.187703,0.369439,0.372759,2.222695,0.352113,0.361768,2.158907,0.434629,0.382969
M1/N7/E11a/T12a_train00,12,1.485802,2.155416,0.386847,0.384552,2.197255,0.352113,0.371369,2.124579,0.44523,0.395729
M1/N7/E11a/T12a_train00,13,1.45425,2.124661,0.394584,0.395815,2.173463,0.359155,0.380388,2.093179,0.452297,0.407443
M1/N7/E11a/T12a_train00,14,1.407792,2.095168,0.415861,0.406649,2.150875,0.387324,0.388959,2.064383,0.459364,0.41819
M1/N7/E11a/T12a_train00,15,1.33206,2.067969,0.415861,0.416689,2.130082,0.394366,0.39683,2.039318,0.466431,0.427536
M1/N7/E11a/T12a_train00,16,1.294058,2.042535,0.427466,0.426136,2.110715,0.408451,0.404153,2.017374,0.473498,0.43571
M1/N7/E11a/T12a_train00,17,1.233315,2.017955,0.446809,0.435384,2.091866,0.429577,0.411317,1.997277,0.477032,0.443254
M1/N7/E11a/T12a_train00,18,1.157617,1.994834,0.499033,0.444195,2.074181,0.450704,0.418045,1.979748,0.530035,0.449869
M1/N7/E11a/T12a_train00,19,1.156523,1.971416,0.533849,0.453247,2.056193,0.478873,0.424916,1.962628,0.55477,0.456409
M1/N7/E11a/T12a_train00,20,1.107452,1.950269,0.55706,0.461545,2.039943,0.485915,0.431099,1.948739,0.575972,0.461773
