experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N8/E10a/T12b_train01,1,2.468698,2.424719,0.058952,0.293663,2.424263,0.064,0.293789,2.420094,0.06,0.295018
M1/N8/E10a/T12b_train01,2,2.376919,2.417196,0.061135,0.295825,2.416758,0.072,0.29594,2.412922,0.064,0.297083
M1/N8/E10a/T12b_train01,3,2.253652,2.404178,0.168122,0.299614,2.403795,0.176,0.299706,2.400729,0.188,0.300637
M1/N8/E10a/T12b_train01,4,2.150183,2.38803,0.168122,0.304421,2.387725,0.176,0.304486,2.385484,0.188,0.30518
M1/N8/E10a/T12b_train01,5,2.049956,2.369007,0.168122,0.310253,2.368693,0.176,0.310319,2.367626,0.188,0.310656
M1/N8/E10a/T12b_train01,6,1.982914,2.34591,0.290393,0.317585,2.345626,0.224,0.317642,2.346037,0.284,0.317506
M1/N8/E10a/T12b_train01,7,1.933177,2.319777,0.408297,0.326201,2.319423,0.424,0.326281,2.321593,0.384,0.325551
M1/N8/E10a/T12b_train01,8,1.868521,2.289789,0.40393,0.336488,2.289547,0.408,0.33654,2.293447,0.38,0.335176
M1/N8/E10a/T12b_train01,9,1.840463,2.256608,0.40393,0.34832,2.256496,0.408,0.348346,2.262263,0.38,0.346242
M1/N8/E10a/T12b_train01,10,1.800583,2.221026,0.40393,0.361458,2.221038,0.408,0.361474,2.228801,0.38,0.358522
M1/N8/E10a/T12b_train01,11,1.759451,2.18476,0.40393,0.375207,2.184987,0.408,0.375197,2.194831,0.38,0.371307
M1/N8/E10a/T12b_train01,12,1.739165,2.149192,0.40393,0.388885,2.149808,0.408,0.388796,2.161623,0.38,0.383973
M1/N8/E10a/T12b_train01,13,1.719484,2.114017,0.40393,0.402435,2.115438,0.408,0.402123,2.128932,0.38,0.396467
M1/N8/E10a/T12b_train01,14,1.68587,2.082078,0.40393,0.414544,2.084585,0.408,0.413907,2.099444,0.38,0.407585
M1/N8/E10a/T12b_train01,15,1.677253,2.052966,0.40393,0.425263,2.056833,0.408,0.424207,2.072834,0.38,0.417382
M1/N8/E10a/T12b_train01,16,1.616915,2.026355,0.40393,0.434768,2.032033,0.408,0.43313,2.048906,0.38,0.42597
M1/N8/E10a/T12b_train01,17,1.596509,2.003045,0.40393,0.442776,2.010736,0.408,0.440462,2.028286,0.38,0.433155
M1/N8/E10a/T12b_train01,18,1.609596,1.983226,0.40393,0.449343,1.9933,0.408,0.44621,2.011089,0.38,0.439024
M1/N8/E10a/T12b_train01,19,1.568337,1.965377,0.408297,0.455213,1.978163,0.408,0.451127,1.996108,0.38,0.444155
M1/N8/E10a/T12b_train01,20,1.523906,1.948834,0.408297,0.460706,1.964621,0.408,0.455558,1.982744,0.38,0.448792
M1/N8/E10a/T12b_train01,21,1.504575,1.933536,0.408297,0.465825,1.952569,0.408,0.459505,1.970875,0.384,0.452939
M1/N8/E10a/T12b_train01,22,1.503787,1.918521,0.412664,0.471053,1.94108,0.408,0.463489,1.959854,0.388,0.456923
M1/N8/E10a/T12b_train01,23,1.457434,1.903297,0.412664,0.476413,1.929757,0.408,0.467515,1.949154,0.388,0.460827
M1/N8/E10a/T12b_train01,24,1.445386,1.888106,0.414847,0.481766,1.918725,0.408,0.471485,1.938938,0.388,0.464545
M1/N8/E10a/T12b_train01,25,1.41376,1.872933,0.414847,0.487023,1.90795,0.408,0.475352,1.929359,0.388,0.467969
M1/N8/E10a/T12b_train01,26,1.36575,1.856968,0.417031,0.492411,1.8969,0.416,0.479294,1.919604,0.388,0.471305
M1/N8/E10a/T12b_train01,27,1.339049,1.840712,0.417031,0.497668,1.886133,0.416,0.482997,1.910422,0.388,0.474281
M1/N8/E10a/T12b_train01,28,1.324254,1.82412,0.421397,0.502771,1.875747,0.416,0.486375,1.901534,0.388,0.476923
M1/N8/E10a/T12b_train01,29,1.298426,1.807416,0.421397,0.507635,1.865919,0.416,0.489347,1.893273,0.388,0.479181
M1/N8/E10a/T12b_train01,30,1.277786,1.789119,0.423581,0.512806,1.855812,0.416,0.492206,1.884062,0.388,0.481667
M1/N8/E10a/T12b_train01,31,1.265637,1.77025,0.425764,0.518204,1.846404,0.424,0.494815,1.874757,0.392,0.484247
M1/N8/E10a/T12b_train01,32,1.232449,1.749202,0.425764,0.524237,1.836157,0.432,0.49757,1.864154,0.392,0.487185
M1/N8/E10a/T12b_train01,33,1.214528,1.727338,0.427948,0.530831,1.826314,0.432,0.500312,1.85317,0.392,0.490495
M1/N8/E10a/T12b_train01,34,1.174339,1.703089,0.436681,0.538195,1.815814,0.432,0.503277,1.840776,0.4,0.494278
M1/N8/E10a/T12b_train01,35,1.154466,1.677684,0.449782,0.546397,1.805592,0.44,0.506329,1.828165,0.416,0.498375
M1/N8/E10a/T12b_train01,36,1.146244,1.652475,0.458515,0.554758,1.79613,0.448,0.509107,1.816705,0.424,0.502161
M1/N8/E10a/T12b_train01,37,1.126549,1.626813,0.469432,0.562916,1.787203,0.456,0.511576,1.806212,0.432,0.505449
M1/N8/E10a/T12b_train01,38,1.082636,1.601723,0.475983,0.571353,1.779138,0.448,0.513849,1.797153,0.432,0.508583
M1/N8/E10a/T12b_train01,39,1.046236,1.576496,0.4869,0.579658,1.771838,0.448,0.515886,1.789437,0.432,0.511179
M1/N8/E10a/T12b_train01,40,1.053388,1.549858,0.5131,0.588373,1.764139,0.448,0.518096,1.781935,0.436,0.513731
M1/N8/E10a/T12b_train01,41,1.004035,1.521748,0.521834,0.597644,1.756668,0.456,0.520181,1.77424,0.444,0.516298
M1/N8/E10a/T12b_train01,42,0.974249,1.491814,0.537118,0.607088,1.749618,0.464,0.521939,1.766769,0.452,0.518581
M1/N8/E10a/T12b_train01,43,0.930289,1.461246,0.543668,0.617441,1.743124,0.464,0.523598,1.759748,0.456,0.520969
M1/N8/E10a/T12b_train01,44,0.927381,1.429044,0.550218,0.627362,1.73671,0.472,0.525026,1.75325,0.456,0.52264
M1/N8/E10a/T12b_train01,45,0.907928,1.394631,0.558952,0.637532,1.729787,0.48,0.526424,1.747177,0.456,0.52378
M1/N8/E10a/T12b_train01,46,0.896652,1.358503,0.572052,0.64833,1.722807,0.472,0.527862,1.740497,0.46,0.525238
M1/N8/E10a/T12b_train01,47,0.86072,1.319819,0.587336,0.659397,1.715275,0.472,0.529051,1.733756,0.468,0.526287
M1/N8/E10a/T12b_train01,48,0.819488,1.279555,0.600437,0.670644,1.708934,0.464,0.529759,1.727472,0.468,0.526982
M1/N8/E10a/T12b_train01,49,0.836217,1.238249,0.617904,0.681422,1.702663,0.464,0.530127,1.721956,0.46,0.527201
M1/N8/E10a/T12b_train01,50,0.81492,1.194972,0.624454,0.692988,1.696109,0.456,0.530611,1.715074,0.464,0.527979
M1/N8/E10a/T12b_train01,51,0.79575,1.149495,0.637555,0.705096,1.68921,0.448,0.530976,1.706916,0.468,0.528978
M1/N8/E10a/T12b_train01,52,0.751809,1.103944,0.652838,0.717813,1.68244,0.448,0.531752,1.698887,0.46,0.530417
M1/N8/E10a/T12b_train01,53,0.720802,1.056323,0.670306,0.730301,1.673914,0.456,0.532295,1.689865,0.456,0.531631
M1/N8/E10a/T12b_train01,54,0.70904,1.010508,0.69214,0.743474,1.665993,0.448,0.532961,1.681579,0.452,0.533511
M1/N8/E10a/T12b_train01,55,0.707822,0.965473,0.707424,0.755851,1.660633,0.448,0.533174,1.676241,0.452,0.53476
M1/N8/E10a/T12b_train01,56,0.690983,0.919882,0.718341,0.768794,1.656715,0.44,0.533271,1.670495,0.464,0.536299
M1/N8/E10a/T12b_train01,57,0.649363,0.875312,0.740175,0.781623,1.652999,0.448,0.533591,1.665178,0.46,0.537741
M1/N8/E10a/T12b_train01,58,0.65895,0.830673,0.753275,0.794053,1.65082,0.44,0.533132,1.660159,0.468,0.538682
M1/N8/E10a/T12b_train01,59,0.579751,0.785584,0.768559,0.80589,1.649194,0.448,0.532569,1.65735,0.468,0.538833
M1/N8/E10a/T12b_train01,60,0.634022,0.740956,0.790393,0.818711,1.645544,0.448,0.533165,1.651095,0.472,0.540142
M1/N8/E10a/T12b_train01,61,0.563043,0.698446,0.80786,0.831173,1.644011,0.44,0.533724,1.647022,0.476,0.541235
M1/N8/E10a/T12b_train01,62,0.546003,0.657554,0.836245,0.844186,1.645409,0.448,0.534603,1.643456,0.468,0.542603
M1/N8/E10a/T12b_train01,63,0.52047,0.619653,0.851528,0.856253,1.649193,0.448,0.535898,1.643768,0.48,0.543617
M1/N8/E10a/T12b_train01,64,0.533647,0.583695,0.858079,0.866555,1.65604,0.464,0.536065,1.649492,0.476,0.543681
M1/N8/E10a/T12b_train01,65,0.482171,0.550379,0.871179,0.875875,1.664907,0.464,0.536662,1.660078,0.476,0.543327
M1/N8/E10a/T12b_train01,66,0.503291,0.516985,0.879913,0.884874,1.678745,0.464,0.535815,1.669422,0.476,0.542823
M1/N8/E10a/T12b_train01,67,0.499808,0.481829,0.888646,0.892962,1.698252,0.456,0.531995,1.677442,0.468,0.541
M1/N8/E10a/T12b_train01,68,0.467579,0.448892,0.893013,0.899751,1.722207,0.448,0.52734,1.690101,0.464,0.537764
M1/N8/E10a/T12b_train01,69,0.424246,0.419492,0.899563,0.906357,1.753157,0.44,0.522568,1.703495,0.456,0.534994
M1/N8/E10a/T12b_train01,70,0.437723,0.392905,0.908297,0.912929,1.78272,0.448,0.518611,1.720595,0.452,0.533701
M1/N8/E10a/T12b_train01,71,0.38795,0.369061,0.919214,0.919057,1.811056,0.432,0.515308,1.73984,0.452,0.534118
M1/N8/E10a/T12b_train01,72,0.380666,0.345429,0.923581,0.92564,1.83834,0.416,0.512124,1.757895,0.468,0.534669
M1/N8/E10a/T12b_train01,73,0.395519,0.321097,0.936681,0.932906,1.857952,0.416,0.510891,1.769935,0.472,0.53567
M1/N8/E10a/T12b_train01,74,0.372685,0.298228,0.941048,0.939645,1.876108,0.416,0.510924,1.779241,0.472,0.536783
M1/N8/E10a/T12b_train01,75,0.34978,0.277042,0.951965,0.945342,1.897675,0.408,0.508735,1.791644,0.484,0.536663
M1/N8/E10a/T12b_train01,76,0.342814,0.25721,0.958515,0.950389,1.920208,0.408,0.506169,1.803395,0.48,0.535887
M1/N8/E10a/T12b_train01,77,0.330158,0.239076,0.960699,0.954962,1.947853,0.392,0.502635,1.819228,0.468,0.53344
M1/N8/E10a/T12b_train01,78,0.286835,0.224549,0.965066,0.958251,1.980978,0.4,0.497838,1.837279,0.472,0.530818
