experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N9/E11b/T12a_train01,1,2.505472,2.418073,0.087576,0.295498,2.415884,0.097015,0.296188,2.416839,0.070632,0.29588
M1/N9/E11b/T12a_train01,2,2.352349,2.405571,0.075356,0.299146,2.405608,0.104478,0.299176,2.403846,0.074349,0.299672
M1/N9/E11b/T12a_train01,3,2.232357,2.384179,0.221996,0.305587,2.387646,0.19403,0.304565,2.38184,0.208178,0.30629
M1/N9/E11b/T12a_train01,4,2.142382,2.356478,0.189409,0.314284,2.364974,0.149254,0.311673,2.353604,0.204461,0.315161
M1/N9/E11b/T12a_train01,5,1.999137,2.324502,0.384929,0.324787,2.338711,0.328358,0.320284,2.320925,0.390335,0.325915
M1/N9/E11b/T12a_train01,6,1.931442,2.286551,0.368635,0.337923,2.307783,0.328358,0.33099,2.282118,0.3829,0.339397
M1/N9/E11b/T12a_train01,7,1.862656,2.244287,0.368635,0.35324,2.274071,0.328358,0.343231,2.23902,0.3829,0.355118
M1/N9/E11b/T12a_train01,8,1.800782,2.201171,0.368635,0.369476,2.24048,0.328358,0.355963,2.195589,0.3829,0.371662
M1/N9/E11b/T12a_train01,9,1.754191,2.160091,0.368635,0.385158,2.209173,0.328358,0.367991,2.154207,0.3829,0.387668
M1/N9/E11b/T12a_train01,10,1.706509,2.120528,0.368635,0.400131,2.179939,0.328358,0.379165,2.114891,0.3829,0.402811
M1/N9/E11b/T12a_train01,11,1.678511,2.08521,0.368635,0.413176,2.154745,0.328358,0.388573,2.080158,0.3829,0.415943
M1/N9/E11b/T12a_train01,12,1.654588,2.057713,0.368635,0.422825,2.135613,0.328358,0.395302,2.053864,0.3829,0.425385
M1/N9/E11b/T12a_train01,13,1.576077,2.034415,0.368635,0.430739,2.11968,0.328358,0.400675,2.032061,0.3829,0.432947
M1/N9/E11b/T12a_train01,14,1.541101,2.01544,0.368635,0.436712,2.106778,0.328358,0.404629,2.015754,0.3829,0.438153
M1/N9/E11b/T12a_train01,15,1.47578,1.9968,0.368635,0.442531,2.09428,0.328358,0.408453,1.999853,0.3829,0.443193
M1/N9/E11b/T12a_train01,16,1.388438,1.981004,0.366599,0.447384,2.083263,0.328358,0.41175,1.987727,0.3829,0.446864
M1/N9/E11b/T12a_train01,17,1.371686,1.968359,0.409369,0.45145,2.074191,0.335821,0.414547,1.97902,0.401487,0.449546
M1/N9/E11b/T12a_train01,18,1.352138,1.955218,0.446029,0.455937,2.064711,0.373134,0.417702,1.970434,0.453532,0.452426
M1/N9/E11b/T12a_train01,19,1.276543,1.936154,0.466395,0.462894,2.050889,0.380597,0.422752,1.956334,0.468401,0.457566
M1/N9/E11b/T12a_train01,20,1.22981,1.919708,0.492872,0.469254,2.038329,0.38806,0.427469,1.944831,0.479554,0.461921
M1/N9/E11b/T12a_train01,21,1.206844,1.900445,0.496945,0.47717,2.023333,0.402985,0.433547,1.931978,0.486989,0.467278
M1/N9/E11b/T12a_train01,22,1.171217,1.877517,0.498982,0.486522,2.00577,0.402985,0.440602,1.916258,0.490706,0.473702
M1/N9/E11b/T12a_train01,23,1.105732,1.853695,0.503055,0.496444,1.987583,0.402985,0.448102,1.89916,0.498141,0.480836
M1/N9/E11b/T12a_train01,24,1.091467,1.827276,0.507128,0.507742,1.966972,0.410448,0.456751,1.880524,0.501859,0.4888
M1/N9/E11b/T12a_train01,25,1.014696,1.796897,0.523422,0.520363,1.943548,0.41791,0.466243,1.858724,0.494424,0.497831
M1/N9/E11b/T12a_train01,26,0.992762,1.760123,0.529532,0.535002,1.915698,0.41791,0.477144,1.831467,0.498141,0.508668
M1/N9/E11b/T12a_train01,27,0.978847,1.725145,0.537678,0.549017,1.889377,0.425373,0.487289,1.806973,0.509294,0.518307
M1/N9/E11b/T12a_train01,28,0.882387,1.689605,0.547862,0.563327,1.862432,0.447761,0.497764,1.783073,0.509294,0.527674
M1/N9/E11b/T12a_train01,29,0.866393,1.647258,0.553971,0.579475,1.831066,0.447761,0.509354,1.753365,0.513011,0.538718
M1/N9/E11b/T12a_train01,30,0.82573,1.610003,0.568228,0.594088,1.80393,0.462687,0.519613,1.729331,0.520446,0.547824
M1/N9/E11b/T12a_train01,31,0.802685,1.566802,0.578411,0.610123,1.77327,0.477612,0.530687,1.700842,0.524164,0.557998
M1/N9/E11b/T12a_train01,32,0.768607,1.519733,0.602851,0.627793,1.739912,0.485075,0.542903,1.669338,0.535316,0.569313
M1/N9/E11b/T12a_train01,33,0.694606,1.475474,0.657841,0.645829,1.709403,0.5,0.555198,1.642574,0.553903,0.579704
M1/N9/E11b/T12a_train01,34,0.705097,1.430136,0.706721,0.663861,1.678846,0.514925,0.567194,1.615752,0.579926,0.589792
M1/N9/E11b/T12a_train01,35,0.684379,1.378522,0.739308,0.683522,1.642933,0.544776,0.580825,1.583619,0.598513,0.601418
M1/N9/E11b/T12a_train01,36,0.633943,1.324101,0.794297,0.704291,1.605038,0.58209,0.595393,1.550036,0.654275,0.613832
M1/N9/E11b/T12a_train01,37,0.60241,1.271827,0.837067,0.724401,1.569022,0.641791,0.609425,1.519845,0.687732,0.62519
M1/N9/E11b/T12a_train01,38,0.546107,1.21647,0.869654,0.744805,1.531165,0.686567,0.623691,1.487106,0.70632,0.637118
M1/N9/E11b/T12a_train01,39,0.536838,1.163881,0.90224,0.763692,1.495855,0.701493,0.636791,1.45743,0.713755,0.647798
M1/N9/E11b/T12a_train01,40,0.514255,1.102008,0.918534,0.784021,1.453502,0.731343,0.651212,1.419811,0.728625,0.66027
M1/N9/E11b/T12a_train01,41,0.457363,1.042933,0.936864,0.80307,1.413724,0.753731,0.664652,1.386122,0.754647,0.671207
M1/N9/E11b/T12a_train01,42,0.474955,0.990465,0.934827,0.819327,1.380857,0.761194,0.675616,1.360127,0.743494,0.679396
M1/N9/E11b/T12a_train01,43,0.419369,0.930646,0.942974,0.83655,1.34394,0.761194,0.686948,1.328539,0.750929,0.688675
M1/N9/E11b/T12a_train01,44,0.441412,0.868216,0.942974,0.853732,1.304468,0.783582,0.698585,1.294062,0.758364,0.698541
M1/N9/E11b/T12a_train01,45,0.370298,0.805843,0.947047,0.87004,1.265457,0.776119,0.709962,1.259008,0.762082,0.708472
M1/N9/E11b/T12a_train01,46,0.36115,0.739984,0.949084,0.886425,1.22358,0.783582,0.721829,1.22167,0.758364,0.718657
M1/N9/E11b/T12a_train01,47,0.334325,0.680967,0.95112,0.900057,1.189175,0.791045,0.730883,1.19223,0.758364,0.725813
M1/N9/E11b/T12a_train01,48,0.30204,0.616985,0.95112,0.913754,1.148609,0.791045,0.741682,1.156979,0.765799,0.734278
M1/N9/E11b/T12a_train01,49,0.301774,0.562222,0.95112,0.924679,1.115687,0.791045,0.74994,1.129632,0.762082,0.740419
