experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
M1/N7/E10b/T12e_train02,1,2.765176,2.760813,0.015038,0.252902,2.75816,0.047945,0.253558,2.758131,0.006873,0.253562
M1/N7/E10b/T12e_train02,2,2.759859,2.753423,0.015038,0.254791,2.750503,0.047945,0.255508,2.750623,0.006873,0.255482
M1/N7/E10b/T12e_train02,3,2.740196,2.746123,0.383459,0.256675,2.742938,0.363014,0.257454,2.743199,0.402062,0.257399
M1/N7/E10b/T12e_train02,4,2.711897,2.739095,0.383459,0.258503,2.735614,0.363014,0.259354,2.736083,0.402062,0.259251
M1/N7/E10b/T12e_train02,5,2.66451,2.732331,0.383459,0.260279,2.72861,0.363014,0.261188,2.729228,0.402062,0.261053
M1/N7/E10b/T12e_train02,6,2.590257,2.725881,0.383459,0.261988,2.721939,0.363014,0.262951,2.72268,0.402062,0.262788
M1/N7/E10b/T12e_train02,7,2.515202,2.719598,0.383459,0.263665,2.715467,0.363014,0.264675,2.716299,0.402062,0.264493
M1/N7/E10b/T12e_train02,8,2.422665,2.713376,0.383459,0.26534,2.709045,0.363014,0.2664,2.709983,0.402062,0.266194
M1/N7/E10b/T12e_train02,9,2.33228,2.706963,0.383459,0.267078,2.702414,0.363014,0.268195,2.703513,0.402062,0.267949
M1/N7/E10b/T12e_train02,10,2.240453,2.700442,0.383459,0.26886,2.695635,0.363014,0.270045,2.696954,0.402062,0.269744
M1/N7/E10b/T12e_train02,11,2.124529,2.693742,0.383459,0.270706,2.688652,0.363014,0.271965,2.690228,0.402062,0.271598
M1/N7/E10b/T12e_train02,12,2.083878,2.686905,0.383459,0.272604,2.681499,0.363014,0.273948,2.683392,0.402062,0.273499
M1/N7/E10b/T12e_train02,13,2.038644,2.679771,0.383459,0.274601,2.674021,0.363014,0.276041,2.676298,0.402062,0.275488
M1/N7/E10b/T12e_train02,14,2.028759,2.673092,0.383459,0.276485,2.667015,0.363014,0.278018,2.6697,0.402062,0.277352
M1/N7/E10b/T12e_train02,15,2.029114,2.667177,0.383459,0.278165,2.660905,0.363014,0.279756,2.663832,0.402062,0.279023
M1/N7/E10b/T12e_train02,16,2.05538,2.662353,0.383459,0.279543,2.655978,0.363014,0.281168,2.65904,0.402062,0.280394
M1/N7/E10b/T12e_train02,17,2.0963,2.658643,0.383459,0.280604,2.6522,0.363014,0.282253,2.655378,0.402062,0.281443
M1/N7/E10b/T12e_train02,18,2.086214,2.655968,0.383459,0.281368,2.649479,0.363014,0.283035,2.652756,0.402062,0.282192
M1/N7/E10b/T12e_train02,19,2.085822,2.654322,0.383459,0.281834,2.647839,0.363014,0.283505,2.651145,0.402062,0.282649
